,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,27/03/23,2022,0.07,cash
1,23/12/21,2021,0.06,cash
2,05/08/20,2020,1.2,share
3,31/10/19,2019,0.15,cash
4,27/11/18,2018,0.2,cash
5,25/01/16,2015,0.06,cash
6,27/01/15,2014,0.05,cash
7,15/03/13,2012,0.045,cash
8,08/02/12,2011,0.2,cash
9,17/10/11,2011,0.25,cash
10,02/03/11,2010,0.1,cash
11,29/10/10,2010,0.2,cash
12,21/04/10,2009,0.15,cash
13,13/10/09,2009,0.15,cash
14,05/11/08,2008,0.2,cash
15,16/07/08,2008,0.15,cash
16,20/12/07,2007,0.33,cash
