,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/03/23,2022,0.1,cash
1,22/03/23,2023,0.1,share
2,15/11/22,2022,0.1,cash
3,29/07/22,2021,0.2,cash
4,15/12/21,2020,0.09,cash
5,25/12/20,2020,0.06,cash
6,17/09/20,2019,0.06,cash
7,19/05/20,2019,0.1,cash
8,19/09/19,2018,0.12,cash
9,18/12/18,2018,0.1,cash
10,23/08/18,2017,0.27,cash
11,07/12/17,2017,0.18,cash
12,31/07/17,2016,0.28,cash
13,05/01/17,2016,0.12,cash
14,08/11/16,2015,0.19,cash
15,24/03/16,2014,0.05,cash
16,24/03/16,2015,0.1,cash
17,29/05/15,2014,0.1,cash
18,15/08/14,2013,0.1,cash
19,31/12/13,2013,0.12,cash
