,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/03/23,2022,0.12,cash
1,15/11/22,2021,0.05,cash
2,16/08/22,2021,0.07,cash
3,14/04/22,2021,0.1,cash
4,18/11/21,2020,0.07,cash
5,15/09/21,2020,0.05,cash
6,02/06/21,2020,0.1,cash
7,24/11/20,2019,0.07,cash
8,18/09/20,2019,0.06,cash
9,19/03/20,2019,0.07,cash
10,09/09/19,2018,0.1,cash
11,07/06/19,2018,0.1,cash
12,05/09/18,2017,0.1,cash
13,29/05/18,2017,0.07,cash
14,07/07/17,2016,0.11,cash
15,27/06/16,2015,0.12,cash
16,12/11/15,2015,0.1,share
17,12/11/15,2015,0.1,share
18,07/05/14,2012,0.1,cash
19,26/12/12,2011,0.1,cash
