,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,10/04/23,2022,0.06,cash
1,27/12/22,2022,0.03,cash
2,26/09/22,2022,0.03,cash
3,26/05/22,2021,0.03,cash
4,07/01/22,2021,0.03,cash
5,08/11/21,2021,0.03,cash
6,13/09/21,2021,0.03,cash
7,01/06/21,2020,0.05,cash
8,14/05/21,2020,0.03,cash
9,21/01/21,2020,0.03,cash
10,20/11/20,2020,0.03,cash
11,14/07/20,2019,0.03,cash
12,14/07/20,2020,0.03,cash
13,17/03/20,2019,0.03,cash
14,19/11/19,2019,0.03,cash
15,15/08/19,2019,0.06,cash
16,04/06/19,2018,0.03,cash
17,08/04/19,2018,0.03,cash
18,18/12/18,2018,0.03,cash
19,02/08/18,2018,0.03,cash
