,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/03/23,2022,0.05,cash
1,24/05/22,2022,0.025,share
2,04/03/22,2021,0.025,cash
3,14/12/21,2021,0.025,share
4,12/11/21,2020,0.025,cash
5,21/07/20,2019,0.02,cash
6,26/11/19,2019,0.03,cash
7,03/06/19,2018,0.02,cash
8,10/12/18,2018,0.03,cash
9,13/06/18,2017,0.01,cash
10,29/11/17,2017,0.04,cash
11,14/06/17,2016,0.05,cash
12,24/11/16,2016,0.05,cash
13,27/05/16,2015,0.05,cash
14,10/11/15,2015,0.05,cash
15,15/05/15,2014,0.06,cash
16,06/11/14,2014,0.05,cash
17,16/07/14,2013,0.09,cash
18,06/11/13,2013,0.05,cash
19,13/05/13,2012,0.09,cash
