,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/03/23,2022,0.09,cash
1,15/11/22,2022,0.06,cash
2,24/03/22,2021,0.1,cash
3,21/09/21,2021,0.15,cash
4,25/03/21,2020,0.1,cash
5,16/11/20,2020,0.15,cash
6,19/03/20,2019,0.1,cash
7,04/11/19,2019,0.15,cash
8,22/03/19,2018,0.1,cash
9,14/11/18,2018,0.15,cash
10,03/04/18,2017,0.15,cash
11,14/11/17,2017,0.1,cash
12,30/03/17,2016,0.05,cash
13,22/11/16,2016,0.15,cash
14,02/11/15,2015,0.15,cash
15,02/03/15,2014,0.1,cash
16,13/03/14,2013,0.1,cash
17,14/10/13,2012,0.05,cash
18,14/10/13,2013,0.05,cash
19,10/12/12,2011,0.02,cash
