,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/03/23,2022,0.05,cash
1,15/11/22,2022,0.05,cash
2,23/03/22,2021,0.1,cash
3,21/09/21,2021,0.2,cash
4,22/02/21,2020,0.25,cash
5,18/11/20,2020,0.15,cash
6,19/03/20,2019,0.2,cash
7,12/11/19,2019,0.2,cash
8,25/03/19,2018,0.1,cash
9,21/11/18,2018,0.2,cash
10,03/04/18,2017,0.15,cash
11,17/11/17,2017,0.15,cash
12,30/03/17,2016,0.3,cash
13,31/03/16,2015,0.1,cash
14,03/11/15,2015,0.2,cash
15,17/04/15,2014,0.25,cash
16,12/11/14,2014,0.25,cash
17,18/03/14,2013,0.25,cash
18,16/10/13,2013,0.25,cash
19,27/03/13,2012,0.25,cash
