,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/03/23,2022,0.1,cash
1,07/10/22,2021,0.065,cash
2,04/04/22,2021,0.1,cash
3,29/09/21,2020,0.1,cash
4,05/02/21,2020,0.1,cash
5,23/07/20,2019,0.15,cash
6,09/01/20,2019,0.1,cash
7,27/12/18,2018,0.09,cash
8,20/09/18,2018,0.15,cash
9,13/07/18,2015,0.279,cash
10,17/05/18,2017,0.2,cash
11,09/10/17,2017,0.1,cash
12,24/05/17,2016,0.16,cash
13,21/12/16,2016,0.05,cash
14,12/08/16,2016,0.08,cash
15,12/08/16,2016,0.07,cash
16,20/04/16,2015,0.13,cash
17,20/04/16,2016,0.04,share
18,14/10/15,2015,0.09,cash
19,20/05/15,2014,0.13,cash
