,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/03/23,2021,0.06,cash
1,16/03/22,2020,0.05,cash
2,11/11/21,2019,0.05,cash
3,23/11/20,2018,0.05,cash
4,23/11/20,2018,0.05,cash
5,16/11/18,2017,0.1,cash
6,27/09/17,2016,0.1,cash
7,01/09/16,2015,0.1,cash
8,31/07/15,2014,0.1,cash
9,15/10/14,2013,0.06,cash
10,24/12/13,2012,0.1,cash
11,05/08/13,2011,0.1,cash
12,21/07/11,2010,0.18,cash
13,10/05/10,2009,0.18,cash
14,15/09/09,2009,0.2,share
15,22/04/08,2007,0.17,cash
16,30/08/07,2007,0.2,share
