,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/03/23,2022,0.08,cash
1,21/10/22,2022,0.07,cash
2,01/07/22,2021,0.05,cash
3,23/03/22,2021,0.08,cash
4,07/12/21,2021,0.07,cash
5,22/03/21,2020,0.08,cash
6,16/11/20,2020,0.07,cash
7,27/03/20,2019,0.08,cash
8,19/11/19,2019,0.07,cash
9,02/07/19,2018,0.05,cash
10,26/03/19,2018,0.08,cash
11,29/08/18,2018,0.07,cash
12,23/03/18,2017,0.08,cash
13,07/09/17,2017,0.07,cash
14,30/03/17,2016,0.08,cash
15,13/10/16,2016,0.07,cash
16,18/07/16,2015,0.05,cash
17,18/03/16,2015,0.08,cash
18,11/09/15,2015,0.07,cash
19,26/05/15,2014,0.05,cash
