,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,AME,704,10800,0,33.6,-20.5,0.9,14.9,0.0,0.038,0.009,1.4,,,,1.5,0.9,0.064,,0.011,0.7,7.8,0.116,0.238,0.524,0.921,-0.238,0.05,60.3,52.0
1,GEX,10559,12400,1,27.8,-0.4,0.9,4.8,0.0,0.031,0.007,1.8,,,,1.1,0.6,0.178,,0.011,0.8,2.8,-0.104,0.218,4.788,0.05,0.623,0.2,50.5,39.0
2,GEE,7846,26154,1,8.9,0.0,1.5,8.7,0.0,0.102,0.022,1.8,,,,1.3,0.6,0.13,,0.107,1.4,7.8,,,7.908,0.098,,,57.2,58.0
3,TBD,3303,101881,1,80.1,-1.3,5.7,41.0,0.0,0.067,0.027,3.4,,,,1.5,0.8,0.114,,0.029,1.0,6.0,-0.169,-0.077,4.425,0.639,0.098,-0.12,69.5,72.0
4,THI,1122,25000,1,27.3,-0.4,0.9,15.3,0.0,0.034,0.013,1.1,,,,1.7,0.9,0.148,,0.044,1.0,10.7,-0.327,-0.093,-0.063,-0.139,-0.355,0.05,38.3,44.0
5,HEM,678,17518,1,15.9,0.0,1.1,27.0,0.0,0.068,0.049,2.8,,,,1.8,1.3,0.14,,0.117,0.2,3.8,-0.119,-0.008,0.937,1.278,-0.043,0.05,20.9,42.0
6,BTH,213,8500,0,121.0,-1.4,0.8,-308.4,0.0,0.006,0.003,-0.2,,,,0.7,0.7,1.0,,2.194,0.6,-70.9,,-0.427,3.508,0.392,0.179,0.03,0.2,
7,EMC,164,10750,2,269.1,-3.4,1.0,19.2,0.0,0.004,0.001,0.3,,,,1.1,0.6,0.042,,,1.2,9.7,-0.143,0.241,,1.422,,,51.3,71.0
8,CJC,120,30000,0,65.7,-0.4,2.8,35.0,0.0,0.044,0.011,1.0,,,,1.2,0.7,0.069,,0.004,2.2,13.5,-0.193,0.077,0.137,2.414,,,99.8,
9,DHP,104,11000,1,7.5,0.6,0.6,5.6,0.045,0.083,0.062,-1.2,,,,2.6,0.6,0.062,,0.028,0.2,1.4,0.028,-0.002,-0.76,-0.443,,,51.9,
10,KIP,72,12600,0,11.5,0.6,1.0,,0.0,0.097,0.057,8.5,,,,1.6,0.7,0.195,,0.047,0.4,2.7,0.009,0.038,-0.436,-0.22,0.285,0.05,34.2,
