,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,BSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SAB,118445,184700.0,-3,22.7,0.5,5.1,19.5,0.0,0.236,0.161,72.9,,,,2.9,2.7,0.281,,0.104,0.0,0.1,0.021,0.005,-0.223,0.161,0.45,0.35,43.8,58.0
2,BHN,10014,43200.0,-1,20.5,0.5,2.1,10.8,0.0,0.111,0.068,7.0,,,,2.7,2.3,0.253,,0.023,0.0,0.2,-0.057,-0.03,-0.727,0.012,0.758,0.17,37.6,29.0
3,SMB,1234,41350.0,1,6.7,0.4,2.0,5.9,0.085,0.318,0.193,33.0,,,,1.6,0.9,0.212,,0.086,0.1,0.3,0.077,0.043,-0.315,0.027,0.281,0.17,48.9,51.0
4,BSQ,1165,25895.0,1,6.8,0.9,1.4,4.9,0.0,0.218,0.107,2.5,,,,0.8,0.5,0.04,,,0.6,1.3,0.096,0.142,,-0.129,0.059,0.05,51.4,49.0
5,WSB,685,47252.0,2,9.5,-0.4,1.0,4.5,0.042,0.102,0.084,,,,,2.9,2.2,0.07,,0.066,0.0,0.0,-0.099,-0.043,,0.553,-0.082,-0.01,59.9,70.0
6,BSL,437,9700.0,0,10.8,0.7,0.9,3.4,0.0,0.082,0.065,-62.0,,,,2.1,1.6,0.011,,0.001,0.0,0.0,-0.035,0.0,,-0.092,-0.255,-0.24,47.3,24.0
7,BSH,311,17300.0,2,5.4,0.9,1.1,3.9,0.0,0.195,0.13,,,,,2.0,1.7,0.066,,0.069,0.4,0.7,-0.082,-0.011,-0.004,-0.112,-0.025,0.03,22.5,68.0
8,THB,137,12000.0,0,11.2,0.1,0.9,-4.9,0.0,0.081,0.037,,,,,1.6,1.3,0.115,,0.016,0.0,0.0,0.003,0.226,-0.966,0.186,0.254,0.03,49.2,82.0
9,BSP,128,10200.0,0,179.0,-1.9,0.6,1.9,0.0,0.003,0.002,-1.6,,,,1.5,0.5,0.031,,,0.3,0.8,-0.582,-0.067,,0.142,0.026,0.03,37.2,18.0
10,SBL,114,9500.0,0,16.3,0.0,0.6,4.0,0.053,0.036,0.025,4.5,,,,0.8,0.5,0.149,,0.02,0.1,0.9,-0.31,-0.105,,0.581,-0.511,0.03,58.9,
11,HBH,112,7000.0,0,7.2,1.0,0.6,3.0,0.0,0.095,0.057,95.7,,,,1.2,1.0,0.144,,0.093,0.0,0.7,0.553,0.038,3.01,0.664,,,35.5,
12,BHP,73,,-1,,,,,0.0,0.135,0.088,51.1,,,,0.8,0.4,0.223,,0.094,0.5,,-0.059,-0.018,-0.534,,,,59.3,70.0
13,HAD,60,15100.0,-1,5.7,0.0,0.8,3.5,0.0,0.142,0.114,,,,,3.8,2.8,0.158,,0.006,0.0,0.0,-0.044,-0.014,-0.973,-0.604,,,29.9,44.0
14,BTB,48,7500.0,0,42.9,-0.1,0.5,6.5,0.0,0.013,0.004,2.6,,,,0.8,0.5,0.214,,0.107,1.6,5.5,-0.106,-0.039,,2.008,,,32.8,
15,BQB,21,3700.0,0,-2.0,-0.3,0.7,-2.8,0.0,-0.292,-0.238,,,,,1.3,0.7,,,,0.0,0.0,,-0.226,,-0.18,,,64.6,
