,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,DVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VGC,14930,33300,2,8.5,0.2,2.0,3.8,0.03,0.237,0.078,3.9,,,,1.0,0.5,0.218,,0.055,0.4,0.7,0.236,0.097,-0.186,0.022,-0.409,0.1,50.8,52.0
2,VCS,8064,50400,1,7.0,-0.2,1.7,5.5,0.119,0.236,0.17,16.6,,,,3.4,1.8,0.298,,0.169,0.3,1.0,0.005,0.054,0.028,0.12,-0.034,-0.1,49.0,37.0
3,HT1,5762,15100,-2,22.0,-0.8,1.1,6.5,0.0,0.051,0.029,3.9,,,,0.6,0.3,0.091,,0.025,0.4,1.7,-0.12,0.017,0.584,0.024,0.992,0.15,52.8,56.0
4,BMP,4781,58400,1,6.9,0.0,1.8,4.0,0.053,0.283,0.237,43571.5,,,,5.6,4.1,0.337,,0.176,0.0,0.0,0.084,0.087,0.418,-0.059,-0.074,0.07,46.7,50.0
5,NTP,4043,31200,-1,8.4,2.8,1.4,6.7,0.048,0.173,0.096,,,,,1.4,0.7,0.226,,0.044,0.6,2.1,-0.005,0.051,-0.174,0.182,0.195,0.18,45.6,42.0
6,FIC,3277,25800,0,32.3,-928.3,1.9,26.9,0.0,0.061,0.036,-0.2,,,,1.2,0.6,0.169,,,0.4,5.0,-0.15,-0.207,,-0.022,0.534,0.03,62.7,76.0
7,DNP,2735,23000,-1,424.2,3.8,1.8,11.9,0.0,0.004,0.0,0.5,,,,1.2,1.0,0.121,,0.001,1.7,7.1,-0.401,0.392,-0.42,0.707,-0.237,0.07,42.1,32.0
8,BCC,1454,11800,-2,21.0,-1.2,0.7,5.9,0.0,0.032,0.017,-1.7,,,,0.4,0.1,0.053,,,0.3,1.6,,0.04,,-0.064,0.432,0.05,51.9,51.0
9,ACC,1444,13750,0,17.5,0.1,1.2,27.0,0.0,0.099,0.05,4.1,,,,2.7,1.3,0.219,,0.141,0.5,8.2,0.278,0.184,0.472,0.053,-0.068,-0.1,45.1,48.0
10,VIT,970,19400,1,19.1,1.9,1.6,8.2,0.0,0.082,0.026,2.2,,,,0.8,0.2,0.095,,0.039,1.9,3.9,0.069,0.156,0.176,0.014,-0.334,0.05,63.7,68.0
11,BTS,704,5700,-1,13.1,1.7,0.5,5.2,0.0,0.038,0.017,0.2,,,,0.5,0.2,0.088,,,0.7,3.2,0.758,-0.002,,-0.022,0.13,0.05,40.8,9.0
12,MVC,615,6146,0,11.0,0.0,0.6,9.0,0.0,0.05,0.039,4.7,,,,2.0,1.6,0.17,,0.28,0.3,3.6,-0.07,-0.054,-0.126,0.119,-0.127,-0.12,52.7,69.0
13,MBG,589,4900,0,5.9,0.3,0.4,4.5,0.0,0.094,0.085,32.6,,,,8.2,5.8,0.114,,0.087,0.0,0.4,1.203,0.226,0.075,-0.148,-0.307,0.202,51.2,54.0
14,KPF,553,9090,-1,7.8,-1.2,0.7,-767.5,0.0,0.092,0.075,,,,,42.4,42.4,1.0,,1.788,0.0,0.0,0.343,-0.542,-0.864,,-0.488,0.1,32.8,25.0
15,XMC,487,7232,-1,7.3,0.8,0.6,15.8,0.0,0.076,0.016,0.8,,,,1.1,0.8,0.091,,0.078,2.2,11.8,-0.07,-0.035,7.126,0.466,-0.577,0.07,47.4,36.0
16,QNC,360,6000,0,4.1,-0.3,0.6,4.4,0.0,0.168,0.056,11.1,,,,0.5,0.3,0.198,,0.111,0.9,2.8,,0.093,5.805,0.466,,,47.8,59.0
17,HOM,338,4700,0,16.0,0.0,0.3,4.7,0.0,0.022,0.014,2.8,,,,1.4,0.9,0.177,,0.011,0.1,1.3,0.677,0.078,0.697,0.104,0.336,0.08,37.1,58.0
18,TTB,244,2400,2,59.3,-1.4,0.2,150.9,0.0,0.005,0.002,-1.8,,,,1.6,1.3,0.011,,,0.2,53.6,-0.407,0.315,,-0.768,0.297,0.3,33.7,18.0
19,SCJ,223,3863,0,46.5,-0.7,0.5,7.3,0.0,0.01,0.002,1.1,,,,0.4,0.2,0.107,,,2.9,5.8,-0.127,0.216,,0.475,-0.72,0.154,42.4,16.0
