,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,GEG,4523,14050,-3,14.3,1.2,1.1,8.6,0.0,0.082,0.021,1.1,,,,1.0,0.9,0.445,,0.038,1.8,5.7,0.155,0.312,-0.852,-0.049,0.043,0.2,45.0,28.0
1,POW,30913,13200,0,16.3,2.5,1.0,6.5,0.0,0.063,0.035,5.6,,,,1.3,1.2,0.144,,0.089,0.3,1.6,-0.016,-0.01,9.229,0.269,-0.022,0.1,56.5,66.0
2,PGV,21177,18850,3,9.1,-0.4,1.2,6.5,0.0,0.137,0.035,1.9,,,,1.6,1.4,0.1,,0.051,2.3,4.6,0.552,0.045,1.094,0.018,-0.268,0.15,57.4,54.0
3,DNH,17093,40467,1,11.3,1.1,2.6,8.2,0.049,0.234,0.172,10.1,,,,4.4,4.3,0.375,,0.324,0.3,0.8,0.181,0.106,-0.522,-0.247,-0.365,-0.15,52.7,74.0
4,VSH,9261,39200,2,7.3,0.0,1.8,5.4,0.0,0.28,0.128,6.4,,,,1.9,1.7,0.675,,0.397,0.8,1.8,0.348,0.424,0.732,0.476,0.896,0.28,66.4,80.0
5,NT2,8291,28800,1,9.4,0.1,1.8,5.2,0.035,0.2,0.126,22.7,,,,1.6,1.5,0.034,,0.083,0.1,0.3,0.017,0.054,-0.197,-0.112,0.546,0.3,56.5,71.0
6,HND,6923,13846,-1,12.1,0.4,1.1,5.0,0.0,0.091,0.068,0.2,,,,2.3,2.0,0.019,,,0.2,0.9,0.067,0.029,,-0.271,0.683,0.1,45.2,44.0
7,QTP,6512,14471,0,8.5,0.1,1.1,4.3,0.0,0.126,0.091,1.5,,,,2.4,2.1,0.039,,0.011,0.2,0.8,0.015,0.049,-0.828,-0.28,0.063,0.1,45.0,50.0
8,DTK,6145,9000,0,7.7,-2.3,0.8,4.0,0.0,0.101,0.045,-0.7,,,,0.8,0.7,0.012,,0.04,0.8,2.3,0.025,-0.007,-0.438,0.151,0.399,0.05,38.8,37.0
9,SBH,4969,40000,0,7.7,0.2,2.2,5.5,0.0,0.302,0.282,,,,,9.4,9.4,0.664,,0.604,0.0,0.0,-0.009,-0.001,0.212,0.258,-0.084,0.03,42.4,69.0
10,PPC,4505,14050,0,12.1,0.4,0.9,25.2,0.0,0.075,0.067,,,,,4.5,3.7,0.052,,0.044,0.0,0.0,-0.103,-0.033,-0.555,0.344,0.506,0.2,40.6,52.0
11,HNA,4281,18200,0,7.3,0.0,1.3,4.9,0.0,0.19,0.149,14.0,,,,1.8,1.8,0.615,,0.52,0.2,0.8,1.281,0.126,-0.351,-0.22,1.024,0.2,49.1,66.0
12,TMP,3710,53000,0,6.4,0.1,2.3,5.4,0.015,0.383,0.269,18.8,,,,5.0,5.0,0.666,,0.532,0.2,0.6,0.128,0.089,-0.181,-0.195,0.089,0.15,46.7,56.0
13,CHP,3629,24700,-1,7.4,0.1,1.8,7.6,0.049,0.254,0.151,8.5,,,,1.3,1.3,0.592,,0.464,0.5,1.9,0.045,0.05,0.851,0.625,1.138,0.44,53.8,68.0
14,AVC,2927,39000,-1,5.0,0.1,1.7,4.1,0.0,0.367,0.337,155.6,,,,6.5,6.4,0.557,,0.495,0.0,0.1,0.103,0.025,-0.287,-0.13,0.052,0.1,47.2,48.0
15,VPD,2835,26600,1,10.0,0.1,1.9,8.7,0.0,0.196,0.139,11.3,,,,0.9,0.9,0.534,,0.411,0.2,1.4,0.119,0.028,-0.511,-0.372,0.255,0.1,56.1,80.0
16,SHP,2763,27300,1,8.7,0.4,1.9,5.3,0.037,0.229,0.177,13.7,,,,1.8,1.8,0.52,,0.224,0.2,0.6,0.116,0.039,-0.696,-0.235,2.687,0.45,57.3,67.0
17,BSA,1114,17001,0,7.3,0.1,1.2,5.3,0.0,0.176,0.1,6.9,,,,2.0,1.9,0.565,,0.421,0.6,2.0,-0.056,-0.001,-0.26,-0.143,0.369,0.2,53.6,58.0
18,SJD,1018,14750,0,6.6,-2.1,0.9,4.0,0.0,0.152,0.109,3.4,,,,7.9,7.9,0.455,,0.095,0.2,0.8,-0.044,-0.017,-0.881,-0.471,0.141,0.18,35.7,36.0
19,BHA,990,15000,0,6.4,0.0,1.2,6.7,0.0,0.201,0.093,0.8,,,,0.3,0.3,0.404,,0.078,0.9,3.2,0.195,0.023,-0.964,-0.71,5.072,0.48,71.6,68.0
