,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,HDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VGT,5426,10852,-1,8.4,-0.3,0.8,9.5,0.0,0.082,0.032,-2.4,,,,1.3,0.8,0.047,,,0.7,5.1,0.088,0.009,,-0.096,-0.077,-0.08,41.7,33.0
2,TCM,4106,50100,-1,14.7,0.2,2.1,10.0,0.014,0.152,0.079,6.6,,,,1.7,0.7,0.163,,0.064,0.5,2.0,0.078,0.062,-0.352,-0.238,-0.207,-0.14,49.8,46.0
3,MSH,2475,33000,2,7.0,-0.3,1.5,6.3,0.0,0.234,0.109,6.1,,,,1.9,1.4,0.149,,0.048,0.4,1.4,0.133,0.11,-0.507,-0.305,0.086,-0.12,48.9,52.0
4,STK,2181,26650,-1,9.1,-0.7,1.4,5.1,0.0,0.172,0.117,11.9,,,,2.0,1.2,0.149,,0.1,0.2,0.8,0.195,0.012,-0.145,-0.166,0.097,-0.04,48.4,37.0
5,TNG,1798,17100,-1,6.2,0.2,1.0,6.9,0.047,0.179,0.059,2.7,,,,0.9,0.5,0.156,,0.04,1.5,4.3,0.206,0.222,-0.432,-0.25,-0.357,-0.13,48.1,48.0
6,PPH,1691,22640,1,3.5,0.2,0.9,27.9,0.0,0.255,0.133,0.8,,,,1.6,1.0,0.213,,0.229,0.5,11.7,0.202,-0.104,0.593,0.028,0.209,0.15,45.9,44.0
7,VGG,1587,35987,3,9.2,0.1,0.9,7.1,0.0,0.095,0.034,,,,,1.2,0.7,0.111,,0.014,0.0,0.3,-0.144,0.0,-0.363,0.374,0.917,0.1,55.7,56.0
8,SGI,1389,18400,1,4.5,0.0,0.6,29.9,0.0,0.155,0.075,0.3,,,,3.3,3.1,0.224,,0.027,0.4,10.9,,,-0.749,-0.233,-0.256,0.05,49.0,49.0
9,GIL,1351,19300,1,3.7,0.4,0.6,5.8,0.0,0.182,0.093,2.0,,,,2.6,1.7,0.161,,0.039,0.3,3.3,0.203,0.079,-0.921,0.229,-0.619,-0.22,50.9,48.0
10,HTG,1109,36953,2,4.2,0.1,1.3,4.3,0.0,0.363,0.111,7.7,,,,1.3,0.5,0.117,,0.05,0.9,1.9,0.269,0.058,-0.176,-0.159,0.565,0.3,68.4,70.0
11,BDG,739,29800,0,3.3,0.0,1.5,3.4,0.0,0.544,0.246,21.2,,,,2.0,1.4,0.197,,0.185,0.5,0.8,0.249,0.061,0.606,-0.073,-0.098,0.05,49.4,70.0
12,EVE,638,15200,-1,6.7,0.1,0.6,4.8,0.0,0.097,0.07,9.6,,,,3.4,2.2,0.369,,0.095,0.3,1.4,0.125,0.005,-0.36,0.074,-0.147,0.06,64.6,68.0
13,ADS,630,12400,1,9.3,-0.5,1.0,10.2,0.0,0.119,0.032,,,,,1.2,0.9,0.045,,0.009,1.3,6.0,0.031,0.024,-0.803,-0.237,0.188,-0.05,52.9,65.0
14,M10,578,19100,1,5.7,0.2,1.3,9.6,0.0,0.245,0.048,5.1,,,,1.1,0.6,0.087,,0.018,1.8,6.9,0.189,0.085,0.954,-0.215,-0.416,0.006,58.6,64.0
15,AAT,318,4980,-1,3.5,0.0,0.4,3.9,0.0,0.128,0.089,1.3,,,,3.3,3.2,0.057,,0.005,0.3,1.7,1.265,0.515,1.242,1.273,0.01,0.1,42.4,32.0
16,GMC,295,8960,-2,-4.5,0.0,0.6,-0.6,0.0,-0.112,-0.095,,,,,6.5,4.6,,,,0.1,-0.2,,-0.289,,0.54,-0.13,0.05,36.2,64.0
17,TDT,191,8000,0,10.3,-7.7,0.7,11.9,0.0,0.074,0.037,3.6,,,,1.4,0.3,0.357,,0.022,0.7,7.4,0.084,0.133,-0.879,-0.357,,,54.2,
18,KMR,153,2690,-1,9.0,-1.3,0.2,4.4,0.0,0.027,0.017,4.7,,,,2.3,0.7,0.189,,0.065,0.2,2.6,0.163,0.095,7.65,-0.036,-0.609,0.1,15.4,33.0
19,SVD,80,2880,-2,-33.7,0.3,0.3,5.0,0.0,-0.011,-0.006,0.6,,,,2.7,1.3,,,,0.5,4.2,,,,0.162,,,41.6,
20,FTM,70,1399,0,-0.3,0.0,-0.6,12.4,0.0,15.773,-0.154,-0.2,,,,0.6,0.5,0.017,,,-6.8,11.3,,-0.311,,-0.03,-0.675,-0.05,28.1,
