,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,NAF,513,10150,0,6.5,-1.9,0.6,6.7,0.0,0.092,0.047,1.8,,,,1.5,1.3,0.225,,0.012,0.7,3.9,0.076,0.277,-0.859,-0.23,0.083,0.1,45.2,31.0
1,VCF,5818,218900,-1,15.6,-1.2,3.5,11.7,0.0,0.255,0.184,65.7,,,,4.0,3.2,0.188,,0.151,0.2,0.6,-0.03,-0.074,0.434,0.3,-0.071,0.2,39.8,28.0
2,IFS,1987,22800,0,12.8,0.5,1.7,5.5,0.0,0.137,0.114,,,,,5.5,4.4,0.341,,0.111,0.0,0.0,0.06,0.038,0.685,0.154,-0.358,-0.15,65.1,80.0
3,SKH,762,23100,0,8.1,0.2,1.8,4.9,0.0,0.23,0.126,53.3,,,,1.6,0.3,0.245,,0.057,0.1,0.4,0.042,0.046,0.221,0.095,0.573,0.056,41.1,31.0
4,SKV,640,27841,-3,6.2,0.2,1.7,4.1,0.0,0.288,0.143,40.8,,,,1.7,0.4,0.189,,0.053,0.2,0.6,0.095,0.158,-0.186,-0.273,0.087,0.08,48.4,51.0
5,CFV,477,37700,5,396.9,-4.9,3.5,-134.9,0.0,0.009,0.006,-2.8,,,,1.9,1.1,0.115,,0.008,0.4,-10.3,-0.327,0.154,-0.891,-0.616,0.141,0.055,55.9,75.0
6,FGL,183,12500,0,-7.1,0.0,2.6,-21.9,0.0,-0.304,-0.144,-4.5,,,,0.6,0.6,,,,0.9,-4.6,,-0.417,,335.645,,,0.0,
7,CPA,149,6300,-1,-7.1,-0.2,2.0,-329.8,0.0,-0.248,-0.149,-6.0,,,,1.1,0.5,,,,0.6,-75.3,,-0.191,,-0.748,,,0.3,
8,SCD,134,15800,0,-2.8,-0.1,1.2,-16.9,0.0,-0.369,-0.101,-2.2,,,,0.5,0.4,0.157,,,3.5,-10.4,,-0.124,,1.136,-9.083,-0.25,47.3,47.0
9,HKT,42,6900,0,53.4,-1.5,0.6,98.8,0.0,0.011,0.007,0.0,,,,1.6,1.3,0.004,,0.001,0.2,20.7,-0.032,0.639,1.412,1.445,,,42.3,
10,CTP,39,3200,-2,-18.2,0.1,0.3,1.6,0.0,-0.014,-0.012,,,,,6.5,5.2,0.024,,0.012,0.0,0.0,-0.535,-0.316,2.213,0.019,0.379,0.3,40.1,
11,PCF,8,2600,0,-3.5,0.0,0.4,-9.1,0.0,-0.1,-0.039,-10.0,,,,1.2,0.5,0.044,,,1.1,-28.4,,-0.103,,0.455,,,43.9,
