,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,PCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DGC,19483,51300,0,3.5,0.0,1.9,3.3,0.078,0.675,0.514,171.8,,,,4.4,4.0,0.414,,0.332,0.0,0.1,1.125,0.874,-0.27,-0.158,1.503,0.6,45.9,32.0
2,DPM,13031,33300,-1,2.3,0.0,0.9,1.6,0.12,0.459,0.353,63.6,,,,4.5,3.2,0.42,,0.294,0.1,0.1,0.516,0.184,0.15,0.004,0.642,0.45,36.8,22.0
3,DCM,12679,23950,-2,3.0,0.0,1.2,2.1,0.0,0.469,0.341,2589.8,,,,4.0,3.2,0.286,,0.224,0.0,0.1,0.466,0.226,0.375,0.348,1.237,0.4,44.4,29.0
4,PLC,2691,33300,-2,20.2,-1.3,2.2,9.4,0.036,0.102,0.028,3.4,,,,1.1,0.7,0.124,,0.009,1.4,3.4,-0.049,0.113,0.041,0.459,0.086,0.2,54.7,57.0
5,PAT,2287,91475,2,2.4,0.0,2.9,2.3,0.0,1.481,0.877,296.2,,,,1.9,1.7,0.334,,0.262,0.1,0.2,,,-0.086,-0.04,,,62.2,66.0
6,LTG,2189,27166,-1,5.3,-2.7,0.7,5.2,0.0,0.135,0.05,5.3,,,,1.1,0.8,0.239,,0.068,1.2,3.4,-0.015,0.061,2.279,0.119,-0.112,0.1,57.2,64.0
7,DHB,2181,8011,1,1.2,0.0,-8.6,1.6,0.0,-1.571,0.228,1.6,,,,0.2,0.1,0.332,,0.074,-12.8,1.5,,0.204,-0.755,-0.343,531.056,0.5,36.4,40.0
8,VFG,1483,35550,-1,6.3,0.1,1.3,4.0,0.056,0.221,0.102,31.7,,,,1.5,0.8,0.251,,0.078,0.2,0.3,0.102,0.064,0.1,0.077,0.132,0.1,46.5,52.0
9,DDV,1237,8467,0,3.5,0.0,0.7,2.4,0.059,0.224,0.18,3.3,,,,3.5,2.1,0.031,,0.009,0.1,0.2,0.891,0.106,-0.875,0.089,0.14,0.15,50.4,42.0
10,CSV,1211,27400,0,3.4,0.0,0.9,1.9,0.036,0.286,0.222,47.3,,,,4.3,3.0,0.226,,0.089,0.1,0.2,0.081,0.075,-0.575,-0.155,-0.046,0.03,44.7,27.0
11,BFC,940,16450,0,6.6,-0.2,0.9,5.9,0.0,0.131,0.035,2.1,,,,1.2,0.4,0.088,,0.009,1.5,3.9,-0.126,0.064,1.699,-0.171,-0.058,0.1,49.0,44.0
12,LAS,925,8200,0,10.5,0.3,0.7,9.1,0.0,0.066,0.038,4.9,,,,2.1,0.8,0.195,,0.028,0.4,4.4,-0.102,-0.041,1.144,0.219,0.232,0.2,49.3,48.0
13,TSC,675,3430,-2,-16.0,0.1,0.3,46.7,0.0,-0.023,-0.017,-22.3,,,,7.0,6.6,0.315,,,0.0,4.7,,0.017,,-0.284,-0.679,0.15,41.1,26.0
14,SFG,388,8100,0,8.7,0.3,0.6,13.1,0.0,0.075,0.036,-3.5,,,,1.9,0.6,,,,0.4,5.8,-0.133,-0.034,,-0.633,0.146,0.15,36.3,61.0
15,VAF,356,9460,-1,9.4,0.3,0.7,5.8,0.0,0.081,0.06,,,,,3.9,1.2,0.391,,0.041,0.0,0.0,-0.08,-0.006,0.502,0.266,0.694,-0.05,44.1,80.0
16,HAI,289,1580,0,11.9,-0.1,0.2,281.6,0.0,0.016,0.01,-0.1,,,,3.1,2.7,0.254,,,0.1,116.5,-0.088,-0.343,,-0.199,-1.028,0.147,27.5,18.0
17,SJF,238,3010,2,-29.7,0.2,0.3,-15.7,0.0,-0.01,-0.007,-1.0,,,,3.6,3.3,,,0.077,0.1,-5.3,,-0.286,-0.593,-0.622,-0.232,0.1,40.6,39.0
18,VPS,226,9230,-1,13.1,0.5,0.7,5.2,0.0,0.053,0.035,37.0,,,,2.3,1.7,0.28,,0.047,0.1,0.8,-0.156,-0.057,1.488,0.613,0.06,-0.1,55.0,38.0
19,QBS,123,1770,0,-2.8,0.0,0.2,-4.1,0.0,-0.074,-0.046,-23.7,,,,7.1,6.5,0.005,,,0.1,-5.0,,-0.366,,-0.376,-0.865,-0.15,45.9,33.0
20,PSW,122,7200,0,10.9,-0.1,0.6,14.4,0.0,0.05,0.035,-21.8,,,,3.8,1.7,0.001,,,0.0,0.0,0.024,0.114,,0.343,0.006,-0.079,33.0,
