,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,PMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TDP,2091,31000.0,-2,21.7,1.8,2.6,13.8,0.0,0.126,0.032,0.9,,,,1.0,0.6,0.077,,0.013,2.8,6.7,0.399,0.441,-0.535,0.142,-0.069,0.1,37.9,35.0
2,APH,1868,7660.0,-1,-136.2,1.1,0.7,9.1,0.0,-0.005,-0.001,-1.7,,,,1.7,1.2,0.037,,,0.7,4.9,,,,0.051,0.263,0.2,62.2,56.0
3,ILS,1152,32000.0,0,-61.3,0.1,4.1,-425.6,0.0,-0.062,-0.026,-5.2,,,,0.6,0.6,0.12,,,0.3,-37.0,,0.198,,-0.022,0.385,0.15,63.8,92.0
4,SVI,821,64000.0,0,7.0,0.3,1.1,4.7,0.0,0.171,0.098,25.2,,,,1.9,1.5,0.176,,0.078,0.2,0.7,0.12,0.039,0.464,-0.082,0.124,0.05,58.6,76.0
5,INN,691,38500.0,-1,8.4,0.5,1.2,4.0,0.0,0.145,0.078,16.0,,,,1.5,1.1,0.142,,0.044,0.2,1.0,0.026,0.118,0.096,0.22,0.056,0.05,47.3,39.0
6,TPP,428,9500.0,0,28.5,0.5,0.9,7.9,0.0,0.036,0.009,1.1,,,,1.1,0.7,0.165,,0.005,2.0,6.5,0.407,0.309,-0.138,-0.169,-0.534,0.05,31.5,
7,TTP,379,28067.0,2,8.1,0.0,0.4,6.9,0.0,0.047,0.031,,,,,2.5,1.9,0.117,,0.033,0.0,0.0,-0.086,0.057,-0.107,-0.027,0.466,0.09,43.4,52.0
8,MCP,307,20400.0,-1,27.1,-0.5,1.3,11.9,0.0,0.05,0.035,9.8,,,,2.8,1.3,0.117,,0.035,0.1,1.6,-0.142,0.073,2.097,0.067,-0.69,-0.14,48.6,60.0
9,VBC,157,21000.0,0,5.8,-1.9,1.0,8.3,0.0,0.186,0.061,3.7,,,,1.2,0.8,0.106,,0.025,1.1,3.3,0.003,0.054,-0.01,0.155,-0.175,0.05,53.4,
10,SDG,152,15000.0,-1,4.4,0.0,0.5,8.6,0.0,0.113,0.037,1.9,,,,1.3,0.9,0.083,,0.012,0.6,4.0,0.134,0.463,-0.588,0.008,,,42.8,76.0
11,PBT,145,8300.0,0,10.6,-0.8,0.8,4.4,0.0,0.071,0.043,,,,,2.2,1.9,0.047,,0.023,0.1,0.5,0.02,0.062,0.368,0.052,-0.341,-0.45,86.9,
12,BBS,66,11000.0,0,8.4,-0.4,0.6,5.0,0.0,0.071,0.021,0.8,,,,1.0,0.7,0.099,,,1.5,3.5,0.146,0.048,,-0.11,,,56.2,
13,HPB,65,,0,,,,2.8,0.056,0.189,0.115,34.8,,,,2.0,1.3,0.121,,0.053,0.0,0.4,-0.007,-0.102,0.305,,,,46.0,
14,PBP,54,11200.0,1,8.0,0.5,0.8,2.4,0.0,0.106,0.056,19.4,,,,1.4,0.9,0.054,,0.012,0.1,0.3,-0.011,0.137,16.869,1.601,,,46.2,
15,STP,49,6100.0,0,10.9,-0.3,0.4,8.0,0.131,0.032,0.025,69.1,,,,3.4,2.5,0.12,,0.032,0.0,0.0,0.066,0.021,11.584,0.193,,,46.6,66.0
16,BPC,38,10000.0,0,34.9,-0.5,0.4,12.6,0.0,0.011,0.006,2.6,,,,1.8,1.5,0.095,,0.007,0.4,5.9,-0.401,-0.046,0.326,0.267,,,46.4,
17,NHP,14,600.0,0,-1.1,0.0,0.1,,0.0,-0.065,-0.043,-0.1,,,,0.9,0.9,,,,0.4,-23.7,,,,,,,0.5,68.0
18,HDO,10,2100.0,0,-0.1,0.0,-0.2,-0.2,0.0,5.358,-3.573,-852.1,,,,0.1,0.1,-10.338,,-20.441,-0.6,-0.2,,,,-0.957,,,25.2,63.0
