,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,PQN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACV,178458,81976,-1,25.1,0.0,4.1,27.2,0.0,0.175,0.124,51.8,,,,7.6,7.5,0.47,,0.312,0.3,1.8,0.117,0.0,-0.465,-0.019,6.811,2.3,35.8,37.0
2,GMD,15521,51500,2,15.6,0.2,2.2,12.0,0.0,0.15,0.083,7.4,,,,0.8,0.8,0.426,,0.177,0.3,1.3,0.144,-0.003,-0.226,0.075,0.128,0.07,55.3,69.0
3,TMS,6233,51200,1,8.9,0.8,1.6,14.0,0.0,0.199,0.123,125.0,,,,2.1,2.1,0.322,,0.236,0.2,2.3,0.292,0.113,0.429,0.179,0.13,0.05,36.3,22.0
4,PHP,5722,17500,-1,10.1,3.1,1.2,8.2,0.0,0.127,0.089,60.0,,,,5.9,5.8,0.32,,0.181,0.1,0.7,0.11,0.026,-0.234,0.061,0.249,0.109,48.0,47.0
5,STG,4613,46950,1,19.0,3.7,2.3,12.8,0.0,0.127,0.088,10.7,,,,2.0,1.8,0.18,,0.078,0.1,0.6,-0.093,0.127,-0.337,-0.106,0.209,0.15,64.8,77.0
6,VSC,3577,29500,1,11.3,-1.2,1.3,5.2,0.034,0.117,0.083,89.9,,,,3.0,2.9,0.293,,0.103,0.3,0.7,0.058,0.09,-0.336,0.025,0.016,0.05,48.9,46.0
7,PAP,3040,15200,0,-631.9,-4.6,1.5,-549.8,0.0,-0.003,-0.002,,,,,0.7,0.7,,,,0.0,-4.7,,,,,,,35.5,72.0
8,CDN,2673,27000,-1,9.9,0.7,1.7,6.7,0.0,0.177,0.141,40.3,,,,3.8,3.7,0.419,,0.223,0.2,0.5,0.156,0.148,0.126,0.08,0.149,0.1,42.6,36.0
9,SGP,2661,12304,2,13.3,-0.2,1.1,11.4,0.0,0.081,0.037,4.2,,,,3.2,3.1,0.285,,0.043,0.1,1.4,-0.135,-0.008,-0.658,-0.102,-0.683,-0.12,55.7,42.0
10,SGN,2448,73000,0,17.7,0.1,3.0,8.5,0.0,0.173,0.137,,,,,4.3,4.2,0.243,,0.099,0.0,0.0,-0.079,-0.021,-0.024,0.023,2.425,0.65,68.8,76.0
11,HAH,2406,34200,6,2.9,0.0,1.0,2.2,0.0,0.425,0.199,11.5,,,,1.9,1.8,0.32,,0.203,0.4,0.7,0.41,0.327,-0.214,0.086,0.527,0.35,54.2,54.0
12,VGR,2169,34300,0,7.9,0.2,1.9,5.0,0.0,0.245,0.232,1007.9,,,,7.3,7.1,0.432,,0.307,0.0,0.0,0.232,0.087,0.063,0.08,0.401,0.099,50.8,44.0
13,DVP,2016,50400,1,7.1,3.2,1.5,7.9,0.02,0.206,0.189,,,,,10.8,10.7,0.421,,0.386,0.0,0.0,-0.003,-0.014,-0.424,-0.046,0.102,-0.01,64.9,71.0
14,ASG,1778,23500,0,20.0,0.5,1.6,11.3,0.0,0.08,0.034,1.0,,,,2.9,2.8,0.161,,,0.4,2.7,,,,-0.1,0.367,0.2,35.6,32.0
15,CLL,1008,29650,1,10.6,0.9,1.6,5.3,0.0,0.15,0.137,,,,,7.2,7.2,0.361,,0.327,0.0,0.0,0.016,0.009,0.183,0.126,0.093,-0.04,69.6,78.0
16,PSN,396,9900,0,13.9,-0.6,0.8,6.5,0.0,0.054,0.034,,,,,1.7,1.4,0.055,,0.035,0.0,0.0,-0.035,0.073,3.175,0.459,-0.02,-0.1,34.8,66.0
17,DL1,361,3400,0,7.6,0.2,0.3,17.9,0.0,0.041,0.016,1.1,,,,1.0,1.0,0.391,,0.153,1.1,13.3,0.262,0.037,-0.137,0.064,-0.078,0.05,48.5,24.0
18,CPI,111,3050,0,18.1,0.2,-4.7,12.4,0.0,-0.249,0.128,,,,,0.9,0.8,0.171,,0.041,0.0,0.0,0.423,-0.055,-0.737,0.096,,,59.8,
