,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,SGB,4275,13880,-1,22.6,0.4,1.1,,0.0,0.05,0.007,,,0.027,0.021,,,,,,6.1,,0.283,0.069,,-0.931,0.08,0.106,58.0,58.0
1,VCB,432552,91400,-1,14.5,0.4,3.1,,0.0,0.24,0.019,,,0.034,0.007,,,,,,12.1,,0.269,0.183,0.637,0.117,0.091,0.168,51.7,57.0
2,BID,233704,46200,0,12.8,0.2,2.2,,0.0,0.199,0.009,,,0.029,0.012,,,,,,19.3,,0.218,0.123,-0.207,0.007,-0.023,0.124,53.4,74.0
3,VPB,141313,21050,1,7.8,0.1,1.4,,0.0,0.207,0.031,,,0.075,0.057,,,,,,5.1,,0.23,0.182,-0.393,-0.052,-0.091,0.036,71.2,75.0
4,CTG,140328,29200,1,8.3,0.4,1.3,,0.0,0.169,0.01,,,0.03,0.012,,,,,,15.7,,0.179,0.146,0.276,-0.005,0.099,0.087,54.5,69.0
5,TCB,99714,28350,1,4.9,0.4,0.9,,0.0,0.197,0.032,,,0.053,0.009,,,,,,5.2,,0.256,0.2,-0.331,-0.088,0.296,0.228,61.3,64.0
6,ACB,84436,25000,2,6.2,0.1,1.4,,0.0,0.265,0.024,,,0.043,0.007,,,,,,9.4,,0.452,0.203,-0.2,0.118,0.101,0.137,56.3,73.0
7,MBB,82745,18250,0,4.7,0.1,1.0,,0.0,0.258,0.026,,,0.057,0.011,,,,,,8.2,,0.378,0.269,-0.296,0.07,0.155,0.188,59.0,63.0
8,SSB,64167,31450,0,15.8,0.3,2.4,,0.0,0.181,0.018,,,0.033,0.016,,,,,,7.8,,,,-0.132,0.05,-0.102,0.041,34.1,46.0
9,STB,49393,26200,2,9.8,0.2,1.3,,0.0,0.138,0.009,,,0.033,0.01,,,,,,14.3,,0.337,0.248,0.445,0.11,0.529,0.106,59.0,78.0
10,HDB,48419,19250,2,6.2,0.2,1.2,,0.0,0.235,0.02,,,0.05,0.017,,,,,,9.7,,0.347,0.24,-0.139,0.088,0.094,0.091,63.1,84.0
11,VIB,45104,21400,6,5.3,0.2,1.4,,0.07,0.297,0.026,,,0.047,0.025,,,,,,9.5,,0.498,0.346,-0.007,0.013,0.161,0.186,56.2,66.0
12,TPB,35115,22200,3,5.6,0.2,1.1,,0.0,0.215,0.02,,,0.04,0.008,,,,,,9.2,,0.454,0.34,-0.112,-0.027,0.074,0.124,56.2,67.0
13,SHB,32969,10750,1,4.3,0.1,0.8,,0.0,0.196,0.015,,,0.036,0.025,,,,,,11.9,,0.381,0.246,-0.815,-0.115,0.066,0.091,60.6,50.0
14,EIB,27883,18900,-1,9.5,0.0,1.4,,0.0,0.154,0.017,,,0.033,0.018,,,,,,8.0,,0.291,0.137,-0.606,0.104,-0.091,0.117,45.2,35.0
15,LPB,26628,15400,1,5.9,0.1,1.1,,0.0,0.221,0.015,,,0.04,0.015,,,,,,12.6,,0.269,0.227,-0.323,0.065,0.131,0.124,62.9,76.0
16,MSB,25200,12600,2,5.5,0.4,0.9,,0.0,0.19,0.022,,,0.044,0.017,,,,,,7.0,,1.068,0.269,-0.358,-0.061,0.088,0.195,59.8,62.0
17,OCB,22740,16600,1,6.5,-0.3,0.9,,0.0,0.149,0.019,,,0.039,0.022,,,,,,6.7,,0.339,0.257,0.914,0.279,0.014,0.083,57.0,53.0
18,BAB,11418,13700,1,13.3,0.7,1.2,,0.0,0.091,0.007,,,0.021,0.005,,,,,,12.1,,0.067,0.099,0.256,0.308,0.107,0.071,41.1,34.0
19,NAB,8446,9978,0,4.8,0.2,0.7,,0.0,0.171,0.011,,,0.032,0.013,,,,,,13.0,,0.499,0.288,-0.482,0.26,0.195,0.142,55.2,63.0
20,ABB,7433,7899,0,5.8,-0.3,0.6,,0.0,0.104,0.01,,,0.023,0.029,,,,,,9.0,,0.226,0.106,,7.051,0.062,0.274,47.8,41.0
