,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,SGS,199,13800,1,4.5,0.1,0.9,3.0,0.0,0.21,0.17,213.3,,,,5.8,5.8,0.2,,0.112,0.0,0.0,0.011,0.211,-0.437,-0.088,-0.209,-0.03,51.9,74.0
1,MVN,16794,13988,-2,8.4,3.2,1.7,5.8,0.0,0.229,0.075,3.1,,,,1.6,1.5,0.217,,0.055,0.3,1.2,,,-0.687,-0.13,-0.389,-0.12,48.6,23.0
2,PVT,6700,20700,-1,8.0,0.3,1.1,4.6,0.0,0.15,0.063,3.8,,,,2.1,2.0,0.18,,0.085,0.5,1.5,0.138,0.08,-0.236,0.046,0.325,0.23,52.5,60.0
3,VFC,1879,55600,0,13.0,0.0,2.8,8.3,0.0,0.241,0.139,29.1,,,,2.4,2.4,0.154,,0.07,0.1,0.4,,0.104,-0.249,-0.029,-0.664,0.09,47.3,73.0
4,VOS,1301,9290,-1,2.7,-10.1,0.9,1.5,0.0,0.385,0.18,4.2,,,,1.9,1.7,0.146,,0.029,0.0,0.4,1.145,0.085,-0.882,-0.134,0.0,0.1,44.0,24.0
5,SWC,1253,18675,-1,5.8,0.4,0.9,4.5,0.0,0.157,0.131,19.2,,,,2.9,2.9,0.174,,0.171,0.1,0.5,-0.16,0.386,-0.231,0.02,0.247,0.26,40.8,37.0
6,SFI,795,36000,1,3.7,0.1,1.0,3.8,0.111,0.311,0.219,,,,,2.5,2.4,0.14,,0.057,0.0,0.0,0.403,0.192,-0.415,0.463,-0.029,0.05,51.0,48.0
7,VTO,749,9380,-1,9.0,-0.3,0.7,2.0,0.0,0.073,0.048,8.1,,,,2.9,2.5,0.238,,0.161,0.3,1.0,-0.049,-0.013,1.309,0.076,0.316,0.2,63.4,77.0
8,VIP,746,10900,1,3.0,0.0,0.6,3.2,0.0,0.207,0.168,65.6,,,,6.9,6.4,0.434,,1.121,0.0,0.5,0.258,0.038,5.022,0.107,-0.36,0.15,54.3,78.0
9,VNA,593,29642,1,2.4,0.1,1.2,1.4,0.0,0.683,0.347,-1.2,,,,2.0,1.8,0.088,,0.146,0.1,0.4,,0.135,-0.495,-0.198,0.164,0.5,65.0,68.0
10,GSP,586,10500,-1,7.2,0.2,0.8,5.4,0.0,0.117,0.059,3.3,,,,1.6,1.5,0.133,,0.065,0.7,2.3,0.091,0.074,0.413,-0.13,0.3,0.18,48.1,62.0
11,PDV,413,13277,-1,5.4,0.0,0.9,3.7,0.0,0.194,0.086,10.2,,,,1.7,1.6,0.256,,0.162,0.6,2.1,0.529,0.065,4.068,-0.091,8.911,0.06,51.0,
12,PNP,298,18500,0,6.2,0.3,1.4,5.8,0.0,0.225,0.132,10.0,,,,3.3,3.3,0.316,,0.189,0.5,1.7,0.063,0.093,0.533,0.08,0.404,0.2,64.0,
13,PJT,225,9760,3,9.8,1.8,0.7,3.4,0.0,0.076,0.045,1.9,,,,1.0,0.5,0.078,,0.059,0.4,1.5,-0.074,0.078,0.384,-0.102,0.227,0.4,63.0,49.0
14,VST,159,2371,-1,0.7,0.0,-0.1,3.0,0.0,-0.133,0.353,-0.4,,,,0.1,0.1,0.143,,1.433,-0.5,2.8,,0.056,,-0.276,,,6.9,82.0
15,HTV,136,10350,0,7.7,2.1,0.4,7.2,0.0,0.053,0.041,,,,,3.8,3.8,0.084,,0.027,0.0,0.0,-0.036,0.142,-0.623,0.004,0.075,0.1,43.7,37.0
16,VFR,95,6300,0,4.2,0.0,0.5,7.2,0.0,0.119,0.069,-2.1,,,,1.0,1.0,0.085,,,0.3,3.7,-0.093,-0.121,,-0.005,-0.466,-0.1,36.6,59.0
17,VPA,45,3000,1,-0.9,0.0,11.7,-110.0,0.0,-1.708,-0.141,-2.6,,,,0.5,0.2,,,,70.5,-92.7,,-0.035,,0.629,,,58.3,
18,DDM,33,2700,0,0.6,0.0,0.0,3.5,0.0,-0.076,0.094,-0.8,,,,1.7,1.6,0.041,,,-0.6,3.5,,0.093,,-0.267,,,80.2,
19,NOS,18,935,0,-0.1,0.0,0.0,61.9,0.0,0.055,-0.342,-1.6,,,,0.0,0.0,,,,-0.7,61.6,,0.218,,0.263,,,17.0,60.0
