,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,TIX,1056,35200,0,10.2,-0.6,1.3,9.7,0.071,0.126,0.087,,,,,3.9,3.9,0.76,,0.452,0.0,0.1,-0.015,-0.135,-0.025,-0.041,-0.172,0.05,63.9,74.0
1,VHM,224250,51500,2,7.8,-0.3,1.6,9.6,0.0,0.21,0.097,30.2,,,,1.0,0.6,0.484,,0.286,0.2,1.1,0.829,0.325,-0.384,0.752,-0.039,0.15,71.0,76.0
2,VIC,209766,55000,4,25.1,-0.1,1.9,39.4,0.0,0.08,0.017,1.3,,,,0.9,0.6,0.311,,0.038,1.3,16.0,0.134,0.026,0.647,0.432,-4.488,0.25,66.9,62.0
3,BCM,85802,82900,2,53.5,2.1,5.1,61.3,0.0,0.099,0.033,-0.9,,,,1.5,0.4,0.347,,0.064,0.9,9.9,0.149,-0.009,-0.723,-0.612,0.811,0.18,50.4,60.0
4,VRE,67147,29550,-1,24.6,0.2,2.0,14.2,0.0,0.086,0.068,9.6,,,,1.8,1.6,0.505,,0.379,0.1,0.7,0.065,0.059,-0.003,0.04,0.127,0.25,58.1,76.0
5,NVL,24766,12700,-1,10.9,-0.4,0.7,50.9,0.0,0.062,0.01,2.3,,,,2.7,0.9,0.336,,0.074,1.4,38.5,0.022,-0.009,0.214,-0.012,0.204,0.1,59.1,44.0
6,SSH,23111,61629,2,72.3,10.1,5.6,695.8,0.0,0.096,0.022,0.2,,,,1.3,1.0,0.271,,0.211,1.6,130.6,,,0.413,1.496,-0.145,0.02,52.2,42.0
7,KDH,19785,27600,1,18.0,-2.2,1.7,30.5,0.0,0.101,0.061,,,,,6.0,2.4,0.242,,0.096,0.6,5.8,0.17,-0.01,-0.662,0.537,-0.011,0.05,60.8,63.0
8,KBC,18614,24250,1,12.0,0.1,1.2,-158.2,0.0,0.103,0.047,-3.6,,,,2.6,1.5,,,,0.4,-43.7,0.212,-0.055,,,0.804,0.353,63.7,67.0
9,NLG,10293,26800,1,18.5,-0.4,1.1,17.6,0.011,0.062,0.022,15.4,,,,2.7,1.0,0.5,,0.268,0.4,5.1,0.008,0.065,54.281,0.848,0.008,0.2,60.2,46.0
10,PDR,8396,12500,1,7.3,-0.2,1.0,15.8,0.0,0.151,0.053,-0.6,,,,1.7,0.6,,,,0.5,4.0,0.211,0.025,,0.317,-0.201,-0.5,58.2,44.0
11,DIG,8233,13500,1,54.0,-0.6,1.1,35.0,0.0,0.02,0.01,0.7,,,,2.8,1.3,0.281,,0.011,0.5,12.0,-0.057,0.037,,-0.077,0.068,0.7,55.5,43.0
12,DXG,7656,12550,7,51.4,-0.6,0.8,19.7,0.0,0.017,0.005,-1.6,,,,2.2,1.1,0.441,,,0.4,5.7,-0.277,0.142,,-0.216,-0.306,-0.35,62.3,53.0
13,TCH,4925,7370,-1,27.6,-0.4,0.6,20.4,0.0,0.021,0.012,3.2,,,,5.1,3.8,0.282,,0.079,0.0,1.0,-0.18,0.067,,1.635,-0.059,-0.2,55.3,47.0
14,ITA,3659,3900,1,-20.4,0.1,0.3,-18.2,0.0,-0.016,-0.014,-621.8,,,,3.3,1.2,,,,0.0,-0.4,,,,,0.264,0.1,42.8,27.0
15,CRE,3264,7040,0,16.6,-0.3,0.6,15.0,0.0,0.044,0.028,-2.6,,,,3.3,3.0,,,,0.2,4.0,-0.044,0.256,,-0.768,-0.379,-0.25,48.0,31.0
16,SCR,2691,6800,1,53.6,-0.7,0.6,42.9,0.0,0.01,0.005,0.2,,,,1.8,1.0,0.255,,,0.4,16.0,-0.262,-0.133,,3.08,-0.035,-0.3,58.7,49.0
17,FLC,2485,3500,0,-1.3,0.0,0.3,-13.2,0.0,-0.218,-0.054,-4.3,,,,1.0,0.9,,,,0.6,-9.6,-0.393,0.022,,-0.255,-6.939,0.1,0.3,33.0
18,KHG,2063,4590,1,4.7,0.7,0.4,9.2,0.0,0.09,0.066,6.7,,,,1.1,0.9,0.418,,0.399,0.2,2.4,,,3.66,1.074,0.299,0.55,46.5,29.0
19,HQC,1740,3650,1,96.3,0.3,0.4,92.5,0.0,0.004,0.002,13.0,,,,1.3,1.1,0.599,,0.06,0.0,0.7,-0.221,-0.056,1.051,0.146,17.825,2.0,58.2,38.0
