,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,TJC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TCL,1062,35200,-2,8.3,0.6,2.0,6.3,0.0,0.236,0.152,116.2,,,,1.7,1.7,0.204,,0.099,0.0,0.2,0.052,0.102,0.107,-0.051,0.274,0.15,53.7,59.0
2,PVP,1018,11505,0,5.2,-0.5,0.7,5.0,0.0,0.132,0.083,4.1,,,,2.2,2.2,0.08,,0.55,0.3,2.4,0.246,0.092,-0.92,0.663,-0.056,0.15,39.1,31.0
3,VNT,1012,60800,0,-98.1,0.5,5.8,19.0,0.0,-0.055,-0.014,2.3,,,,1.0,1.0,0.065,,,1.7,5.4,,0.15,,-0.231,0.214,0.03,39.3,39.0
4,VTX,378,18000,0,47.3,-0.9,1.4,36.5,0.0,0.03,0.017,-2.9,,,,1.4,0.8,0.133,,0.103,0.5,7.9,-0.154,0.021,38.596,-0.239,-0.451,-0.05,10.5,69.0
5,VSA,327,23200,-1,7.7,0.5,0.9,0.4,0.0,0.115,0.058,,,,,1.6,1.6,0.053,,0.005,0.0,0.0,-0.009,0.137,-0.847,-0.157,-0.571,-0.03,54.7,66.0
6,VNF,279,8800,-1,13.3,-0.2,0.5,1.1,0.0,0.036,0.019,-3.4,,,,2.1,2.1,0.046,,,0.0,2.2,-0.131,0.022,,-0.258,-0.141,0.03,44.8,53.0
7,PSP,241,6033,-1,846.6,-8.8,0.5,10.5,0.0,0.001,0.001,1.0,,,,2.7,2.6,0.213,,,0.1,2.2,-0.65,-0.003,,0.351,-0.159,0.1,45.3,91.0
8,PCT,182,6600,2,12.8,2.5,0.6,7.8,0.0,0.046,0.033,2.4,,,,3.8,3.8,0.101,,0.034,0.7,5.6,0.651,-0.044,0.414,0.944,0.086,0.15,57.6,
9,VNL,177,18800,0,4.0,-6.2,0.7,2.2,0.08,0.188,0.115,,,,,3.9,3.9,0.079,,0.02,0.0,0.0,0.12,0.071,-0.553,-0.174,,,46.3,50.0
10,MHC,154,3730,0,-7.8,0.1,0.3,-58.8,0.0,-0.036,-0.015,0.1,,,,15.4,15.4,,,1.138,1.1,-55.3,,-0.063,0.559,0.035,-0.758,0.25,45.7,24.0
11,TCO,145,7760,-1,3.8,-0.2,0.5,-495.8,0.0,0.128,0.108,-2.6,,,,44.2,44.1,0.014,,0.26,0.0,-37.4,0.203,0.54,,-0.714,0.041,0.03,45.4,24.0
12,HMH,137,10700,-1,20.8,-0.4,0.7,10.3,0.0,0.031,0.027,,,,,4.2,4.2,0.055,,0.097,0.1,0.5,-0.383,-0.058,0.021,0.242,,,45.4,
13,PSC,93,12900,0,16.0,-0.6,0.8,2.9,0.0,0.049,0.023,4.5,,,,0.7,0.6,0.098,,0.016,0.4,1.1,-0.175,0.122,,0.035,,,53.3,80.0
14,TOT,82,15000,0,6.3,0.0,1.2,3.2,0.0,0.195,0.113,29.2,,,,1.1,1.1,0.315,,0.121,0.4,0.6,0.421,0.218,0.329,0.567,,,56.7,
15,PTS,57,10200,0,6.1,-0.3,0.6,3.1,0.0,0.093,0.035,2.0,,,,0.7,0.5,0.114,,0.014,1.0,2.3,0.124,0.123,-0.437,0.097,,,54.5,
16,VLG,41,2905,0,-1.8,0.0,0.3,-3.4,0.0,-0.149,-0.1,-97.0,,,,1.5,1.5,,,,0.1,-1.0,,-0.414,,-0.312,,,31.3,
