,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,TPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HTP,3819,41600,2,4057.9,-41.3,3.9,142.0,0.0,0.001,0.0,0.7,,,,0.8,0.8,0.949,,0.016,0.9,41.8,-0.021,0.454,0.862,0.744,277.583,0.15,69.2,77.0
2,VNB,502,7392,0,12.5,0.6,0.5,-40.4,0.0,0.043,0.042,,,,,53.6,53.2,0.338,,1.245,0.0,0.0,0.079,0.016,0.062,0.008,-0.072,0.4,47.1,34.0
3,EID,314,20900,1,4.2,0.1,0.8,1.1,0.0,0.211,0.142,,,,,2.8,1.8,0.143,,0.215,0.0,0.1,0.155,0.119,-0.062,-0.782,0.022,0.038,44.4,50.0
4,SED,167,18000,0,4.4,-0.1,0.6,3.3,0.0,0.138,0.077,9.8,,,,1.8,0.8,0.358,,0.066,0.2,1.4,0.016,0.12,-0.542,-0.742,-0.133,0.05,60.4,
5,DST,129,4000,0,3.5,0.2,0.3,116.2,0.0,0.098,0.094,,,,,1.6,1.5,0.057,,0.15,0.0,0.5,,-0.047,-0.241,8.886,1.204,0.4,43.6,
6,STH,119,6078,-3,101.6,-8.6,0.6,83.2,0.0,0.006,0.004,5.1,,,,7.8,7.4,0.484,,0.023,0.2,18.9,0.137,0.11,-0.648,-0.064,,,31.8,
7,STC,116,20500,0,7.0,-0.6,0.9,6.6,0.068,0.129,0.071,30.9,,,,2.0,1.0,0.255,,0.039,0.0,0.0,0.038,0.066,0.79,0.098,,,71.2,
8,PNC,101,9360,0,7.6,0.0,0.6,1.3,0.0,0.083,0.025,,,,,1.3,0.6,0.292,,,0.0,0.0,,0.035,,-0.049,-2.29,0.1,42.2,48.0
9,EBS,96,9600,0,6.7,0.3,0.7,10.6,0.089,0.107,0.082,0.5,,,,3.3,2.8,1.199,,1.316,0.1,0.5,0.003,-0.12,1.724,-0.857,,,46.1,
10,SGD,87,21600,1,-688.2,6.2,1.7,23.3,0.0,-0.002,-0.001,-2.3,,,,2.1,0.8,0.053,,,0.2,3.9,,0.028,,-0.463,,,30.8,
11,ALT,87,15100,0,11.5,0.2,0.4,3.7,0.0,0.035,0.026,7.3,,,,2.2,1.7,0.102,,0.027,0.2,1.3,0.042,0.126,-0.185,0.155,,,54.1,
12,DAD,81,17400,1,5.6,1.3,0.9,1.6,0.086,0.156,0.097,,,,,1.9,1.3,6.053,,,0.0,0.0,0.095,0.224,,-0.986,,,55.5,
13,ADC,60,15000,1,4.3,0.1,0.8,2.7,0.1,0.202,0.091,,,,,1.4,0.9,0.579,,0.06,0.0,0.0,0.069,0.051,0.704,-0.219,,,47.9,
14,SMN,57,13100,0,4.9,2.5,0.7,4.0,0.0,0.156,0.094,,,,,2.4,1.7,0.32,,0.052,0.0,0.0,0.058,0.055,-0.05,-0.605,,,41.6,
15,QST,30,9200,0,3.3,0.1,0.7,5.3,0.0,0.211,0.109,12.8,,,,0.5,0.3,0.227,,0.115,0.5,1.8,0.24,0.152,,-0.053,,,12.1,
