,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,VIG,262,5800,1,68.3,0.4,0.9,44.7,0.0,0.015,0.014,,,,,26.0,26.0,0.688,,0.022,0.0,0.5,0.179,0.481,0.417,3.106,,,63.3,17.0
1,SSI,32231,21500,1,19.9,-0.5,1.4,15.5,0.0,0.089,0.031,,,,,1.6,1.6,0.526,,0.173,1.2,8.6,0.079,0.169,-0.304,0.002,-0.15,0.0,63.8,74.0
2,VND,18876,15500,1,15.5,-0.3,1.3,12.6,0.0,0.1,0.032,,,,,1.6,1.6,0.244,,,1.3,7.5,0.205,0.411,,0.415,-0.055,0.0,58.5,68.0
3,VCI,13980,32100,0,16.1,-0.4,2.2,11.0,0.0,0.133,0.056,,,,,1.9,1.9,0.349,,0.036,1.0,3.8,0.058,0.155,-0.768,0.526,-0.029,-0.1,63.2,80.0
4,HCM,11659,25500,1,13.7,-0.5,1.5,14.7,0.01,0.112,0.043,,,,,2.0,2.0,0.279,,0.141,0.9,10.1,0.09,0.205,-0.241,0.168,0.05,0.05,59.5,82.0
5,SHS,7481,9200,2,46.1,-0.5,0.8,20.7,0.0,0.021,0.015,,,,,7.9,7.9,0.385,,0.233,0.0,4.4,-0.152,0.072,0.611,1.05,0.756,0.05,58.9,65.0
6,MBS,6013,15800,3,11.7,-0.9,1.3,11.5,0.0,0.13,0.047,,,,,1.7,1.7,0.679,,0.178,1.2,5.5,0.846,0.185,-0.402,-0.056,0.187,0.05,68.8,80.0
7,FTS,4984,25550,1,15.6,-0.3,1.5,11.9,0.0,0.101,0.043,,,,,2.6,2.6,0.613,,0.418,0.4,2.5,0.122,0.219,,2.999,-0.27,-0.15,77.4,82.0
8,VIX,4482,7700,1,14.4,-0.2,0.6,6.0,0.0,0.054,0.048,,,,,28.5,28.5,,,,0.0,0.3,0.318,0.251,,0.301,-0.191,-0.1,63.5,66.0
9,BSI,4336,23150,5,38.6,-0.6,1.0,11.1,0.0,0.037,0.019,,,,,4.5,4.5,0.316,,0.066,0.2,5.4,-0.085,0.139,-0.136,-0.025,1.854,0.4,78.2,84.0
10,CTS,2491,16750,1,35.0,-0.4,1.3,18.4,0.0,0.039,0.012,,,,,1.6,1.6,0.491,,,1.7,11.4,-0.083,0.249,,0.333,0.101,0.35,73.0,84.0
11,TVS,2402,22000,0,25.5,-0.3,1.3,10.0,0.0,0.053,0.011,,,,,1.3,1.3,0.509,,0.138,1.7,6.3,-0.236,0.198,1.679,0.388,0.714,0.4,44.3,29.0
12,ORS,2030,10150,2,13.5,-0.4,0.9,3.8,0.0,0.067,0.026,,,,,4.7,4.7,0.203,,,0.0,0.4,,1.735,,0.295,-0.055,0.24,66.7,69.0
13,AGR,2023,9390,3,13.8,-0.2,0.8,12.3,0.0,0.059,0.053,,,,,8.8,8.8,0.834,,0.465,0.1,1.1,0.175,0.147,0.464,0.128,3.529,1.2,77.0,76.0
14,PHS,1980,13200,0,33.0,-0.6,1.2,16.6,0.0,0.037,0.014,,,,,1.7,1.7,0.566,,0.227,1.1,8.6,0.282,0.331,,-0.126,,,46.3,32.0
15,VDS,1651,7860,2,-18.6,0.2,0.8,-10.8,0.0,-0.048,-0.021,,,,,2.0,2.0,0.026,,0.076,0.2,-2.3,,0.184,-0.537,0.049,-0.802,-0.37,62.7,56.0
16,APG,1026,7010,1,-4.9,0.0,0.7,-4.6,0.0,-0.164,-0.151,,,,,22.9,22.9,,,,0.0,0.0,,0.616,,-0.91,1.073,1.2,60.7,57.0
17,EVS,937,9100,0,12.3,-0.2,0.5,9.1,0.0,0.04,0.027,,,,,4.6,4.6,0.661,,0.479,0.1,1.3,,0.66,,0.914,-0.728,0.0,50.0,40.0
18,SBS,802,5471,0,-11.1,0.0,2.3,-14.9,0.0,-0.257,-0.104,,,,,2.1,2.1,,,,0.0,0.0,,-0.017,,0.039,0.021,0.05,63.0,57.0
19,TCI,778,7706,-1,10.8,-0.2,0.6,8.8,0.0,0.06,0.049,,,,,6.4,6.4,0.349,,0.081,0.0,1.3,,,-0.703,0.171,-0.279,-0.27,53.4,48.0
20,TVB,439,3920,2,25.3,-0.3,0.4,6.1,0.0,0.013,0.011,,,,,10.0,10.0,,,,0.0,1.4,0.059,0.444,,0.405,-0.737,-0.54,56.1,50.0
