,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,VNC,378,36000,0,10.5,0.7,1.4,4.2,0.0,0.137,0.099,50.5,,,,2.5,2.4,0.198,,0.049,0.0,0.1,0.025,0.041,-0.057,0.108,-0.023,0.055,54.7,32.0
1,IPA,2438,11400,1,22.9,-0.2,0.7,47.5,0.0,0.031,0.012,0.1,,,,4.0,4.0,0.529,,,1.2,28.5,-0.133,-0.358,,0.042,-0.633,0.08,50.6,38.0
2,TV2,1509,22350,-1,19.7,-0.3,1.1,13.7,0.0,0.056,0.021,11.3,,,,1.3,1.3,0.158,,0.121,0.1,1.4,-0.244,-0.064,2.418,-0.284,-0.349,-0.45,46.2,46.0
3,HSA,407,47000,0,12.4,0.1,2.4,,0.0,0.329,0.187,-1.4,,,,2.2,2.2,,,,0.8,-17.0,,,6.942,,-0.686,0.055,25.8,78.0
4,TV1,318,11900,1,26.7,49.4,1.0,7.6,0.0,0.04,0.009,2.5,,,,0.9,0.6,0.276,,0.031,1.7,5.6,1.086,-0.02,1.966,0.328,-9.055,-0.1,48.5,64.0
5,TV4,259,13100,1,6.2,0.4,1.0,5.4,0.0,0.176,0.109,,,,,1.8,1.7,0.271,,0.119,0.0,0.0,0.107,0.078,0.186,3.934,0.038,0.08,53.3,48.0
6,ABR,180,9000,-1,6.2,0.1,0.6,4.6,0.0,0.108,0.084,,,,,2.3,2.3,0.56,,0.318,0.0,0.0,1.079,0.296,0.063,0.035,0.326,0.1,44.7,31.0
7,PPS,162,10800,1,8.9,0.9,0.9,5.7,0.0,0.097,0.042,,,,,1.6,1.5,0.199,,0.087,0.0,0.0,-0.063,-0.284,5.805,2.032,0.17,0.04,54.6,52.0
8,VQC,61,5900,1,3.2,0.2,0.2,6.4,0.0,0.078,0.061,,,,,4.5,4.5,0.324,,0.073,0.0,0.0,0.174,0.138,-0.117,-0.177,,,54.2,
9,SDC,22,8500,0,13.0,-0.5,0.4,11.7,0.0,0.032,0.019,-2.3,,,,2.2,1.5,0.206,,0.033,0.1,1.3,-0.142,-0.114,0.032,0.162,,,98.8,
10,PPE,16,7800,0,8.4,0.0,1.5,10.3,0.0,0.197,0.101,,,,,2.3,2.3,,,,0.0,0.0,,0.374,-0.85,,,,15.5,
