exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Đầu tư Phát triển Máy Việt Nam,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,,352.0,105.0,0.0,https://vimid.vn,3.3,-0.017,-0.032,,20.5,20.5,CT,VVS,,,,
HNX,Đầu tư CMC,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,2004.0,17.0,414.0,0.011,http://www.cmci.com.vn,3.4,0.201,0.222,-0.183,4.6,4.6,CT,CMC,,,,
HOSE,Cao su Miền Nam,213.0,3357.0,Ô tô và phụ tùng,Automobiles & Parts,2006.0,2144.0,5415.0,0.007,http://www.casumina.com,3.3,-0.096,-0.102,0.046,103.6,103.6,CT,CSM,,,,
HOSE,City Auto,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,2009.0,316.0,491.0,0.009,http://www.cityford.com.vn,3.3,-0.053,-0.013,0.667,76.0,76.0,CT,CTF,,,,
HOSE,Cao su Đà Nẵng,213.0,3357.0,Ô tô và phụ tùng,Automobiles & Parts,2005.0,1734.0,14480.0,0.084,https://drc.com.vn/,3.9,-0.019,-0.042,-0.036,118.8,118.8,CT,DRC,,,,
UPCOM,Công nghiệp - Thương mại Hữu Nghị,212.0,3355.0,Ô tô và phụ tùng,Automobiles & Parts,2005.0,19.0,104.0,0.0,http://www.ftic.vn,3.4,-0.017,-0.042,0.041,3.9,3.9,CT,FTI,,,,
UPCOM,Ôtô Giải Phóng,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,2001.0,37.0,0.0,0.021,http://www.giaiphong.com.vn,3.4,-0.09,-0.234,-0.31,29.4,29.4,CT,GGG,,,,
HOSE,Ô tô Hàng Xanh,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,2000.0,718.0,2696.0,0.135,http://www.haxaco.com.vn,4.1,0.066,0.092,-0.174,71.9,71.9,CT,HAX,,,,
HOSE,Đầu tư DV Hoàng Huy,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,2008.0,34.0,22018.0,0.015,http://www.hoanghuyhhs.vn,3.7,-0.002,-0.018,-0.345,321.4,321.4,CT,HHS,,,,
HOSE,Ô tô Trường Long,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,1998.0,334.0,131.0,0.39,http://www.truonglong.com,3.9,0.045,0.056,0.205,12.0,12.0,CT,HTL,,,,
HOSE,Cao su Sao Vàng,213.0,3357.0,Ô tô và phụ tùng,Automobiles & Parts,2006.0,842.0,2601.0,0.001,http://www.src.com.vn,3.2,0.022,-0.056,0.498,28.1,28.1,CT,SRC,,,,
HOSE,SAVICO,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,2004.0,4824.0,952.0,0.018,http://www.savico.com.vn,3.9,-0.026,-0.176,0.02,66.6,66.6,CT,SVC,,,,
HOSE,Ô tô TMT,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,2006.0,678.0,1204.0,0.029,http://www.tmt-vietnam.com.vn,3.4,-0.046,0.062,0.178,36.9,37.3,CT,TMT,,,,
HNX,VKC Holdings,213.0,3357.0,Ô tô và phụ tùng,Automobiles & Parts,1993.0,77.0,128.0,0.039,https://vkcholdings.vn,3.5,-0.171,-0.126,-0.623,19.3,20.0,CT,VKC,,,,
UPCOM,CN ô tô Vinacomin,211.0,3353.0,Ô tô và phụ tùng,Automobiles & Parts,2013.0,,0.0,0.376,http://www.vmicauto.vn,4.0,-0.017,-0.042,0.286,2.7,2.7,CT,VMA,,,,
