exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Gang Thép Hà Nội,159.0,1757.0,Tài nguyên Cơ bản,Basic Resources,2013.0,0.0,109.0,0.003,https://gangthephanoi.com,3.7,-0.017,-0.092,-0.42,15.7,15.7,CT,HSV,,,,
UPCOM,Than Cao Sơn - TKV,160.0,1771.0,Tài nguyên Cơ bản,Basic Resources,2020.0,3473.0,5157.0,0.043,http://thancaoson.vn,4.0,-0.062,-0.061,0.557,42.8,42.8,CT,CST,,,,
UPCOM,Công ty B.C.H,159.0,1757.0,Tài nguyên Cơ bản,Basic Resources,2004.0,0.0,114.0,0.0,https://bch.com.vn,3.3,-0.017,-0.042,-0.325,19.0,19.0,CT,BCA,,,,
UPCOM,Tập đoàn Khoáng sản Á Cường,166.0,1775.0,Tài nguyên Cơ bản,Basic Resources,1996.0,17.0,1448.0,0.018,http://www.acuonggroup.vn,3.6,-0.184,-0.328,-0.553,51.0,51.0,CT,ACM,,,,
HNX,Khoáng sản Á Châu,166.0,1775.0,Tài nguyên Cơ bản,Basic Resources,2001.0,113.0,102.0,0.052,http://www.amcvina.vn,4.1,-0.017,0.058,0.373,2.9,2.9,CT,AMC,,,,
HOSE,Gỗ An Cường,155.0,1733.0,Tài nguyên Cơ bản,Basic Resources,2006.0,2959.0,477.0,0.385,https://www.ancuong.com,3.9,-0.027,-0.05,-0.102,135.8,135.8,CT,ACG,,,,
UPCOM,An Trường An,166.0,1775.0,Tài nguyên Cơ bản,Basic Resources,2007.0,11.0,1322.0,0.001,http://www.atajsc.vn,3.8,-0.017,0.1,-0.345,15.2,15.2,CT,ATG,,,,
UPCOM,Công ty 397,160.0,1771.0,Tài nguyên Cơ bản,Basic Resources,2010.0,410.0,308.0,0.0,http://www.congtycophan397.com.vn,3.7,-0.017,-0.042,0.286,5.0,5.0,CT,BCB,,,,
HNX,Khoáng sản Bắc Kạn,166.0,1775.0,Tài nguyên Cơ bản,Basic Resources,2000.0,468.0,109.0,0.002,http://www.backanco.com,3.2,-0.017,-0.287,-0.19,11.7,11.7,CT,BKC,,,,
HOSE,Khoáng sản Bình Định,166.0,1775.0,Tài nguyên Cơ bản,Basic Resources,2001.0,197.0,0.0,0.062,http://www.bimico.vn,4.1,0.006,-0.065,-0.184,12.4,12.4,CT,BMC,,,,
