exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Xây dựng Công trình Tân Cảng,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,,110.0,0.0,0.0,https://saigonnewport.com.vn,3.7,-0.017,-0.042,,9.0,0.0,CT,XDC,,,,
HOSE,Minh Hưng Quảng Trị,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2006.0,405.0,173.0,0.001,http://minhhungqt.vn,4.2,-0.026,-0.08,-0.259,16.5,16.5,CT,GMH,,,,
HNX,Đá Hoàng Mai,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2011.0,65.0,143.0,0.0,https://rcchoangmai.vn,4.1,-0.058,-0.139,-0.23,5.6,5.6,CT,HMR,,,,
HOSE,Đầu tư và XD Bình Dương ACC,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2008.0,253.0,2386.0,0.079,http://www.becamexacc.com.vn,3.8,-0.024,-0.084,-0.001,105.0,105.0,CT,ACC,,,,
UPCOM,Bê tông An Giang,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,1982.0,373.0,230.0,0.024,http://www.aceco.com.vn,3.9,-0.02,-0.028,0.336,3.1,3.1,CT,ACE,,,,
UPCOM,Xây lắp Thương mại 2,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,154.0,152.0,0.002,http://www.acsc.com.vn,3.2,-0.07,-0.553,-0.172,4.0,4.0,CT,ACS,,,,
UPCOM,Sơn Á Đông,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,1970.0,170.0,0.0,0.008,http://www.adongpaint.com.vn,3.9,-0.012,0.063,0.1,23.0,23.0,CT,ADP,,,,
UPCOM,Xây dựng ALVICO,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2008.0,15.0,115.0,0.016,http://www.alvico.vn,4.1,-0.092,-0.015,-0.17,5.7,5.7,CT,ALV,,,,
UPCOM,Công ty An Thịnh,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,42.0,314.0,0.001,http://www.anthinhjsc.com,3.7,-0.16,-0.185,-0.442,13.9,13.9,CT,ATB,,,,
UPCOM,Công ty 482,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,236.0,0.0,0.005,http://www.congty482.com.vn,3.4,-0.017,-0.209,-0.451,5.0,5.0,CT,B82,,,,
UPCOM,VLXD Biên Hòa,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2005.0,675.0,1005.0,0.0,http://www.bbcc.com.vn,3.7,-0.024,-0.088,-0.116,46.8,47.0,CT,VLB,,,,
HNX,Xi măng Bỉm Sơn,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2006.0,1356.0,0.0,0.012,http://ximangbimson.com.vn/,3.4,-0.017,-0.007,-0.217,123.2,123.2,CT,BCC,,,,
HOSE,XD và GT Bình Dương,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2002.0,135.0,1927.0,0.014,http://www.becamexbce.com.vn,3.7,-0.033,-0.131,-0.392,35.0,35.0,CT,BCE,,,,
UPCOM,Vật liệu và XD Bình Dương,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2010.0,429.0,280.0,0.0,http://www.vlxdbd.com.vn,3.8,0.017,0.047,-0.234,100.0,100.0,CT,MVC,,,,
UPCOM,Bê tông Biên Hòa,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,1999.0,3.0,467.0,0.01,https://bienhoabcc.vn,3.4,-0.1,-0.126,-0.274,4.5,4.5,CT,BHC,,,,
UPCOM,Đầu tư XD Bạch Đằng,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,80.0,102.0,0.003,http://www.bachdangtmc.com,3.7,-0.017,-0.189,0.46,4.6,4.6,CT,BHT,,,,
UPCOM,Công ty 715,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2010.0,134.0,167.0,0.0,http://www.congty715.com.vn,3.8,-0.005,-0.042,-0.37,2.8,2.8,CT,BMN,,,,
HOSE,Nhựa Bình Minh,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2003.0,1203.0,0.0,0.854,http://www.binhminhplastic.com,4.2,-0.001,-0.066,0.328,81.9,81.9,CT,BMP,,,,
UPCOM,BOT Cầu Thái Hà,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2014.0,18.0,0.0,0.001,http://www.botcauthaiha.com.vn,3.2,-0.017,-0.209,-0.575,59.2,59.2,CT,BOT,,,,
UPCOM,Bê tông 6,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2001.0,242.0,798.0,0.083,http://www.beton6.com,3.5,-0.049,-0.185,-0.273,32.9,33.0,CT,BT6,,,,
UPCOM,Gạch Tuy Nen Bình Định,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2001.0,104.0,986.0,0.0,http://www.tuynenbinhdinh.com.vn,3.3,0.01,-0.015,-0.187,4.4,4.5,CT,BTN,,,,
HNX,Xi măng Bút Sơn,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2005.0,1228.0,0.0,0.001,http://www.vicembutson.com.vn,3.5,-0.034,-0.138,-0.343,123.6,123.6,CT,BTS,,,,
UPCOM,Bê tông ly tâm Thủ Đức,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,296.0,132.0,0.005,http://www.betongthuduc.com,3.9,0.075,-0.096,0.01,6.4,6.4,CT,BTD,,,,
HNX,Xây dựng1369,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2003.0,224.0,3639.0,0.0,https://cpxd1369.com.vn,3.8,-0.035,-0.078,-0.375,60.0,60.0,CT,C69,,,,
HOSE,CIC39,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,1993.0,228.0,3378.0,0.045,http://www.cic39.vn,3.7,0.001,0.007,-0.101,15.0,15.0,CT,C32,,,,
HOSE,Xây dựng 47,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2005.0,655.0,1702.0,0.001,http://www.xaydung47.vn,3.4,-0.006,-0.022,-0.393,27.5,27.5,CT,C47,,,,
UPCOM,Xây dựng 471,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2009.0,357.0,328.0,0.0,http://www.congty471.com.vn,3.5,,,,7.0,7.0,CT,C71,,,,
UPCOM,Trường Sơn 532,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2013.0,142.0,207.0,0.0,http://truongson532.com.vn,3.3,-0.04,-0.066,-0.214,3.9,3.9,CT,TS3,,,,
UPCOM,Xây dựng và Đầu tư 492,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,180.0,723.0,0.037,http://www.c92.com.vn,3.2,-0.16,0.069,-0.373,5.3,5.3,CT,C92,,,,
UPCOM,Công trình Cầu phà TP HCM,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2010.0,271.0,278.0,0.0,http://www.caupha.com,3.2,-0.017,-0.081,1.461,9.1,9.1,CT,HFB,,,,
UPCOM,Xi măng Cần Thơ,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,378.0,0.0,0.001,http://www.ximangcantho.vn,4.0,0.125,-0.253,0.18,6.2,6.2,CT,CCM,,,,
HOSE,Chương Dương Corp,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2008.0,215.0,963.0,0.013,https://chuongduongcorp.vn,3.4,0.008,-0.023,0.283,22.0,22.0,CT,CDC,,,,
UPCOM,VLXD Cầu Đuống,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2006.0,584.0,215.0,0.0,http://www.cauduong.com.vn,4.3,-0.017,-0.042,0.661,3.5,3.5,CT,CDG,,,,
UPCOM,Tư vấn Thiết kế và PT Đô thị,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2008.0,21.0,1873.0,0.003,http://www.cddc.vn,3.8,-0.017,-0.224,-0.589,31.5,31.5,CT,CDO,,,,
UPCOM,Xây dựng số 5 Hà Nội,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2006.0,79.0,175.0,0.0,http://www.ch5.vn,3.7,-0.017,-0.042,-0.481,3.7,3.7,CT,CH5,,,,
UPCOM,Nội thất Cẩm Hà,180.0,2353.0,Xây dựng và Vật liệu,Construction & Materials,2004.0,691.0,767.0,0.0,http://www.camhafurniture.com,3.5,-0.017,-0.042,0.667,6.7,6.7,CT,CHC,,,,
UPCOM,Đầu tư Xây dựng số 5,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2011.0,134.0,133.0,0.0,http://www.cic5.com.vn,3.2,-0.096,-0.227,-0.09,2.7,2.7,CT,CI5,,,,
UPCOM,Xây dựng và Phát triển Cơ sở Hạ tầng,181.0,2357.0,Xây dựng và Vật liệu,Construction & Materials,2003.0,10.0,0.0,0.004,http://www.cinde.com.vn,4.1,-0.24,0.134,-0.048,0.9,1.1,CT,CID,,,,
