exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Camimex,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,2013.0,862.0,110.0,0.0,https://cmmseafood.com.vn,3.7,-0.017,-0.179,,57.0,57.0,CT,CMM,,,,
UPCOM,Tổng công ty Chè Nghệ An - CTCP,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,1992.0,515.0,0.0,0.0,http://ngheantea.com.vn,3.1,-0.017,-0.042,0.286,3.4,0.8,CT,CNA,,,,
UPCOM,Thực phẩm G.C,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,,573.0,124.0,0.0,https://gcfood.com.vn,3.2,0.025,-0.008,,30.7,30.7,CT,GCF,,,,
HOSE,Thủy sản Mekong,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2002.0,159.0,0.0,0.007,http://www.mekongfish.vn,3.9,0.037,0.016,0.072,10.5,12.3,CT,AAM,,,,
HOSE,Thủy sản Bến Tre,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,1977.0,706.0,1032.0,0.017,http://www.aquatexbentre.com,4.0,-0.047,-0.001,0.196,11.8,14.4,CT,ABT,,,,
HOSE,Thủy sản CL An Giang,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,1986.0,1074.0,0.0,0.029,http://www.clfish.com,4.0,-0.008,-0.021,-0.241,50.2,50.2,CT,ACL,,,,
UPCOM,Thủy sản An Giang,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2001.0,1860.0,0.0,0.005,http://www.agifish.com.vn,3.3,-0.128,-0.154,-0.214,28.1,28.1,CT,AGF,,,,
HOSE,XNK An Giang,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,1976.0,207.0,333.0,0.019,http://www.angimex.com.vn,3.6,-0.008,-0.106,-0.621,18.2,18.2,CT,AGM,,,,
UPCOM,Rau quả thực phẩm An Giang,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,2011.0,598.0,357.0,0.003,http://www.antesco.com,3.5,-0.017,0.026,0.072,8.0,8.0,CT,ANT,,,,
HOSE,Thủy sản Nam Việt,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2006.0,4634.0,0.0,0.067,http://www.navicorp.com.vn,3.8,-0.036,-0.039,-0.005,133.1,127.5,CT,ANV,,,,
UPCOM,Nông sản Quảng Ngãi,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,2003.0,899.0,570.0,0.0,http://www.apfco.com.vn,4.1,-0.01,0.0,0.717,22.6,22.6,CT,APF,,,,
HOSE,Tập đoàn Sao Mai,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,1997.0,11973.0,20862.0,0.025,http://www.saomainews.vn,3.9,-0.042,-0.064,-0.338,336.5,336.5,CT,ASM,,,,
UPCOM,NTACO,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2007.0,317.0,0.0,0.0,http://www.ntacocorp.com.vn,3.6,0.126,-0.315,-0.524,12.0,12.0,CT,ATA,,,,
UPCOM,Thủy sản Việt An,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2007.0,1168.0,1949.0,0.001,http://www.anvifish.com,3.5,-0.017,-0.209,-0.42,43.3,43.3,CT,AVF,,,,
HOSE,Nông nghiệp BAF Việt Nam,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2017.0,946.0,333.0,0.001,http://baf.vn,3.6,-0.01,-0.04,-0.099,143.5,143.5,CT,BAF,,,,
HNX,Đầu tư SX Bảo Ngọc,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,2012.0,10.0,0.0,0.007,https://banhbaongoc.vn,3.9,-0.007,-0.118,-0.436,25.0,25.0,CT,BNA,,,,
UPCOM,Chè Bàu Cạn,216.0,3537.0,Thực phẩm và đồ uống,Food & Beverage,1996.0,,268.0,0.0,http://www.catecka.com,3.4,,,,11.9,11.9,CT,CBC,,,,
HOSE,Bánh kẹo BIBICA,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,1999.0,816.0,0.0,0.008,http://www.bibica.com.vn,3.8,-0.066,-0.074,0.091,18.8,18.8,CT,BBC,,,,
UPCOM,Sản xuất - XNK Bình Dương,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2010.0,849.0,296.0,0.0,http://www.protrade.com.vn,3.7,-0.046,-0.221,-0.271,300.0,300.0,CT,PRT,,,,
UPCOM,Bia Hà Nội - Kim Bài,214.0,3533.0,Thực phẩm và đồ uống,Food & Beverage,2004.0,177.0,321.0,0.0,http://www.hkbeco.vn,3.6,-0.017,-0.042,0.448,4.0,4.0,CT,BHK,,,,
HOSE,HABECO,214.0,3533.0,Thực phẩm và đồ uống,Food & Beverage,2008.0,724.0,1001.0,0.176,http://www.habeco.com.vn,3.6,-0.074,-0.082,0.014,231.8,231.8,CT,BHN,,,,
UPCOM,Bia Hà Nội - Hải Phòng,214.0,3533.0,Thực phẩm và đồ uống,Food & Beverage,2013.0,239.0,363.0,0.0,http://www.biahaiphong.vn,3.6,0.051,0.086,-0.061,9.2,9.2,CT,BHP,,,,
UPCOM,Lương Thực Bình Định,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,2008.0,59.0,201.0,0.004,http://www.bidifood.vn,3.5,-0.002,-0.027,0.889,4.0,4.0,CT,BLT,,,,
UPCOM,Chè Biển Hồ,216.0,3537.0,Thực phẩm và đồ uống,Food & Beverage,2010.0,64.0,365.0,0.0,http://bienhotea.com.vn,3.3,-0.017,-0.042,0.286,8.9,8.9,CT,BHG,,,,
HNX,Thủy sản Bạc Liêu,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2006.0,1050.0,0.0,0.024,http://www.baclieu-vegetables.vn,3.7,-0.017,-0.042,-0.087,11.5,11.5,CT,BLF,,,,
UPCOM,Bia Sài Gòn - Phú Thọ,214.0,3533.0,Thực phẩm và đồ uống,Food & Beverage,2015.0,115.0,228.0,0.0,http://www.saigonphutho.com.vn,3.7,-0.046,-0.148,-0.197,12.5,12.5,CT,BSP,,,,
UPCOM,Công ty 22,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,2007.0,313.0,395.0,0.0,http://www.congty22.net.vn,3.6,-0.017,-0.055,0.248,3.6,3.6,CT,C22,,,,
UPCOM,Thủy sản Cadovimex,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2005.0,326.0,1845.0,0.082,http://www.cadovimex.com,3.5,-0.184,-0.328,-0.529,20.8,8.8,CT,CAD,,,,
UPCOM,Cà phê Phước An,216.0,3537.0,Thực phẩm và đồ uống,Food & Beverage,1996.0,24.0,155.0,0.0,http://phuocancoffee.com.vn,3.1,-0.293,-0.48,-0.206,23.6,23.6,CT,CPA,,,,
UPCOM,Cà phê Thắng Lợi,216.0,3537.0,Thực phẩm và đồ uống,Food & Beverage,2007.0,52.0,0.0,0.0,http://www.thangloicoffee.com.vn,3.5,0.978,0.648,1.056,12.7,8.1,CT,CFV,,,,
HNX,Đồ hộp Hạ Long,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,1998.0,1024.0,626.0,0.197,http://www.canfoco.com.vn,3.7,-0.028,-0.1,0.015,5.0,5.0,CT,CAN,,,,
UPCOM,XNK Thuỷ sản Cần Thơ,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2006.0,704.0,400.0,0.007,http://www.caseamex.com.vn,3.7,-0.102,-0.042,0.138,13.7,15.1,CT,CCA,,,,
UPCOM,Mía đường Cao Bằng,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,2006.0,368.0,355.0,0.0,http://www.miaduongcaobang.vn,3.8,-0.001,-0.052,0.047,3.5,3.5,CT,CBS,,,,
UPCOM,XNK và Đầu tư Chợ Lớn (CHOLIMEX),218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,2010.0,207.0,399.0,0.047,http://www.cholimex.com.vn,4.1,-0.017,-0.042,-0.312,86.6,86.6,CT,CLX,,,,
UPCOM,Thủy sản Cà Mau,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2004.0,612.0,177.0,0.005,http://seaprimexco.com/,3.5,-0.002,-0.057,0.052,9.2,9.7,CT,CAT,,,,
HOSE,CAMIMEX Group,217.0,3573.0,Thực phẩm và đồ uống,Food & Beverage,2006.0,921.0,9602.0,0.137,http://www.camimex.com.vn,3.7,0.0,-0.066,-0.338,101.9,101.9,CT,CMX,,,,
UPCOM,Colusa -  Miliket,218.0,3577.0,Thực phẩm và đồ uống,Food & Beverage,2006.0,534.0,186.0,0.001,http://www.comifood.com,3.6,0.132,0.115,0.311,4.8,4.8,CT,CMN,,,,
HNX,Minh Khang Capital Trading Public,216.0,3537.0,Thực phẩm và đồ uống,Food & Beverage,2010.0,28.0,109.0,0.012,http://www.thuongphu.com.vn,3.5,-0.103,-0.101,-0.319,12.1,12.1,CT,CTP,,,,
