exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HOSE,Tâp đoàn 911,189.0,2757.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2011.0,50.0,138.0,0.0,https://911group.com.vn,3.8,-0.033,-0.073,,24.0,24.0,CT,NO1,,,,
UPCOM,Cảng Cửa Việt,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007.0,20.0,20.0,0.0,https://cuavietport.com,3.8,-0.017,-0.042,,3.4,3.4,CT,CVP,,,,
UPCOM,Tập đoàn Giáo dục Trí Việt,196.0,2793.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2013.0,0.0,103.0,0.0,https://trivietgroup.edu.vn,5.0,0.016,-0.071,,3.2,3.2,CT,CAR,,,,
UPCOM,TM và SX Lập Phương Thành,196.0,2793.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008.0,0.0,1033.0,0.0,http://lapphuongthanh.vn,3.9,-0.027,-0.092,-0.031,12.0,12.0,CT,LPT,,,,
HOSE,Đầu tư Nhãn Hiệu Việt,195.0,2791.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2012.0,10.0,513.0,0.488,http://www.vbinvest.com.vn,4.2,0.0,-0.177,-0.274,20.0,20.0,CT,ABR,,,,
UPCOM,Cảng Hàng không VN,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2012.0,0.0,8633.0,0.038,https://www.vietnamairport.vn,3.6,-0.033,-0.066,0.18,2177.0,2177.2,CT,ACV,,,,
UPCOM,Cơ khí An Giang,189.0,2757.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007.0,190.0,185.0,0.002,http://www.cokhiangiang.com.vn,3.5,-0.017,-0.042,0.301,3.3,3.3,CT,CKA,,,,
HNX,Cảng An Giang,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2011.0,120.0,1025.0,0.002,http://www.angiangport.com.vn,3.8,-0.017,0.009,-0.34,13.8,13.8,CT,CAG,,,,
UPCOM,Môi trường Đô thị An Giang,199.0,2799.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2011.0,686.0,0.0,0.0,http://www.moitruongdothi.angiang.org.vn,3.6,-0.017,-0.042,,19.9,19.9,CT,AGE,,,,
HNX,Cơ điện Alphanam,187.0,2737.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1995.0,92.0,238.0,0.022,http://www.alphanam.com.vn,3.5,-0.008,-0.042,0.164,65.2,65.2,CT,AME,,,,
HOSE,Tập đoàn An Phát Holdings,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2017.0,0.0,0.0,0.272,http://www.anphatholdings.com,3.4,0.034,0.057,-0.446,243.9,243.9,CT,APH,,,,
UPCOM,Cơ khí và Thiết bị áp lực - VVMI,189.0,2757.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004.0,113.0,117.0,0.0,http://www.apluco.vn,3.3,-0.017,-0.042,0.184,1.2,1.2,CT,APL,,,,
HNX,XNK Hàng không,198.0,2797.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1989.0,100.0,115.0,0.001,http://www.airimex.vn,3.4,-0.017,-0.042,0.204,3.1,3.1,CT,ARM,,,,
HOSE,Tập đoàn ASG,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010.0,0.0,0.0,0.009,http://www.asg.net.vn,3.5,-0.038,-0.083,0.078,75.7,75.7,CT,ASG,,,,
UPCOM,Bao bì Balpac,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005.0,28.0,142.0,0.002,http://www.balpac.com.vn,4.0,-0.059,-0.158,-0.081,2.0,2.0,CT,BAL,,,,
UPCOM,Bao bì Hoàng Thạch,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1999.0,152.0,246.0,0.0,http://www.baobihoangthach.vn,3.4,-0.017,-0.149,0.094,2.0,2.0,CT,BBH,,,,
HNX,Bao bì Xi măng Bút Sơn,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2002.0,483.0,452.0,0.006,https://butsonpackaging.vn/,3.7,-0.017,0.005,0.275,6.0,6.0,CT,BBS,,,,
UPCOM,Công trình Đô thị Bảo Lộc,199.0,2799.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010.0,163.0,194.0,0.0,https://congtydothibaoloc.com/,3.8,0.053,0.129,0.425,1.6,1.6,CT,DTB,,,,
UPCOM,Môi trường và DV Đô thị Bình Thuận,199.0,2799.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010.0,416.0,195.0,0.0,https://moitruongdothibinhthuan.vn,3.8,0.133,-0.042,1.415,2.8,2.8,CT,BMD,,,,
UPCOM,Môi trường và Công trình ĐT Bắc Ninh,199.0,2799.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006.0,675.0,0.0,0.0,http://www.moitruongdothibacninh.com.vn,3.7,-0.017,-0.042,0.299,5.8,5.8,CT,MBN,,,,
HNX,Bao bì Bỉm Sơn,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1999.0,208.0,0.0,0.029,http://www.baobibimson.vn,3.4,-0.017,-0.273,0.1,3.8,3.8,CT,BPC,,,,
UPCOM,Bao bì Tiền Giang,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004.0,65.0,247.0,0.0,http://www.tigipack.com.vn,3.9,-0.029,-0.005,0.364,1.2,1.2,CT,BTG,,,,
UPCOM,Biến thế và Vật liệu Điện Hà Nội,187.0,2737.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005.0,7.0,175.0,0.0,http://www.ctbt.vn,3.5,-0.093,-0.56,-0.22,25.0,25.0,CT,BTH,,,,
UPCOM,Công trình Đô thị Bến Tre,199.0,2799.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006.0,184.0,182.0,0.0,http://www.congtrinhdothibentre.vn,4.0,-0.017,-0.022,0.064,3.6,3.6,CT,BTU,,,,
HNX,Bao bì Xi măng HP,184.0,2723.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004.0,224.0,267.0,0.0,http://www.hcpc.vn,3.5,0.025,-0.001,0.328,3.0,3.0,CT,BXH,,,,
UPCOM,Bến xe Hà Nội,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2015.0,390.0,437.0,0.001,https://benxehanoi.vn/,3.5,0.073,0.099,0.519,9.5,9.5,CT,HNB,,,,
UPCOM,Cảng Cần Thơ,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2013.0,169.0,111.0,0.0,http://www.canthoport.com.vn/,3.6,0.126,-0.213,-0.074,28.5,28.5,CT,CCT,,,,
HOSE,Dây cáp điện Việt Nam,186.0,2733.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007.0,1170.0,1369.0,0.002,http://www.cadivi-vn.com,3.9,-0.008,-0.007,0.359,57.5,57.6,CT,CAV,,,,
HNX,Container Miền Trung,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2002.0,117.0,158.0,0.011,http://www.viconshipdanang.com,4.6,-0.017,0.057,0.177,3.4,3.4,CT,VSM,,,,
HNX,Cảng Cam Ranh,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2009.0,230.0,462.0,0.001,https://camranhport.vn/,3.7,-0.053,-0.087,-0.228,24.5,24.5,CT,CCR,,,,
UPCOM,CTCC và DV Du lịch Hải Phòng,199.0,2799.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010.0,245.0,267.0,0.0,http://www.ctcc.com.vn,3.8,-0.017,-0.042,0.286,2.0,2.0,CT,CDH,,,,
UPCOM,Đầu tư CFM,196.0,2793.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2017.0,,224.0,0.003,http://www.cfminvestment.com,3.2,-0.017,-0.116,0.148,2.0,2.0,CT,CFM,,,,
UPCOM,Thiết bị Công nghiệp CIE1,189.0,2757.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008.0,194.0,147.0,0.0,http://www.cie1.com.vn,3.2,-0.017,-0.042,0.345,6.0,6.0,CT,CE1,,,,
HNX,Cơ điện Miền Trung,187.0,2737.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005.0,248.0,110.0,0.005,http://www.cemc.com.vn,3.0,-0.017,-0.042,1.444,4.0,4.0,CT,CJC,,,,
UPCOM,Đông Anh Licogi,189.0,2757.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006.0,681.0,674.0,0.0,http://www.ckda.vn,3.6,0.021,-0.031,0.038,31.0,31.0,CT,CKD,,,,
UPCOM,Cơ khí Mạo Khê - Vinacomin,189.0,2757.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004.0,320.0,238.0,0.0,http://www.cokhimaokhe.com.vn,3.3,-0.017,-0.042,0.683,1.4,1.4,CT,CMK,,,,
HOSE,Cảng Cát Lái,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007.0,97.0,775.0,0.077,http://catlaiport.com.vn,4.0,0.005,0.009,0.268,34.0,34.0,CT,CLL,,,,
UPCOM,Cảng Chân Mây,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007.0,309.0,257.0,0.0,https://chanmayport.com.vn/,3.5,-0.017,-0.042,0.286,32.4,32.4,CT,CMP,,,,
UPCOM,Đầu tư Cảng Cái Lân,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007.0,39.0,0.0,0.0,http://www.cailanportinvest.com.vn,3.6,-0.017,0.198,-0.198,36.5,36.5,CT,CPI,,,,
HNX,DV Sân Bay Cam Ranh,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2009.0,461.0,173.0,0.012,http://www.cias.vn,3.9,-0.026,-0.099,-0.038,18.7,19.7,CT,CIA,,,,
UPCOM,Cảng Sài Gòn,193.0,2777.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008.0,935.0,1004.0,0.0,http://www.saigonport.vn,3.7,0.017,-0.026,-0.397,216.3,216.3,CT,SGP,,,,
HNX,Bơm Hải Dương,189.0,2757.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004.0,269.0,462.0,0.004,http://www.hpmc.com.vn,3.9,0.01,-0.248,0.096,13.7,13.7,CT,CTB,,,,
HNX,Chế tạo máy Vinacomin,189.0,2757.0,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008.0,860.0,1066.0,0.002,http://chetaomay.com.vn/,3.7,-0.017,-0.133,0.365,4.7,4.7,CT,CTT,,,,
