exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,ĐT PT Sài Gòn 3 Group,226.0,3763.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,2018.0,0.0,490.0,0.0,https://www.saigon3group.com.vn,3.6,-0.028,0.021,-0.062,75.5,75.5,CT,SGI,,,,
HOSE,Tập đoàn Tiên Sơn Thanh Hóa,226.0,3763.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,1995.0,1200.0,2431.0,0.002,http://tiensonaus.com,4.3,-0.021,-0.044,-0.339,63.8,63.8,CT,AAT,,,,
UPCOM,28.1 JSC,226.0,3763.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,2006.0,632.0,196.0,0.001,http://www.agtex28-1.com,3.9,-0.115,0.058,-0.027,4.9,4.9,CT,AG1,,,,
UPCOM,Hàng tiêu dùng ASA,228.0,3767.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,2007.0,12.0,675.0,0.003,http://www.asacorp.com.vn,3.7,-0.017,-0.042,0.286,10.0,10.0,CT,ASA,,,,
UPCOM,Công ty 32,227.0,3765.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,2008.0,1098.0,488.0,0.0,http://32jsc.com,3.6,-0.017,-0.133,0.299,6.8,6.8,CT,A32,,,,
UPCOM,Bông Bạch Tuyết,228.0,3767.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,1997.0,262.0,1539.0,0.008,http://www.bongbachtuyet.com.vn,3.3,-0.095,-0.244,-0.323,9.8,9.8,CT,BBT,,,,
UPCOM,May mặc Bình Dương,226.0,3763.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,2007.0,2045.0,273.0,0.012,http://www.protradegarment.com,4.2,-0.01,-0.056,0.685,24.8,24.8,CT,BDG,,,,
UPCOM,Điện tử Biên Hoà,223.0,3743.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,2003.0,41.0,202.0,0.0,http://www.belco.com.vn,3.6,-0.017,-0.102,0.202,6.0,6.0,CT,BEL,,,,
HOSE,Đầu tư BKG Việt Nam,228.0,3767.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,2015.0,33.0,0.0,0.002,http://www.bkgvietnam.com,3.9,0.01,-0.007,-0.339,68.2,68.2,CT,BKG,,,,
UPCOM,May Bình Minh,226.0,3763.0,Hàng cá nhân & Gia dụng,Personal & Household Goods,1999.0,1678.0,332.0,0.192,http://www.bmig.com.vn/,3.7,0.131,0.106,0.344,5.3,5.3,CT,BMG,,,,
