exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,BV Land,339.0,8637.0,Bất động sản,Real Estate,2008.0,46.0,175.0,0.0,http://bvland.vn,,-0.007,-0.304,-0.475,57.3,57.3,CT,BVL,,,,
UPCOM,Phát triển Sunshine Homes,336.0,8633.0,Bất động sản,Real Estate,2015.0,0.0,243.0,0.0,https://ssh.vn,2.9,-0.014,-0.019,-0.1,375.0,375.0,CT,SSH,,,,
UPCOM,BIG Invest Group,339.0,8637.0,Bất động sản,Real Estate,2017.0,0.0,140.0,0.001,https://biginvestgroup.vn,3.5,-0.19,-0.428,-0.501,5.0,5.0,CT,BIG,,,,
UPCOM,Tập đoàn MGROUP,336.0,8633.0,Bất động sản,Real Estate,2013.0,0.0,119.0,0.0,https://www.mgroup.vn,3.8,0.044,-0.121,,20.0,20.0,CT,MGR,,,,
HNX,Việt Tiên Sơn Địa ốc,336.0,8633.0,Bất động sản,Real Estate,2010.0,39.0,7892.0,0.0,http://www.viettienson.com,3.6,0.009,-0.067,-0.527,69.0,69.0,CT,AAV,,,,
HOSE,Bất động sản An Gia,336.0,8633.0,Bất động sản,Real Estate,2012.0,207.0,4895.0,0.049,https://angia.com.vn/,3.7,-0.017,-0.078,-0.08,125.1,125.1,CT,AGG,,,,
HOSE,FLC Stone,336.0,8633.0,Bất động sản,Real Estate,2007.0,140.0,20584.0,0.007,https://flcstone.vn,3.5,-0.017,-0.317,-0.522,163.5,163.5,CT,AMD,,,,
HNX,APEC INVESTMENT,336.0,8633.0,Bất động sản,Real Estate,2006.0,232.0,2495.0,0.001,https://apeci.com.vn,3.7,-0.005,-0.006,-0.449,84.1,84.1,CT,API,,,,
HOSE,Becamex IDC,336.0,8633.0,Bất động sản,Real Estate,2006.0,2398.0,3520.0,0.028,http://www.becamex.com.vn,3.2,-0.006,-0.048,0.446,1035.0,1035.0,CT,BCM,,,,
HNX,Đầu tư và Phát triển Công nghiệp Bảo Thư,336.0,8633.0,Bất động sản,Real Estate,2008.0,12.0,108.0,0.001,https://louisholdings.vn,3.7,0.088,-0.042,-0.55,57.7,57.7,CT,BII,,,,
UPCOM,KCN Cao su Bình Long,336.0,8633.0,Bất động sản,Real Estate,2007.0,67.0,202.0,0.028,http://www.blip.vn,3.9,-0.059,0.095,-0.044,24.0,12.0,CT,MH3,,,,
UPCOM,Thế kỷ 21,336.0,8633.0,Bất động sản,Real Estate,1997.0,123.0,619.0,0.004,http://www.c21.com.vn,3.4,-0.035,-0.103,-0.008,18.1,19.3,CT,C21,,,,
HOSE,Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,336.0,8633.0,Bất động sản,Real Estate,2007.0,73.0,5598.0,0.009,http://www.pvcl.com.vn,4.2,-0.023,-0.054,-0.353,53.2,53.2,CT,CCL,,,,
HOSE,Bất động sản Thế Kỷ,336.0,8633.0,Bất động sản,Real Estate,2001.0,1533.0,397.0,0.011,http://www.cenland.vn,3.6,-0.026,0.056,-0.409,463.7,463.7,CT,CRE,,,,
HNX,Tập đoàn CEO,336.0,8633.0,Bất động sản,Real Estate,2007.0,1883.0,26434.0,0.031,http://www.ceogroup.com.vn,3.4,0.006,0.096,-0.377,257.3,257.3,CT,CEO,,,,
HOSE,Xây dựng Kiên Giang,339.0,8637.0,Bất động sản,Real Estate,2013.0,270.0,10601.0,0.0,http://www.cickg.com,3.7,-0.015,0.025,0.047,95.3,95.3,CT,CKG,,,,
UPCOM,Cơ khí 120,336.0,8633.0,Bất động sản,Real Estate,2008.0,,222.0,0.0,http://www.cokhi120.net,3.2,-0.017,-0.042,,3.0,3.0,CT,CK8,,,,
UPCOM,Cotec Land,336.0,8633.0,Bất động sản,Real Estate,2004.0,142.0,0.0,0.004,http://www.cotecland.com.vn,3.7,-0.017,-0.154,-0.486,21.2,21.2,CT,CLG,,,,
HNX,Địa ốc 11,336.0,8633.0,Bất động sản,Real Estate,2004.0,137.0,0.0,0.0,http://www.diaoc11.com.vn,4.4,0.026,-0.017,-0.26,7.3,6.6,CT,D11,,,,
HOSE,Phát triển Đô thị số 2,336.0,8633.0,Bất động sản,Real Estate,2006.0,86.0,3550.0,0.033,http://www.d2d.com.vn,3.6,0.028,0.081,-0.294,30.3,30.3,CT,D2D,,,,
HOSE,DIC Corp,336.0,8633.0,Bất động sản,Real Estate,2008.0,866.0,48279.0,0.058,http://www.dic.vn,3.5,0.042,-0.02,-0.541,609.9,609.9,CT,DIG,,,,
HOSE,DRH Holdings,336.0,8633.0,Bất động sản,Real Estate,2006.0,62.0,0.0,0.007,http://www.drh.vn,3.4,-0.035,0.018,-0.469,123.7,124.4,CT,DRH,,,,
HOSE,BĐS Đệ Tam,336.0,8633.0,Bất động sản,Real Estate,2003.0,39.0,141.0,0.002,http://www.detamland.com,3.7,0.017,-0.065,-0.479,18.1,18.1,CT,DTA,,,,
HOSE,Địa ốc Đất Xanh,336.0,8633.0,Bất động sản,Real Estate,2007.0,418.0,39626.0,0.207,http://www.datxanh.com.vn,3.5,0.042,0.237,-0.442,610.0,611.8,CT,DXG,,,,
HOSE,Dịch vụ BĐS Đất Xanh,339.0,8637.0,Bất động sản,Real Estate,2011.0,7191.0,1653.0,0.188,https://datxanhservices.vn,3.8,-0.049,-0.2,-0.51,453.1,453.1,CT,DXS,,,,
UPCOM,Tài chính giáo dục,336.0,8633.0,Bất động sản,Real Estate,2007.0,33.0,678.0,0.0,http://www.efi.vn,3.8,0.026,-0.042,-0.083,10.9,10.9,CT,EFI,,,,
HOSE,BĐS Điện lực Miền Trung,336.0,8633.0,Bất động sản,Real Estate,2007.0,123.0,26286.0,0.0,http://www.lec.com.vn,3.4,0.089,-0.027,-0.282,26.1,26.1,CT,LEC,,,,
HOSE,FIDECO,336.0,8633.0,Bất động sản,Real Estate,1993.0,174.0,0.0,0.0,http://www.fidecovn.com,3.6,-0.033,-0.234,-0.222,38.6,38.6,CT,FDC,,,,
HNX,Đầu tư và PT doanh nghiệp VN,339.0,8637.0,Bất động sản,Real Estate,2010.0,6.0,3953.0,0.0,http://www.vndi.vn,3.5,0.05,-0.042,-0.504,24.7,24.7,CT,FID,,,,
