exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HOSE,DV Nông nghiệp Bình Thuận,253.0,5379.0,Bán lẻ,Retail,2004.0,54.0,7471.0,0.0,http://www.bitagco.com,3.5,-0.017,-0.06,-0.472,80.0,80.0,CT,ABS,,,,
UPCOM,XNK Nông sản An Giang,248.0,5337.0,Bán lẻ,Retail,2011.0,239.0,751.0,0.0,http://www.afiex.com.vn,3.3,-0.057,-0.129,-0.149,35.0,35.0,CT,AFX,,,,
UPCOM,Nông sản Xuất khẩu Sài Gòn,248.0,5337.0,Bán lẻ,Retail,2006.0,832.0,238.0,0.017,http://www.agrexsaigon.com.vn,3.6,-0.039,-0.04,0.402,10.8,10.8,CT,AGX,,,,
HNX,Dịch vụ Bến Thành,253.0,5379.0,Bán lẻ,Retail,2003.0,13.0,112.0,0.048,http://www.btsc.com.vn,3.6,-0.017,-0.042,-0.167,3.2,3.2,CT,BSC,,,,
HOSE,TM - DV Bến Thành,250.0,5373.0,Bán lẻ,Retail,2004.0,175.0,473.0,0.049,http://www.benthanhtsc.com,3.5,-0.094,-0.241,-0.133,13.5,13.5,CT,BTT,,,,
UPCOM,CENCON Việt Nam,250.0,5373.0,Bán lẻ,Retail,2015.0,19.0,443.0,0.0,http://www.cencon.vn,3.7,-0.017,-0.014,-0.504,21.7,21.7,CT,CEN,,,,
HOSE,Thương nghiệp Cà Mau,250.0,5373.0,Bán lẻ,Retail,1980.0,666.0,644.0,0.002,http://www.tncm.com.vn,3.7,-0.022,-0.02,-0.162,18.2,18.2,CT,CMV,,,,
HOSE,Vật tư Xăng dầu,253.0,5379.0,Bán lẻ,Retail,2000.0,0.0,395.0,0.004,http://comeco.vn,3.7,0.076,-0.224,-0.311,14.1,14.1,CT,COM,,,,
UPCOM,PV mai táng Hải Phòng,252.0,5377.0,Bán lẻ,Retail,2010.0,198.0,211.0,0.0,http://www.maihoatanghaiphong.vn,3.9,-0.017,-0.042,0.286,4.4,4.4,CT,CPH,,,,
HOSE,Thế Giới Số,253.0,5379.0,Bán lẻ,Retail,2003.0,612.0,1228.0,0.24,https://digiworld.com.vn,3.9,-0.15,-0.277,-0.358,167.1,163.2,CT,DGW,,,,
HNX,Dược phẩm Hà Tây,247.0,5333.0,Bán lẻ,Retail,2001.0,795.0,749.0,0.272,http://www.hataphar.com.vn,3.8,-0.02,-0.072,0.275,26.4,26.4,CT,DHT,,,,
HOSE,Bán lẻ FPT,253.0,5379.0,Bán lẻ,Retail,2012.0,10078.0,8981.0,0.29,http://frt.vn,3.1,-0.079,-0.178,-0.126,118.5,118.5,CT,FRT,,,,
