exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Petro Times,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2015.0,0.0,307.0,0.0,https://petrotimesgroup.com,3.2,-0.029,-0.147,,15.0,15.0,CT,PPT,,,,
HOSE,Dầu khí An Pha,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2004.0,1520.0,4360.0,0.49,http://www.anphapetrol.com,3.3,0.009,-0.009,-0.294,37.3,37.3,CT,ASP,,,,
UPCOM,Thủy điện A Vương,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2012.0,154.0,146.0,0.0,http://avuong.com,4.1,-0.017,-0.05,0.497,75.1,75.1,CT,AVC,,,,
UPCOM,Cấp nước Bạc Liêu,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2015.0,90.0,117.0,0.0,http://www.capnuocbaclieu.com.vn,3.9,-0.017,-0.495,-0.048,11.2,11.2,CT,BLW,,,,
UPCOM,Thủy điện Buôn Đôn,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2009.0,60.0,405.0,0.0,http://www.thuydienbuondon.vn,3.8,-0.005,-0.037,0.39,65.5,65.5,CT,BSA,,,,
UPCOM,Cấp thoát nước Bình Định,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,367.0,391.0,0.001,http://binhdinhwaco.com.vn/,4.5,-0.017,-0.075,0.111,12.4,12.4,CT,BDW,,,,
UPCOM,Cấp thoát nước Bến Tre,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2006.0,279.0,357.0,0.005,http://www.capnuocbentre.vn,4.3,-0.034,-0.157,0.059,29.4,29.4,CT,NBT,,,,
UPCOM,Nước sạch Bắc Giang,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2005.0,264.0,287.0,0.0,http://www.bacgiangwsc.com.vn,3.7,-0.017,-0.042,0.055,18.1,18.1,CT,BGW,,,,
UPCOM,Thủy điện Bắc Hà,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2008.0,52.0,238.0,0.0,http://www.thuydienbachalaocai.com.vn,3.7,-0.017,0.06,0.613,66.0,66.0,CT,BHA,,,,
HOSE,Nước - Môi trường Bình Dương,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2006.0,1061.0,3997.0,0.184,http://www.biwase.com.vn,3.8,-0.038,-0.083,0.147,192.9,192.9,CT,BWE,,,,
