,Open,High,Low,Close,Volume,TradingDate
0,7731.0,7731.0,5918.0,6400.0,1109300,2018-12-10
1,6665.0,6665.0,6398.0,6500.0,207065,2018-12-11
2,6505.0,6505.0,6345.0,6400.0,216630,2018-12-12
3,6345.0,6398.0,6185.0,6400.0,298600,2018-12-13
4,6238.0,6238.0,5972.0,6200.0,340861,2018-12-14
5,5972.0,5972.0,5332.0,5500.0,304710,2018-12-17
6,5118.0,5438.0,5118.0,5300.0,143590,2018-12-18
7,5385.0,5492.0,5332.0,5400.0,105911,2018-12-19
8,5385.0,5492.0,5332.0,5400.0,180230,2018-12-20
9,5438.0,5438.0,5225.0,5300.0,253600,2018-12-21
10,4799.0,5438.0,4532.0,5100.0,248700,2018-12-24
11,5118.0,5172.0,4905.0,5100.0,304500,2018-12-25
12,5172.0,5225.0,5118.0,5200.0,279510,2018-12-26
13,5225.0,5278.0,5118.0,5200.0,305650,2018-12-27
14,5225.0,5332.0,5172.0,5300.0,467400,2018-12-28
15,5278.0,5332.0,5225.0,5300.0,325780,2019-01-02
16,5278.0,5332.0,5118.0,5300.0,196900,2019-01-03
17,5065.0,5278.0,5065.0,5300.0,209200,2019-01-04
18,5225.0,5278.0,5172.0,5200.0,234500,2019-01-07
19,5225.0,5278.0,5065.0,5200.0,176810,2019-01-08
20,5172.0,5172.0,5065.0,5100.0,124380,2019-01-09
21,5065.0,5065.0,4959.0,5000.0,101000,2019-01-10
22,5065.0,5065.0,4852.0,5000.0,271300,2019-01-11
23,5012.0,5012.0,4799.0,5000.0,86440,2019-01-14
24,4852.0,4852.0,4532.0,4800.0,100500,2019-01-15
25,4745.0,4745.0,4265.0,4400.0,134640,2019-01-16
26,4425.0,4425.0,4319.0,4400.0,17715,2019-01-17
27,4745.0,4745.0,4319.0,4500.0,158900,2019-01-18
28,4532.0,4639.0,3892.0,4300.0,266110,2019-01-21
29,4585.0,4639.0,4532.0,4600.0,183800,2019-01-22
30,4585.0,4959.0,4532.0,4800.0,331700,2019-01-23
31,4905.0,5012.0,4905.0,5000.0,342800,2019-01-24
32,4852.0,4959.0,4692.0,5000.0,166960,2019-01-25
33,4799.0,4959.0,4745.0,4900.0,262200,2019-01-28
34,4852.0,4905.0,4799.0,4900.0,110400,2019-01-29
35,4852.0,4905.0,4745.0,4800.0,96601,2019-01-30
36,4905.0,4905.0,4799.0,4800.0,49107,2019-01-31
37,4852.0,4905.0,4852.0,4900.0,92000,2019-02-01
38,5492.0,5492.0,4905.0,5100.0,123121,2019-02-11
39,5172.0,5172.0,4959.0,5100.0,113742,2019-02-12
40,4959.0,5012.0,4799.0,4900.0,161300,2019-02-13
41,4799.0,4959.0,4799.0,4800.0,171260,2019-02-14
42,4852.0,4852.0,4799.0,4800.0,104910,2019-02-15
43,4799.0,4799.0,4745.0,4800.0,99725,2019-02-18
44,4692.0,4799.0,4692.0,4800.0,63060,2019-02-19
45,4692.0,4799.0,4692.0,4700.0,16300,2019-02-20
46,4585.0,4692.0,4265.0,4500.0,928542,2019-02-21
47,4639.0,4692.0,4532.0,4700.0,179970,2019-02-22
48,4692.0,4692.0,4585.0,4600.0,109214,2019-02-25
49,4532.0,4585.0,4372.0,4500.0,249990,2019-02-26
50,4425.0,4425.0,4265.0,4400.0,281770,2019-02-27
51,4372.0,4372.0,4212.0,4300.0,239800,2019-02-28
52,4212.0,4265.0,4212.0,4200.0,97000,2019-03-01
53,4212.0,4265.0,4212.0,4300.0,205014,2019-03-04
54,4319.0,4372.0,4265.0,4300.0,143511,2019-03-05
55,4105.0,4372.0,4105.0,4300.0,121400,2019-03-06
56,4319.0,4372.0,4265.0,4300.0,102300,2019-03-07
57,4265.0,4319.0,4212.0,4300.0,105800,2019-03-08
58,4265.0,4265.0,4212.0,4200.0,68311,2019-03-11
59,4265.0,4265.0,4212.0,4300.0,137400,2019-03-12
60,4265.0,4425.0,4265.0,4400.0,365800,2019-03-13
61,4425.0,4852.0,4425.0,4700.0,633190,2019-03-14
62,4745.0,4799.0,4639.0,4700.0,162290,2019-03-15
63,4692.0,4692.0,4585.0,4600.0,297100,2019-03-18
64,4639.0,5065.0,4532.0,4800.0,818220,2019-03-19
65,4959.0,5492.0,4959.0,5400.0,1311265,2019-03-20
66,5598.0,5865.0,5278.0,5600.0,902481,2019-03-21
67,5438.0,5652.0,5172.0,5400.0,859710,2019-03-22
68,5332.0,5812.0,5225.0,5600.0,1292868,2019-03-25
69,5705.0,5758.0,5438.0,5600.0,651170,2019-03-26
70,5652.0,6185.0,5652.0,6000.0,2189763,2019-03-27
71,5972.0,6078.0,5812.0,5900.0,677596,2019-03-28
72,5812.0,5865.0,5758.0,5800.0,432580,2019-03-29
73,5758.0,6025.0,5705.0,5800.0,592030,2019-04-01
74,5812.0,6025.0,5758.0,5900.0,521940,2019-04-02
75,5865.0,5865.0,5492.0,5600.0,992060,2019-04-03
76,5652.0,5758.0,5545.0,5700.0,511131,2019-04-04
77,5705.0,6132.0,5705.0,5900.0,707916,2019-04-05
78,5972.0,6345.0,5972.0,6200.0,1591014,2019-04-08
79,6291.0,6291.0,5652.0,5900.0,1650450,2019-04-09
80,5865.0,5972.0,5705.0,5900.0,522623,2019-04-10
