,Open,High,Low,Close,Volume,TradingDate
0,12572.0,12922.0,10768.0,11892.0,25500,2015-07-17
1,12175.0,11479.0,10091.0,10760.0,2500,2015-07-20
2,10760.0,11685.0,11213.0,11213.0,11000,2015-07-21
3,11213.0,12253.0,11664.0,11779.0,23950,2015-07-22
4,11043.0,11108.0,10995.0,11043.0,11700,2015-07-23
5,11043.0,11407.0,11177.0,11213.0,6300,2015-07-24
6,11326.0,11527.0,11301.0,11326.0,4100,2015-07-27
7,11326.0,11511.0,11285.0,11496.0,7600,2015-07-28
8,11326.0,11680.0,11231.0,11382.0,6000,2015-07-29
9,11326.0,11423.0,11366.0,11382.0,700,2015-07-30
10,11382.0,11382.0,11382.0,11382.0,1000,2015-07-31
11,11382.0,11632.0,11405.0,11609.0,8000,2015-08-03
12,11609.0,11837.0,11722.0,11722.0,2200,2015-08-04
13,11836.0,11944.0,11887.0,11892.0,3300,2015-08-05
14,11892.0,11892.0,11892.0,11892.0,0,2015-08-06
15,11269.0,11269.0,11269.0,11269.0,100,2015-08-07
16,11326.0,11326.0,11326.0,11326.0,200,2015-08-10
17,11326.0,11326.0,11326.0,11326.0,0,2015-08-11
18,11326.0,11326.0,11326.0,11326.0,200,2015-08-12
19,11326.0,11326.0,11326.0,11326.0,700,2015-08-13
20,11326.0,11326.0,11326.0,11326.0,0,2015-08-14
21,11326.0,11326.0,11326.0,11326.0,2000,2015-08-17
22,11439.0,11439.0,11439.0,11439.0,1000,2015-08-18
23,11609.0,11967.0,11682.0,11892.0,3800,2015-08-19
24,11892.0,11892.0,11892.0,11892.0,0,2015-08-20
25,11892.0,11892.0,11892.0,11892.0,0,2015-08-21
26,11892.0,11892.0,11892.0,11892.0,1100,2015-08-24
27,11892.0,12041.0,11928.0,11949.0,24400,2015-08-25
28,11949.0,11949.0,11949.0,11949.0,0,2015-08-26
29,12005.0,12005.0,12005.0,12005.0,5000,2015-08-27
30,12062.0,12477.0,12080.0,12458.0,2100,2015-08-28
31,12742.0,12742.0,12742.0,12742.0,800,2015-08-31
32,12742.0,12742.0,12742.0,12742.0,0,2015-09-01
33,12458.0,12458.0,12458.0,12458.0,300,2015-09-03
34,12515.0,12614.0,12557.0,12572.0,2000,2015-09-04
35,12742.0,12742.0,12742.0,12742.0,1000,2015-09-07
36,11949.0,13178.0,12089.0,13025.0,900,2015-09-08
37,12968.0,13082.0,13025.0,13025.0,1600,2015-09-09
38,12742.0,12742.0,12742.0,12742.0,1000,2015-09-10
39,12175.0,13729.0,12508.0,13364.0,5100,2015-09-11
40,13364.0,13364.0,13364.0,13364.0,0,2015-09-14
41,13364.0,13364.0,13364.0,13364.0,0,2015-09-15
42,13364.0,13364.0,13364.0,13364.0,0,2015-09-16
43,13364.0,13364.0,13364.0,13364.0,0,2015-09-17
44,12742.0,12940.0,12770.0,12911.0,2400,2015-09-18
45,12911.0,12911.0,12911.0,12911.0,0,2015-09-21
46,12911.0,12911.0,12911.0,12911.0,0,2015-09-22
47,12911.0,12911.0,12911.0,12911.0,500,2015-09-23
48,13308.0,13308.0,13308.0,13308.0,100,2015-09-24
49,13308.0,13308.0,13308.0,13308.0,0,2015-09-25
50,13308.0,13308.0,13308.0,13308.0,0,2015-09-28
51,13308.0,13308.0,13308.0,13308.0,0,2015-09-29
52,13308.0,13308.0,13308.0,13308.0,0,2015-09-30
53,13308.0,13308.0,13308.0,13308.0,0,2015-10-01
54,12175.0,13249.0,12270.0,13025.0,10600,2015-10-02
