,Open,High,Low,Close,Volume,TradingDate
0,2573.0,6627.0,5457.0,5684.0,16200,2006-12-21
1,2417.0,6081.0,5302.0,5668.0,4500,2006-12-22
2,2027.0,5429.0,5230.0,5302.0,8400,2006-12-25
3,2105.0,5302.0,5068.0,5216.0,1200,2006-12-26
4,2105.0,5283.0,5019.0,5185.0,4800,2006-12-27
5,1949.0,5208.0,5129.0,5185.0,6000,2006-12-28
6,2183.0,5686.0,5237.0,5457.0,2800,2006-12-29
7,2105.0,5635.0,5152.0,5457.0,12200,2007-01-02
8,2105.0,5379.0,5224.0,5333.0,13700,2007-01-03
9,2027.0,5365.0,5262.0,5302.0,1500,2007-01-04
10,2105.0,5613.0,5418.0,5551.0,7900,2007-01-05
11,2105.0,5551.0,5418.0,5496.0,7300,2007-01-08
12,2105.0,5599.0,5008.0,5457.0,18800,2007-01-09
13,2105.0,5497.0,5379.0,5442.0,20600,2007-01-10
14,2105.0,5615.0,5362.0,5496.0,16400,2007-01-11
15,2261.0,5831.0,5364.0,5457.0,11200,2007-01-12
16,2105.0,5450.0,5356.0,5379.0,22600,2007-01-15
17,2183.0,5725.0,5566.0,5613.0,27600,2007-01-16
18,2261.0,5931.0,5580.0,5847.0,25200,2007-01-17
19,2573.0,6557.0,6557.0,6557.0,17200,2007-01-18
20,2807.0,7212.0,7212.0,7212.0,5200,2007-01-19
21,2807.0,7276.0,6582.0,7212.0,23600,2007-01-22
22,3352.0,8395.0,7693.0,7968.0,21800,2007-01-23
23,3197.0,8141.0,7593.0,7718.0,11300,2007-01-24
24,2729.0,7198.0,6693.0,7017.0,7400,2007-01-25
25,2573.0,7696.0,6886.0,7251.0,11600,2007-01-26
26,2885.0,7758.0,7333.0,7672.0,10900,2007-01-29
27,3274.0,8311.0,7767.0,8264.0,10300,2007-01-30
28,3586.0,9145.0,8598.0,9122.0,16800,2007-01-31
29,3586.0,9421.0,8984.0,9122.0,11200,2007-02-01
30,3664.0,9479.0,8935.0,9122.0,11300,2007-02-02
31,3586.0,8829.0,8301.0,8693.0,4000,2007-02-05
32,3352.0,8909.0,8522.0,8576.0,4200,2007-02-06
33,3742.0,9540.0,8599.0,8631.0,9600,2007-02-07
34,3197.0,8508.0,7596.0,7734.0,20000,2007-02-08
35,2807.0,8077.0,7276.0,7796.0,9800,2007-02-09
36,3274.0,8759.0,8178.0,8350.0,11300,2007-02-12
37,3274.0,8679.0,8442.0,8576.0,27600,2007-02-13
38,3586.0,9350.0,8637.0,8732.0,16600,2007-02-14
39,3352.0,9149.0,8807.0,8966.0,10900,2007-02-15
40,3742.0,9910.0,9278.0,9566.0,21600,2007-02-26
41,3898.0,10291.0,9783.0,10252.0,34000,2007-02-27
42,4366.0,11127.0,10270.0,10525.0,37600,2007-02-28
43,4288.0,10957.0,10031.0,10525.0,17000,2007-03-01
44,4054.0,10929.0,10311.0,10525.0,18100,2007-03-02
45,4054.0,10709.0,10312.0,10447.0,15600,2007-03-05
46,4054.0,10999.0,10445.0,10603.0,14700,2007-03-06
47,4210.0,10899.0,10362.0,10681.0,14400,2007-03-07
48,4366.0,11819.0,10968.0,11149.0,16800,2007-03-08
49,4756.0,12155.0,11327.0,11772.0,12700,2007-03-09
50,4912.0,12213.0,11102.0,11695.0,9800,2007-03-12
51,4600.0,12786.0,11695.0,11921.0,6500,2007-03-13
52,4522.0,12526.0,11685.0,11921.0,5200,2007-03-14
53,3976.0,10334.0,9848.0,9979.0,8000,2007-03-15
54,4366.0,11094.0,11094.0,11094.0,1400,2007-03-16
55,4756.0,12201.0,12201.0,12201.0,24500,2007-03-19
56,4990.0,12677.0,10884.0,11695.0,12400,2007-03-20
57,4600.0,11899.0,11285.0,11695.0,12200,2007-03-21
58,4288.0,11017.0,10743.0,10837.0,8700,2007-03-22
59,4288.0,11102.0,10946.0,10993.0,5700,2007-03-23
60,4288.0,11264.0,10785.0,10993.0,7200,2007-03-26
61,3742.0,10993.0,10993.0,10993.0,2400,2007-03-27
62,3508.0,11496.0,9420.0,10619.0,12600,2007-03-28
63,4210.0,10829.0,10180.0,10759.0,7800,2007-03-29
64,4522.0,11329.0,10019.0,10759.0,5900,2007-03-30
65,3898.0,10105.0,9870.0,9979.0,3800,2007-04-02
66,3664.0,9802.0,9331.0,9512.0,2700,2007-04-03
67,3664.0,10561.0,9749.0,10057.0,4800,2007-04-04
68,3820.0,9989.0,9753.0,9823.0,2600,2007-04-05
69,3820.0,9628.0,9473.0,9512.0,3900,2007-04-06
70,3664.0,10307.0,9370.0,9964.0,3900,2007-04-09
71,3898.0,10054.0,9670.0,9823.0,7500,2007-04-10
72,3976.0,10111.0,9722.0,9823.0,5800,2007-04-11
73,3820.0,9808.0,9659.0,9745.0,2200,2007-04-12
74,3820.0,10099.0,9742.0,9933.0,8000,2007-04-13
75,3898.0,9949.0,9565.0,9823.0,7900,2007-04-16
76,3820.0,9894.0,9504.0,9823.0,8700,2007-04-17
77,3898.0,11024.0,10110.0,10642.0,8600,2007-04-18
78,4210.0,10298.0,9483.0,9979.0,9300,2007-04-19
79,3898.0,9995.0,9761.0,9823.0,4500,2007-04-20
80,3742.0,9572.0,9145.0,9200.0,1500,2007-04-23
81,3586.0,9253.0,9021.0,9122.0,2900,2007-04-24
82,3820.0,9706.0,9473.0,9590.0,2600,2007-04-25
83,3820.0,9644.0,9528.0,9629.0,4500,2007-05-02
84,3820.0,9667.0,9667.0,9667.0,600,2007-05-03
85,3820.0,9753.0,9597.0,9667.0,1500,2007-05-04
86,3742.0,9699.0,9535.0,9590.0,4800,2007-05-07
87,3976.0,10183.0,9799.0,9979.0,6800,2007-05-08
88,3898.0,9929.0,9547.0,9745.0,4900,2007-05-09
89,3820.0,9745.0,9629.0,9667.0,1100,2007-05-10
90,3820.0,9998.0,9681.0,9823.0,11000,2007-05-11
91,3820.0,10152.0,9837.0,10057.0,9200,2007-05-14
92,4132.0,10453.0,9988.0,10143.0,10600,2007-05-15
93,3976.0,10182.0,9831.0,10018.0,10000,2007-05-16
94,3898.0,10245.0,10057.0,10174.0,10400,2007-05-17
95,4054.0,11363.0,10481.0,11149.0,34400,2007-05-18
96,4678.0,12092.0,11599.0,12030.0,43400,2007-05-21
97,5068.0,13184.0,13043.0,13160.0,57700,2007-05-22
98,5613.0,12729.0,10458.0,12006.0,14100,2007-05-23
99,5068.0,12864.0,12248.0,12264.0,11700,2007-05-24
100,4600.0,14162.0,12496.0,13254.0,26400,2007-05-25
101,5302.0,13677.0,12801.0,12864.0,23000,2007-05-28
102,5146.0,13066.0,12459.0,12708.0,14700,2007-05-29
103,4990.0,12936.0,12620.0,12786.0,15200,2007-05-30
104,4990.0,12841.0,12606.0,12786.0,18600,2007-05-31
105,4990.0,12863.0,12654.0,12747.0,14300,2007-06-01
106,4990.0,12713.0,12172.0,12349.0,8500,2007-06-04
107,4756.0,12116.0,11881.0,11991.0,7700,2007-06-05
108,4600.0,12621.0,11959.0,12342.0,12800,2007-06-06
109,4834.0,12763.0,12372.0,12669.0,18200,2007-06-07
110,4912.0,12708.0,12396.0,12474.0,4200,2007-06-08
111,4912.0,12402.0,11937.0,12006.0,6000,2007-06-11
112,4912.0,13055.0,12360.0,12630.0,36100,2007-06-12
113,4912.0,12635.0,11782.0,12077.0,18300,2007-06-13
114,4756.0,12222.0,11603.0,11850.0,8400,2007-06-14
115,4756.0,12044.0,11500.0,11663.0,22400,2007-06-15
116,11553.0,12238.0,11605.0,11932.0,5300,2007-06-18
117,11553.0,11853.0,11652.0,11752.0,14400,2007-06-19
118,11752.0,11625.0,11044.0,11354.0,13600,2007-06-20
119,11732.0,11891.0,11594.0,11732.0,13300,2007-06-21
120,11951.0,11691.0,11396.0,11553.0,12100,2007-06-22
121,11553.0,11391.0,11001.0,11254.0,2700,2007-06-25
122,11354.0,11231.0,10837.0,10956.0,4100,2007-06-26
123,10557.0,10756.0,10358.0,10358.0,8400,2007-06-27
124,10358.0,8960.0,8616.0,9960.0,4100,2007-06-28
125,9960.0,9960.0,9760.0,9760.0,6100,2007-06-29
