,Open,High,Low,Close,Volume,TradingDate
0,8774.0,8774.0,7179.0,7498.0,7600,2009-11-26
1,7657.0,8008.0,7657.0,7960.0,13500,2009-11-27
2,8455.0,8503.0,8455.0,8487.0,4600,2009-11-30
3,9077.0,9077.0,9077.0,9077.0,600,2009-12-01
4,9683.0,9683.0,8455.0,8678.0,6000,2009-12-02
5,8423.0,8423.0,8072.0,8120.0,11600,2009-12-03
6,7577.0,8136.0,7561.0,7976.0,1800,2009-12-04
7,7498.0,7817.0,7498.0,7625.0,3400,2009-12-07
8,7817.0,7976.0,7338.0,7849.0,3500,2009-12-08
9,7490.0,7979.0,7490.0,7637.0,800,2009-12-09
10,7979.0,7979.0,7930.0,7962.0,800,2009-12-10
11,7979.0,7979.0,7653.0,7669.0,3600,2009-12-11
12,7816.0,7816.0,7783.0,7800.0,2900,2009-12-14
13,7800.0,7783.0,7783.0,7800.0,0,2009-12-15
14,7262.0,7262.0,7262.0,7262.0,3000,2009-12-16
15,6757.0,6757.0,6757.0,6757.0,7800,2009-12-17
16,7002.0,7002.0,7002.0,7002.0,100,2009-12-18
17,7490.0,7490.0,7458.0,7458.0,1200,2009-12-21
18,7458.0,7474.0,7474.0,7458.0,0,2009-12-22
19,7458.0,7474.0,7474.0,7458.0,0,2009-12-23
20,6937.0,7002.0,6937.0,6953.0,2900,2009-12-24
21,6529.0,6529.0,6513.0,6529.0,3000,2009-12-25
22,6269.0,6269.0,6269.0,6269.0,1000,2009-12-28
23,6432.0,6692.0,6432.0,6643.0,1000,2009-12-29
24,7099.0,7099.0,7099.0,7099.0,1600,2009-12-30
25,7588.0,7588.0,7588.0,7588.0,9000,2009-12-31
26,7165.0,7572.0,7165.0,7327.0,5700,2010-01-04
27,7327.0,7490.0,7327.0,7376.0,2000,2010-01-05
28,6904.0,6904.0,6871.0,6904.0,2800,2010-01-06
29,6513.0,6513.0,6513.0,6513.0,1000,2010-01-07
30,6529.0,6969.0,6513.0,6904.0,2500,2010-01-08
31,7376.0,7376.0,7376.0,7376.0,100,2010-01-11
32,7327.0,7327.0,7002.0,7034.0,2100,2010-01-12
33,7002.0,7002.0,7002.0,7002.0,1800,2010-01-13
34,7018.0,7490.0,7018.0,7360.0,25500,2010-01-14
35,7165.0,7572.0,7165.0,7474.0,6200,2010-01-15
36,6969.0,7881.0,6969.0,7555.0,400,2010-01-18
37,7555.0,7555.0,7083.0,7116.0,3100,2010-01-19
38,6839.0,7002.0,6643.0,6725.0,5300,2010-01-20
39,7181.0,7181.0,6709.0,6741.0,6500,2010-01-21
40,6676.0,6676.0,6367.0,6416.0,3600,2010-01-22
41,6855.0,6855.0,6236.0,6432.0,600,2010-01-25
42,6871.0,6871.0,6871.0,6871.0,2000,2010-01-26
43,6871.0,6871.0,6871.0,6871.0,0,2010-01-27
44,6871.0,6871.0,6871.0,6871.0,0,2010-01-28
45,7327.0,7327.0,7327.0,7327.0,100,2010-01-29
46,7083.0,7165.0,7083.0,7116.0,500,2010-02-01
47,7002.0,7002.0,7002.0,7002.0,200,2010-02-02
48,6839.0,6839.0,6676.0,6692.0,6500,2010-02-03
49,6676.0,6692.0,6676.0,6692.0,7300,2010-02-04
