,Open,High,Low,Close,Volume,TradingDate
0,3097.0,3097.0,3097.0,3097.0,13100,2002-12-19
1,3015.0,3015.0,3015.0,3015.0,14500,2002-12-20
2,3015.0,3015.0,3015.0,3015.0,8800,2002-12-23
3,3097.0,3097.0,3097.0,3097.0,3300,2002-12-24
4,3097.0,3097.0,3097.0,3097.0,6400,2002-12-25
5,3097.0,3097.0,3097.0,3097.0,3100,2002-12-26
6,3028.0,3028.0,3028.0,3028.0,5600,2002-12-27
7,3028.0,3028.0,3028.0,3028.0,4000,2002-12-30
8,3053.0,3053.0,3053.0,3053.0,6700,2002-12-31
9,3084.0,3084.0,3084.0,3084.0,2000,2003-01-02
10,3128.0,3128.0,3128.0,3128.0,1200,2003-01-03
11,3259.0,3259.0,3259.0,3259.0,10000,2003-01-06
12,3259.0,3259.0,3259.0,3259.0,15500,2003-01-07
13,3222.0,3222.0,3222.0,3222.0,2100,2003-01-08
14,3147.0,3147.0,3147.0,3147.0,1000,2003-01-09
15,3147.0,3147.0,3147.0,3147.0,0,2003-01-10
16,3178.0,3178.0,3178.0,3178.0,100,2003-01-13
17,3147.0,3147.0,3147.0,3147.0,1000,2003-01-14
18,3148.0,3148.0,3148.0,3148.0,0,2003-01-15
19,3072.0,3072.0,3072.0,3072.0,2000,2003-01-16
20,3103.0,3103.0,3103.0,3103.0,700,2003-01-17
21,3103.0,3103.0,3103.0,3103.0,0,2003-01-20
22,3103.0,3103.0,3103.0,3103.0,1000,2003-01-21
23,3040.0,3040.0,3040.0,3040.0,1000,2003-01-22
24,3042.0,3042.0,3042.0,3042.0,0,2003-01-23
25,3134.0,3134.0,3134.0,3134.0,200,2003-01-24
26,3134.0,3134.0,3134.0,3134.0,500,2003-01-27
27,3134.0,3134.0,3134.0,3134.0,1300,2003-01-28
28,3040.0,3040.0,3040.0,3040.0,500,2003-02-10
29,3015.0,3015.0,3015.0,3015.0,500,2003-02-11
30,3015.0,3015.0,3015.0,3015.0,1400,2003-02-12
31,3015.0,3015.0,3015.0,3015.0,600,2003-02-13
32,3015.0,3015.0,3015.0,3015.0,2600,2003-02-14
33,2990.0,2990.0,2990.0,2990.0,1500,2003-02-17
34,2990.0,2990.0,2990.0,2990.0,200,2003-02-18
35,2990.0,2990.0,2990.0,2990.0,100,2003-02-19
36,2990.0,2990.0,2990.0,2990.0,2000,2003-02-20
37,2990.0,2990.0,2990.0,2990.0,400,2003-02-21
38,2993.0,2993.0,2993.0,2993.0,0,2003-02-24
39,2993.0,2993.0,2993.0,2993.0,0,2003-02-25
40,2993.0,2993.0,2993.0,2993.0,0,2003-02-26
41,2978.0,2978.0,2978.0,2978.0,100,2003-02-27
42,3084.0,3084.0,3084.0,3084.0,200,2003-02-28
43,3084.0,3084.0,3084.0,3084.0,100,2003-03-03
44,3084.0,3084.0,3084.0,3084.0,1000,2003-03-04
45,2978.0,2978.0,2978.0,2978.0,1400,2003-03-05
46,2982.0,2982.0,2982.0,2982.0,0,2003-03-06
47,2982.0,2982.0,2982.0,2982.0,0,2003-03-07
48,3028.0,3028.0,3028.0,3028.0,500,2003-03-10
49,3028.0,3028.0,3028.0,3028.0,500,2003-03-11
50,3015.0,3015.0,3015.0,3015.0,200,2003-03-12
51,3031.0,3031.0,3031.0,3031.0,200,2003-03-13
52,3031.0,3031.0,3031.0,3031.0,0,2003-03-14
53,3031.0,3031.0,3031.0,3031.0,0,2003-03-17
54,3015.0,3015.0,3015.0,3015.0,200,2003-03-18
55,2965.0,2965.0,2965.0,2965.0,100,2003-03-19
56,2990.0,2990.0,2990.0,2990.0,900,2003-03-20
57,2990.0,2990.0,2990.0,2990.0,900,2003-03-21
58,2996.0,2996.0,2996.0,2996.0,0,2003-03-24
59,2965.0,2965.0,2965.0,2965.0,100,2003-03-25
60,2978.0,2978.0,2978.0,2978.0,300,2003-03-26
61,2978.0,2978.0,2978.0,2978.0,200,2003-03-27
62,2975.0,2975.0,2975.0,2975.0,0,2003-03-28
63,2990.0,2990.0,2990.0,2990.0,100,2003-03-31
64,2990.0,2990.0,2990.0,2990.0,0,2003-04-01
65,2990.0,2990.0,2990.0,2990.0,2300,2003-04-02
66,2990.0,2990.0,2990.0,2990.0,4200,2003-04-03
67,2978.0,2978.0,2978.0,2978.0,100,2003-04-04
68,2859.0,2859.0,2859.0,2859.0,1200,2003-04-07
69,2859.0,2859.0,2859.0,2859.0,1200,2003-04-08
70,2859.0,2859.0,2859.0,2859.0,0,2003-04-09
71,2859.0,2859.0,2859.0,2859.0,1200,2003-04-10
72,2859.0,2859.0,2859.0,2859.0,2400,2003-04-11
73,2859.0,2859.0,2859.0,2859.0,1400,2003-04-14
74,2809.0,2809.0,2809.0,2809.0,2000,2003-04-15
75,2765.0,2765.0,2765.0,2765.0,1000,2003-04-16
76,2765.0,2765.0,2765.0,2765.0,3000,2003-04-17
77,2903.0,2903.0,2903.0,2903.0,500,2003-04-18
78,2903.0,2903.0,2903.0,2903.0,100,2003-04-21
79,2953.0,2953.0,2953.0,2953.0,1000,2003-04-22
80,2953.0,2953.0,2953.0,2953.0,200,2003-04-23
81,2953.0,2953.0,2953.0,2953.0,300,2003-04-24
82,2953.0,2953.0,2953.0,2953.0,600,2003-04-25
83,2915.0,2915.0,2915.0,2915.0,1000,2003-04-28
84,2871.0,2871.0,2871.0,2871.0,2500,2003-04-29
85,2877.0,2877.0,2877.0,2877.0,0,2003-05-05
86,3015.0,3015.0,3015.0,3015.0,200,2003-05-06
87,3015.0,3015.0,3015.0,3015.0,200,2003-05-07
88,2990.0,2990.0,2990.0,2990.0,5200,2003-05-08
