,Open,High,Low,Close,Volume,TradingDate
0,14374.0,14374.0,14374.0,14374.0,0,2007-01-15
1,13666.0,13666.0,13666.0,13666.0,0,2007-01-17
2,13666.0,13666.0,13666.0,13666.0,0,2007-01-18
3,13666.0,13666.0,13666.0,13666.0,0,2007-01-19
4,13003.0,13003.0,13003.0,13003.0,0,2007-01-26
5,13003.0,13003.0,13003.0,13003.0,0,2007-01-29
6,13003.0,13003.0,13003.0,13003.0,0,2007-01-30
7,3467.0,3467.0,3467.0,3467.0,4700,2009-06-15
8,3692.0,3692.0,3692.0,3692.0,64700,2009-06-16
9,3941.0,3941.0,3742.0,3891.0,25500,2009-06-17
10,4141.0,4141.0,4141.0,4141.0,6800,2009-06-18
11,4415.0,4415.0,4240.0,4240.0,24400,2009-06-19
12,4365.0,4365.0,4041.0,4041.0,18100,2009-06-22
13,3916.0,3916.0,3916.0,3916.0,1400,2009-06-23
14,3667.0,3916.0,3667.0,3916.0,16500,2009-06-24
15,3941.0,3966.0,3542.0,3542.0,20000,2009-06-25
16,3617.0,3617.0,3567.0,3567.0,7200,2009-06-26
17,3667.0,3667.0,3343.0,3343.0,5700,2009-06-29
18,3617.0,3617.0,3617.0,3617.0,100,2009-06-30
19,3367.0,3367.0,3367.0,3367.0,2000,2009-07-01
20,3592.0,3592.0,3143.0,3492.0,13900,2009-07-02
21,3467.0,3467.0,3193.0,3193.0,9900,2009-07-03
22,3442.0,3442.0,3417.0,3417.0,900,2009-07-06
23,3592.0,3592.0,3442.0,3442.0,500,2009-07-07
24,3243.0,3417.0,3243.0,3243.0,3200,2009-07-08
25,3367.0,3367.0,3093.0,3118.0,7200,2009-07-09
26,3367.0,3367.0,2968.0,3293.0,21800,2009-07-10
27,3218.0,3218.0,2869.0,2894.0,2600,2009-07-13
28,3093.0,3093.0,2694.0,3043.0,3500,2009-07-14
29,3093.0,3118.0,2968.0,2968.0,10200,2009-07-15
30,3168.0,3243.0,3043.0,3243.0,22300,2009-07-16
31,2993.0,3392.0,2993.0,3293.0,10100,2009-07-17
32,3318.0,3318.0,3318.0,3318.0,500,2009-07-20
33,3343.0,3343.0,3093.0,3343.0,3800,2009-07-21
34,3243.0,3243.0,3118.0,3243.0,500,2009-07-22
35,3093.0,3243.0,2993.0,3243.0,9800,2009-07-23
36,3367.0,3367.0,3243.0,3367.0,32900,2009-07-24
37,3542.0,3542.0,3542.0,3542.0,100,2009-07-27
38,3692.0,3692.0,3318.0,3318.0,1500,2009-07-28
39,3367.0,3567.0,3243.0,3243.0,3400,2009-07-29
