,Open,High,Low,Close,Volume,TradingDate
0,14132.0,19059.0,14366.0,18749.0,37900,2007-12-11
1,18515.0,18251.0,17327.0,17812.0,13000,2007-12-12
2,16874.0,16708.0,16290.0,16452.0,9900,2007-12-13
3,15234.0,15997.0,14814.0,15046.0,8100,2007-12-14
4,16406.0,15925.0,14333.0,14765.0,5500,2007-12-17
5,13734.0,16011.0,13798.0,15234.0,3600,2007-12-18
6,16171.0,16640.0,16148.0,16406.0,4200,2007-12-19
7,15468.0,15207.0,14746.0,14999.0,1100,2007-12-20
8,15234.0,14976.0,14976.0,14999.0,800,2007-12-21
9,15468.0,15396.0,14929.0,14999.0,900,2007-12-24
10,14531.0,14531.0,14531.0,14531.0,500,2007-12-25
11,15234.0,15444.0,15210.0,15234.0,800,2007-12-26
12,14788.0,14859.0,14812.0,14835.0,2800,2007-12-27
13,14812.0,14751.0,13836.0,14179.0,3500,2007-12-28
14,14062.0,14109.0,14085.0,14085.0,700,2008-01-02
15,14062.0,13897.0,13665.0,13828.0,300,2008-01-03
16,14039.0,13874.0,13643.0,13828.0,2000,2008-01-04
17,13242.0,13242.0,13242.0,13242.0,300,2008-01-07
18,12656.0,12702.0,12539.0,12609.0,4000,2008-01-08
19,11953.0,11810.0,11277.0,11601.0,2300,2008-01-09
20,11718.0,11718.0,11718.0,11718.0,100,2008-01-10
21,12070.0,11975.0,11742.0,11835.0,1300,2008-01-11
22,10781.0,10757.0,10734.0,10757.0,700,2008-01-14
23,9703.0,9703.0,9703.0,9703.0,700,2008-01-15
24,9843.0,10758.0,9931.0,10664.0,1800,2008-01-16
25,10781.0,10968.0,10734.0,10781.0,3200,2008-01-17
26,10664.0,10898.0,10733.0,10828.0,300,2008-01-18
27,10078.0,10078.0,10078.0,10078.0,1000,2008-01-21
28,9843.0,9915.0,9206.0,9773.0,2700,2008-01-22
29,9609.0,9609.0,9609.0,9609.0,200,2008-01-23
30,9609.0,9914.0,8971.0,9140.0,1700,2008-01-24
31,8672.0,8994.0,8533.0,8672.0,1800,2008-01-25
32,9609.0,9609.0,9609.0,9609.0,100,2008-01-28
33,8906.0,9070.0,8952.0,9023.0,600,2008-01-29
34,9375.0,9914.0,9419.0,9867.0,8400,2008-01-30
35,10289.0,10217.0,9891.0,9961.0,1400,2008-01-31
36,10382.0,10546.0,10078.0,10382.0,2400,2008-02-01
37,11250.0,10766.0,9488.0,9914.0,300,2008-02-12
38,10781.0,10790.0,9509.0,9914.0,800,2008-02-13
39,9914.0,9509.0,9509.0,9914.0,0,2008-02-14
40,9750.0,9750.0,9726.0,9726.0,500,2008-02-15
41,9187.0,9257.0,8789.0,9187.0,1200,2008-02-18
42,9375.0,9209.0,8979.0,9140.0,500,2008-02-19
43,8672.0,8624.0,8391.0,8437.0,1100,2008-02-20
44,7851.0,7850.0,7594.0,7640.0,4200,2008-02-21
45,7664.0,9047.0,8264.0,8390.0,2500,2008-02-22
46,8203.0,8972.0,8358.0,8554.0,800,2008-02-25
47,7734.0,8251.0,7824.0,8156.0,500,2008-02-26
48,8156.0,8251.0,8251.0,8156.0,0,2008-02-27
49,8156.0,8251.0,8251.0,8156.0,0,2008-02-28
50,7734.0,7614.0,7337.0,7453.0,2200,2008-02-29
51,6820.0,6820.0,6820.0,6820.0,2300,2008-03-03
52,6140.0,6140.0,6140.0,6140.0,800,2008-03-04
53,6750.0,6750.0,6750.0,6750.0,100,2008-03-05
54,7406.0,7406.0,7406.0,7406.0,5000,2008-03-06
55,7992.0,8132.0,7992.0,8132.0,4100,2008-03-07
56,8929.0,8304.0,7519.0,8086.0,1900,2008-03-10
57,9375.0,8894.0,8227.0,8672.0,300,2008-03-11
58,8437.0,8437.0,8437.0,8437.0,200,2008-03-12
59,8859.0,8474.0,7398.0,7734.0,600,2008-03-13
60,7570.0,7522.0,7266.0,7336.0,2200,2008-03-14
61,6679.0,6679.0,6633.0,6656.0,700,2008-03-17
62,6094.0,6094.0,6023.0,6023.0,2800,2008-03-18
63,6609.0,6508.0,5931.0,6023.0,700,2008-03-19
64,6117.0,6403.0,5393.0,5508.0,1800,2008-03-20
65,5062.0,5109.0,5062.0,5086.0,6300,2008-03-21
66,4594.0,4594.0,4594.0,4594.0,800,2008-03-24
67,4195.0,4242.0,4195.0,4219.0,3800,2008-03-25
68,3867.0,4765.0,4011.0,4570.0,2900,2008-03-26
69,4476.0,4476.0,4476.0,4476.0,100,2008-03-27
70,4547.0,4547.0,4547.0,4547.0,4200,2008-03-28
71,4617.0,4617.0,4617.0,4617.0,8500,2008-03-31
72,4687.0,4687.0,4687.0,4687.0,100,2008-04-01
73,4781.0,4781.0,4781.0,4781.0,100,2008-04-02
74,4875.0,4875.0,4875.0,4875.0,200,2008-04-03
