,Open,High,Low,Close,Volume,TradingDate
0,7175.0,7175.0,5331.0,5730.0,134800,2011-03-18
1,5755.0,6004.0,5730.0,6004.0,93180,2011-03-21
2,6228.0,6303.0,6228.0,6303.0,60400,2011-03-22
3,6602.0,6602.0,6602.0,6602.0,55760,2011-03-23
4,6851.0,6851.0,6303.0,6403.0,99550,2011-03-24
5,6403.0,6577.0,6104.0,6104.0,82090,2011-03-25
6,6104.0,6228.0,5979.0,5979.0,21210,2011-03-28
7,6004.0,6004.0,5680.0,5680.0,53450,2011-03-29
8,5406.0,5730.0,5406.0,5481.0,34990,2011-03-30
9,5381.0,5680.0,5381.0,5456.0,26090,2011-03-31
10,5481.0,5606.0,5232.0,5257.0,27180,2011-04-01
11,5008.0,5107.0,5008.0,5008.0,58520,2011-04-04
12,4983.0,4983.0,4758.0,4758.0,39870,2011-04-05
13,4958.0,4958.0,4559.0,4783.0,62700,2011-04-06
14,4609.0,4933.0,4584.0,4609.0,15820,2011-04-07
15,4435.0,4609.0,4435.0,4609.0,3510,2011-04-08
16,4484.0,4634.0,4484.0,4484.0,2980,2011-04-13
17,4385.0,4484.0,4260.0,4260.0,20290,2011-04-14
18,4310.0,4310.0,4061.0,4061.0,20570,2011-04-15
19,3862.0,3911.0,3862.0,3862.0,20380,2011-04-18
20,3737.0,3812.0,3687.0,3687.0,52260,2011-04-19
21,3687.0,3862.0,3563.0,3837.0,17470,2011-04-20
22,3837.0,3837.0,3712.0,3712.0,13610,2011-04-21
23,3637.0,3737.0,3563.0,3563.0,7980,2011-04-22
24,3712.0,3712.0,3612.0,3712.0,13990,2011-04-25
25,3637.0,3712.0,3563.0,3712.0,3030,2011-04-26
26,3712.0,3712.0,3538.0,3662.0,3300,2011-04-27
27,3538.0,3563.0,3488.0,3538.0,9650,2011-04-28
28,3488.0,3588.0,3488.0,3513.0,9900,2011-04-29
29,3662.0,3687.0,3662.0,3687.0,18200,2011-05-04
30,3737.0,3737.0,3637.0,3662.0,7850,2011-05-05
31,3588.0,3762.0,3588.0,3762.0,20,2011-05-06
32,3737.0,3737.0,3612.0,3737.0,2810,2011-05-09
33,3737.0,3762.0,3612.0,3612.0,16370,2011-05-10
34,3737.0,3737.0,3513.0,3513.0,8390,2011-05-11
35,3662.0,3662.0,3662.0,3662.0,10,2011-05-12
36,3612.0,3612.0,3612.0,3612.0,2810,2011-05-13
37,3588.0,3588.0,3438.0,3488.0,10140,2011-05-16
38,3488.0,3488.0,3313.0,3313.0,10170,2011-05-17
39,3239.0,3388.0,3164.0,3164.0,38630,2011-05-18
40,3289.0,3313.0,3015.0,3313.0,9290,2011-05-19
41,3214.0,3438.0,3214.0,3313.0,9560,2011-05-20
42,3164.0,3164.0,3164.0,3164.0,11890,2011-05-23
43,3039.0,3039.0,3015.0,3015.0,8330,2011-05-24
44,2865.0,2865.0,2865.0,2865.0,4510,2011-05-25
45,2740.0,2965.0,2740.0,2940.0,23870,2011-05-26
46,2940.0,2940.0,2815.0,2940.0,15980,2011-05-27
47,2940.0,2940.0,2815.0,2815.0,12390,2011-05-30
48,2691.0,2815.0,2691.0,2740.0,7480,2011-05-31
49,2740.0,2865.0,2716.0,2865.0,6970,2011-06-01
50,2965.0,2990.0,2965.0,2990.0,19850,2011-06-02
51,3139.0,3139.0,2990.0,3089.0,22640,2011-06-03
52,3064.0,3064.0,3064.0,3064.0,0,2011-06-06
53,3239.0,3239.0,3114.0,3114.0,12620,2011-06-07
54,3064.0,3239.0,3015.0,3064.0,6120,2011-06-08
55,3164.0,3214.0,3139.0,3214.0,29210,2011-06-09
56,3338.0,3363.0,3264.0,3313.0,11740,2011-06-10
57,3438.0,3463.0,3363.0,3463.0,9280,2011-06-13
58,3513.0,3612.0,3488.0,3588.0,12420,2011-06-14
59,3488.0,3488.0,3413.0,3413.0,1560,2011-06-15
60,3313.0,3388.0,3264.0,3264.0,22690,2011-06-16
61,3139.0,3264.0,3139.0,3164.0,10180,2011-06-17
62,3064.0,3064.0,3015.0,3015.0,15160,2011-06-20
63,2915.0,3164.0,2915.0,3164.0,2510,2011-06-21
64,3189.0,3189.0,3015.0,3164.0,8100,2011-06-22
65,3214.0,3214.0,3039.0,3039.0,2630,2011-06-23
66,3164.0,3164.0,3164.0,3164.0,5300,2011-06-24
67,3164.0,3164.0,3015.0,3015.0,9770,2011-06-27
68,3114.0,3114.0,2940.0,2940.0,9330,2011-06-28
69,2990.0,2990.0,2990.0,2990.0,500,2011-06-29
70,2940.0,2940.0,2940.0,2940.0,2300,2011-06-30
71,2890.0,2890.0,2815.0,2815.0,8650,2011-07-01
72,2940.0,2940.0,2865.0,2890.0,820,2011-07-04
73,2990.0,2990.0,2940.0,2940.0,510,2011-07-05
74,2990.0,2990.0,2865.0,2865.0,1580,2011-07-06
75,2990.0,2990.0,2990.0,2990.0,170,2011-07-07
76,2990.0,2990.0,2865.0,2865.0,3300,2011-07-08
77,2865.0,2865.0,2815.0,2815.0,3160,2011-07-11
78,2740.0,2815.0,2691.0,2815.0,7070,2011-07-12
79,2815.0,2940.0,2815.0,2940.0,1910,2011-07-13
80,2965.0,2965.0,2915.0,2965.0,500,2011-07-14
81,2865.0,2865.0,2840.0,2840.0,4360,2011-07-15
82,2890.0,2915.0,2890.0,2915.0,3000,2011-07-18
83,2915.0,2915.0,2790.0,2915.0,1800,2011-07-19
84,2890.0,2915.0,2865.0,2915.0,1400,2011-07-20
85,2890.0,2890.0,2790.0,2890.0,2100,2011-07-21
86,2790.0,2815.0,2765.0,2815.0,2530,2011-07-22
87,2691.0,2691.0,2691.0,2691.0,20440,2011-07-25
88,2691.0,2790.0,2591.0,2790.0,1070,2011-07-26
89,2740.0,2740.0,2740.0,2740.0,2170,2011-07-27
90,2616.0,2790.0,2616.0,2790.0,10110,2011-07-28
91,2666.0,2666.0,2666.0,2666.0,6130,2011-07-29
92,2591.0,2716.0,2541.0,2716.0,23120,2011-08-01
93,2591.0,2591.0,2591.0,2591.0,6370,2011-08-02
94,2691.0,2691.0,2691.0,2691.0,100,2011-08-03
95,2591.0,2740.0,2566.0,2740.0,10320,2011-08-04
96,2740.0,2740.0,2740.0,2740.0,0,2011-08-05
97,2616.0,2641.0,2616.0,2616.0,3260,2011-08-08
98,2491.0,2666.0,2491.0,2666.0,12280,2011-08-09
99,2566.0,2740.0,2541.0,2740.0,720,2011-08-10
100,2716.0,2716.0,2716.0,2716.0,10,2011-08-11
101,2666.0,2666.0,2591.0,2591.0,8190,2011-08-12
102,2641.0,2641.0,2616.0,2616.0,160,2011-08-15
103,2516.0,2616.0,2516.0,2616.0,5300,2011-08-16
104,2516.0,2641.0,2516.0,2641.0,4300,2011-08-17
105,2740.0,2740.0,2616.0,2616.0,8970,2011-08-18
106,2666.0,2666.0,2516.0,2516.0,2300,2011-08-19
107,2641.0,2641.0,2641.0,2641.0,10,2011-08-22
108,2666.0,2666.0,2666.0,2666.0,2200,2011-08-23
109,2666.0,2740.0,2666.0,2740.0,4730,2011-08-24
110,2740.0,2740.0,2740.0,2740.0,0,2011-08-25
111,2740.0,2815.0,2716.0,2815.0,890,2011-08-26
112,2865.0,2915.0,2840.0,2915.0,1050,2011-08-29
113,2915.0,2990.0,2840.0,2915.0,11560,2011-08-30
114,2815.0,2965.0,2790.0,2815.0,11560,2011-08-31
115,2815.0,2940.0,2815.0,2940.0,17810,2011-09-01
116,2915.0,2990.0,2915.0,2940.0,5200,2011-09-05
117,2990.0,2990.0,2840.0,2965.0,15200,2011-09-06
118,2965.0,3039.0,2965.0,2965.0,8340,2011-09-07
119,3064.0,3064.0,2990.0,3015.0,11550,2011-09-08
120,3039.0,3039.0,3039.0,3039.0,14360,2011-09-09
121,3189.0,3189.0,3064.0,3089.0,8150,2011-09-12
122,3114.0,3239.0,3114.0,3239.0,10510,2011-09-13
123,3239.0,3313.0,3089.0,3089.0,12640,2011-09-14
124,3239.0,3239.0,2940.0,3189.0,7280,2011-09-15
125,3214.0,3214.0,3039.0,3114.0,11150,2011-09-16
126,3114.0,3189.0,3114.0,3189.0,520,2011-09-19
127,3139.0,3214.0,3139.0,3214.0,500,2011-09-20
128,3189.0,3189.0,3064.0,3164.0,12410,2011-09-21
129,3164.0,3164.0,3015.0,3139.0,2810,2011-09-22
130,3089.0,3089.0,2990.0,3064.0,1800,2011-09-23
131,3064.0,3064.0,2915.0,3064.0,3990,2011-09-26
132,2940.0,2990.0,2940.0,2990.0,880,2011-09-27
133,3064.0,3064.0,3015.0,3064.0,3800,2011-09-28
134,3064.0,3064.0,3064.0,3064.0,0,2011-09-29
135,3064.0,3064.0,3064.0,3064.0,0,2011-09-30
136,3164.0,3164.0,2915.0,2915.0,4520,2011-10-03
137,2940.0,2940.0,2790.0,2790.0,1930,2011-10-04
138,2915.0,2915.0,2666.0,2666.0,13580,2011-10-05
139,2666.0,2790.0,2666.0,2790.0,1520,2011-10-06
140,2740.0,2740.0,2740.0,2740.0,350,2011-10-07
141,2815.0,2815.0,2815.0,2815.0,10,2011-10-10
142,2840.0,2840.0,2840.0,2840.0,10,2011-10-11
143,2840.0,2840.0,2840.0,2840.0,0,2011-10-12
144,2740.0,2740.0,2716.0,2716.0,3500,2011-10-13
145,2790.0,2790.0,2616.0,2616.0,30,2011-10-14
146,2541.0,2691.0,2516.0,2691.0,810,2011-10-17
147,2666.0,2666.0,2666.0,2666.0,50,2011-10-18
148,2616.0,2666.0,2541.0,2666.0,3460,2011-10-19
149,2616.0,2666.0,2616.0,2666.0,510,2011-10-20
150,2541.0,2790.0,2541.0,2765.0,1320,2011-10-21
151,2840.0,2840.0,2840.0,2840.0,10,2011-10-24
152,2716.0,2940.0,2716.0,2716.0,340,2011-10-25
153,2815.0,2815.0,2815.0,2815.0,10,2011-10-26
154,2691.0,2691.0,2691.0,2691.0,500,2011-10-27
155,2790.0,2790.0,2790.0,2790.0,90,2011-10-28
156,2790.0,2790.0,2790.0,2790.0,0,2011-10-31
157,2666.0,2666.0,2666.0,2666.0,150,2011-11-01
158,2566.0,2740.0,2566.0,2740.0,1420,2011-11-02
159,2740.0,2740.0,2740.0,2740.0,0,2011-11-03
160,2740.0,2740.0,2740.0,2740.0,0,2011-11-04
161,2865.0,2865.0,2616.0,2616.0,3060,2011-11-07
162,2666.0,2666.0,2491.0,2491.0,18600,2011-11-08
163,2566.0,2566.0,2566.0,2566.0,10,2011-11-09
164,2616.0,2616.0,2616.0,2616.0,10,2011-11-10
165,2691.0,2691.0,2691.0,2691.0,10,2011-11-11
166,2566.0,2616.0,2566.0,2616.0,3010,2011-11-14
167,2566.0,2566.0,2491.0,2566.0,5250,2011-11-15
168,2466.0,2491.0,2442.0,2491.0,4570,2011-11-16
169,2392.0,2392.0,2392.0,2392.0,150,2011-11-17
170,2466.0,2491.0,2442.0,2491.0,120,2011-11-18
171,2591.0,2591.0,2591.0,2591.0,10,2011-11-21
172,2591.0,2591.0,2591.0,2591.0,0,2011-11-22
173,2466.0,2466.0,2466.0,2466.0,210,2011-11-23
174,2367.0,2367.0,2367.0,2367.0,200,2011-11-24
175,2466.0,2466.0,2367.0,2466.0,1010,2011-11-25
176,2541.0,2541.0,2541.0,2541.0,20,2011-11-28
177,2566.0,2566.0,2566.0,2566.0,20,2011-11-29
178,2566.0,2566.0,2566.0,2566.0,0,2011-11-30
179,2566.0,2566.0,2566.0,2566.0,910,2011-12-01
180,2566.0,2566.0,2516.0,2516.0,30,2011-12-02
181,2516.0,2541.0,2516.0,2516.0,1180,2011-12-05
182,2516.0,2516.0,2516.0,2516.0,0,2011-12-06
183,2392.0,2392.0,2392.0,2392.0,100,2011-12-07
184,2491.0,2491.0,2491.0,2491.0,2080,2011-12-08
185,2392.0,2392.0,2392.0,2392.0,100,2011-12-09
186,2392.0,2392.0,2392.0,2392.0,100,2011-12-12
187,2317.0,2317.0,2317.0,2317.0,50,2011-12-13
188,2317.0,2317.0,2317.0,2317.0,0,2011-12-14
189,2417.0,2417.0,2217.0,2217.0,30,2011-12-15
190,2317.0,2317.0,2317.0,2317.0,1380,2011-12-16
191,2367.0,2367.0,2367.0,2367.0,500,2011-12-19
192,2466.0,2466.0,2466.0,2466.0,10,2011-12-20
193,2516.0,2516.0,2516.0,2516.0,10,2011-12-21
194,2392.0,2392.0,2392.0,2392.0,10,2011-12-22
195,2392.0,2392.0,2392.0,2392.0,0,2011-12-23
196,2392.0,2392.0,2392.0,2392.0,0,2011-12-26
197,2392.0,2392.0,2392.0,2392.0,0,2011-12-27
198,2491.0,2491.0,2491.0,2491.0,10,2011-12-28
199,2616.0,2616.0,2616.0,2616.0,10,2011-12-29
200,2491.0,2691.0,2491.0,2691.0,60,2011-12-30
201,2566.0,2566.0,2566.0,2566.0,1000,2012-01-03
202,2442.0,2566.0,2442.0,2566.0,3860,2012-01-04
203,2442.0,2442.0,2442.0,2442.0,1840,2012-01-05
204,2491.0,2491.0,2342.0,2342.0,100,2012-01-06
205,2242.0,2442.0,2242.0,2442.0,1420,2012-01-09
206,2516.0,2516.0,2516.0,2516.0,10,2012-01-10
207,2392.0,2591.0,2392.0,2591.0,1490,2012-01-11
208,2466.0,2466.0,2466.0,2466.0,1680,2012-01-12
209,2466.0,2466.0,2466.0,2466.0,0,2012-01-13
210,2392.0,2392.0,2392.0,2392.0,2610,2012-01-16
211,2392.0,2392.0,2392.0,2392.0,0,2012-01-17
212,2292.0,2292.0,2292.0,2292.0,20,2012-01-18
213,2392.0,2392.0,2392.0,2392.0,500,2012-01-19
214,2491.0,2491.0,2491.0,2491.0,50,2012-01-20
