,Open,High,Low,Close,Volume,TradingDate
0,3359.0,3359.0,1948.0,2002.0,0,2005-07-14
1,2150.0,2150.0,1948.0,2002.0,0,2005-07-18
2,2150.0,2150.0,1814.0,1827.0,0,2005-07-20
3,1652.0,1652.0,1652.0,1652.0,0,2005-07-22
4,1491.0,1491.0,1491.0,1652.0,0,2005-07-25
5,1639.0,1639.0,1639.0,1639.0,0,2005-07-27
6,1800.0,1800.0,1800.0,1800.0,0,2005-07-29
7,1975.0,1975.0,1975.0,1800.0,0,2005-08-01
8,2015.0,2015.0,2015.0,2015.0,0,2005-08-03
9,1814.0,1988.0,1814.0,1827.0,0,2005-08-05
10,1747.0,1814.0,1747.0,1827.0,0,2005-08-08
11,1814.0,1814.0,1814.0,1814.0,0,2005-08-10
12,1814.0,1814.0,1814.0,1814.0,0,2005-08-12
13,1988.0,1988.0,1814.0,1814.0,0,2005-08-15
14,1747.0,1854.0,1747.0,1747.0,0,2005-08-17
15,1572.0,1572.0,1572.0,1572.0,0,2005-12-14
16,1747.0,1747.0,1747.0,1747.0,3000,2005-12-16
17,1747.0,1747.0,1747.0,1747.0,0,2005-12-19
18,1747.0,1747.0,1747.0,1747.0,8000,2005-12-21
19,1572.0,1572.0,1572.0,1572.0,0,2005-12-23
20,1572.0,1572.0,1572.0,1572.0,0,2005-12-26
21,1747.0,1747.0,1747.0,1747.0,0,2005-12-28
22,1747.0,1773.0,1747.0,1747.0,2200,2005-12-30
23,1693.0,1693.0,1693.0,1693.0,0,2006-01-04
24,1693.0,1693.0,1679.0,1693.0,300,2006-01-06
25,1693.0,1693.0,1693.0,1693.0,0,2006-01-09
26,1693.0,1693.0,1693.0,1693.0,0,2006-01-11
27,1666.0,1666.0,1666.0,1666.0,100,2006-01-13
28,1666.0,1666.0,1666.0,1666.0,0,2006-01-16
29,1693.0,1693.0,1679.0,1693.0,1900,2006-01-18
30,1679.0,1679.0,1679.0,1679.0,0,2006-01-20
31,1518.0,1518.0,1518.0,1518.0,0,2006-01-23
32,1518.0,1518.0,1518.0,1518.0,0,2006-01-25
33,1693.0,1693.0,1693.0,1693.0,0,2006-01-27
34,1693.0,1693.0,1693.0,1693.0,500,2006-02-06
35,1693.0,1693.0,1693.0,1693.0,300,2006-02-08
36,1679.0,1679.0,1679.0,1679.0,3800,2006-02-10
37,1693.0,1693.0,1666.0,1679.0,10400,2006-02-13
38,1666.0,1666.0,1612.0,1626.0,13100,2006-02-15
39,1612.0,1612.0,1612.0,1612.0,8500,2006-02-17
40,1612.0,1612.0,1612.0,1612.0,3900,2006-02-20
41,1626.0,1626.0,1626.0,1626.0,5000,2006-02-22
42,1626.0,1626.0,1626.0,1626.0,0,2006-02-24
43,1626.0,1626.0,1626.0,1626.0,0,2006-02-27
44,1626.0,1626.0,1626.0,1626.0,0,2006-03-01
45,1787.0,1787.0,1787.0,1787.0,4100,2006-03-03
46,1612.0,1961.0,1612.0,1787.0,5300,2006-03-06
47,2015.0,2015.0,2015.0,2015.0,1600,2006-03-08
48,2217.0,2217.0,2217.0,2217.0,13000,2006-03-10
49,2432.0,2432.0,2311.0,2217.0,20900,2006-03-13
50,2485.0,2553.0,2485.0,2485.0,10600,2006-03-15
51,2620.0,2620.0,2485.0,2485.0,15400,2006-03-17
52,2418.0,2472.0,2418.0,2485.0,20200,2006-03-20
53,2418.0,2687.0,2418.0,2459.0,37100,2006-03-22
54,2418.0,2620.0,2418.0,2499.0,43600,2006-03-24
55,2553.0,2566.0,2459.0,2499.0,28400,2006-03-27
56,2620.0,2781.0,2297.0,2700.0,72480,2006-03-29
57,2969.0,2969.0,2969.0,2969.0,6200,2006-03-31
58,3265.0,3265.0,3265.0,2969.0,12200,2006-04-03
59,3587.0,3587.0,3359.0,3439.0,136800,2006-04-05
60,3627.0,3627.0,3426.0,3466.0,47200,2006-04-07
61,3560.0,3560.0,3291.0,3466.0,20000,2006-04-10
62,3090.0,3103.0,3063.0,3077.0,10600,2006-04-12
63,3050.0,3372.0,3023.0,3211.0,63900,2006-04-14
64,3520.0,3520.0,3426.0,3211.0,95900,2006-04-17
65,3869.0,3869.0,3627.0,3815.0,64000,2006-04-19
66,4030.0,4192.0,3762.0,3856.0,104700,2006-04-21
67,3896.0,4030.0,3748.0,3856.0,94800,2006-04-24
68,3896.0,3963.0,3762.0,3883.0,98500,2006-04-26
69,3506.0,3762.0,3506.0,3520.0,98500,2006-04-28
70,3762.0,3762.0,3359.0,3520.0,47600,2006-05-03
71,3627.0,3627.0,3426.0,3493.0,44100,2006-05-05
72,3493.0,3695.0,3493.0,3493.0,79200,2006-05-08
73,3627.0,3762.0,3224.0,3439.0,69000,2006-05-10
74,3493.0,3775.0,3493.0,3708.0,40800,2006-05-12
75,3762.0,3896.0,3708.0,3708.0,99600,2006-05-15
76,3829.0,3842.0,3762.0,3789.0,31400,2006-05-17
77,3695.0,3762.0,3587.0,3627.0,30400,2006-05-19
78,3627.0,3627.0,3493.0,3627.0,24400,2006-05-22
79,3426.0,3547.0,3386.0,3466.0,35200,2006-05-24
80,3506.0,3506.0,3332.0,3426.0,44300,2006-05-26
81,3426.0,3426.0,3291.0,3426.0,16100,2006-05-29
82,3224.0,3359.0,3224.0,3251.0,30300,2006-05-31
83,3023.0,3493.0,3023.0,3251.0,17700,2006-06-01
84,3453.0,3466.0,3291.0,3453.0,22100,2006-06-02
85,3493.0,3533.0,3426.0,3493.0,21100,2006-06-05
86,3439.0,3506.0,3439.0,3439.0,15900,2006-06-06
87,3359.0,3466.0,3359.0,3359.0,3600,2006-06-07
88,3412.0,3412.0,3359.0,3359.0,8200,2006-06-08
89,3359.0,3359.0,3332.0,3359.0,15000,2006-06-09
90,3332.0,3359.0,3332.0,3332.0,2200,2006-06-12
91,3305.0,3345.0,3305.0,3305.0,1000,2006-06-13
92,3305.0,3359.0,3224.0,3305.0,8100,2006-06-14
93,3265.0,3265.0,3251.0,3265.0,5100,2006-06-15
94,3238.0,3238.0,3211.0,3265.0,10300,2006-06-16
95,3103.0,3197.0,3090.0,3103.0,9800,2006-06-19
96,3077.0,3103.0,3063.0,3077.0,13800,2006-06-20
97,2781.0,3090.0,2781.0,2781.0,13400,2006-06-21
98,3117.0,3117.0,2687.0,3117.0,23700,2006-06-22
99,3090.0,3157.0,3090.0,3090.0,23800,2006-06-23
100,3077.0,3291.0,3077.0,3077.0,3800,2006-06-26
101,2996.0,3077.0,2996.0,2996.0,7500,2006-06-27
102,3023.0,3036.0,2956.0,3023.0,9000,2006-06-28
103,2956.0,3023.0,2956.0,2956.0,9900,2006-06-29
104,2982.0,3077.0,2982.0,2956.0,6300,2006-06-30
105,3023.0,3090.0,3023.0,2956.0,16800,2006-07-03
106,3050.0,3050.0,2821.0,2956.0,7000,2006-07-04
107,2956.0,2956.0,2821.0,2956.0,7300,2006-07-05
108,2956.0,2956.0,2821.0,2956.0,16800,2006-07-06
109,2835.0,2915.0,2821.0,2835.0,7000,2006-07-07
110,2862.0,2888.0,2821.0,2835.0,3500,2006-07-10
111,2888.0,3023.0,2888.0,2835.0,2100,2006-07-11
112,2848.0,2888.0,2821.0,2848.0,6600,2006-07-12
113,2821.0,2862.0,2794.0,2821.0,8000,2006-07-13
114,2821.0,2821.0,2754.0,2821.0,2700,2006-07-14
115,2714.0,2781.0,2687.0,2714.0,18500,2006-07-17
116,2700.0,2754.0,2687.0,2700.0,9700,2006-07-18
117,2620.0,2687.0,2620.0,2620.0,9300,2006-07-19
118,2647.0,2660.0,2620.0,2647.0,9300,2006-07-20
119,2620.0,2633.0,2553.0,2620.0,8100,2006-07-21
120,2351.0,2553.0,2351.0,2351.0,11900,2006-07-24
121,2163.0,2284.0,2163.0,2163.0,18200,2006-07-25
122,2109.0,2217.0,2082.0,2109.0,11100,2006-07-26
123,2257.0,2257.0,2136.0,2257.0,19200,2006-07-27
124,2257.0,2391.0,2230.0,2257.0,25000,2006-07-28
125,2163.0,2351.0,2163.0,2163.0,23800,2006-07-31
126,2096.0,2150.0,2082.0,2096.0,13600,2006-08-01
127,2123.0,2123.0,1894.0,2123.0,12800,2006-08-02
128,2190.0,2217.0,2150.0,2190.0,8600,2006-08-03
129,2230.0,2257.0,2217.0,2230.0,18700,2006-08-04
130,2150.0,2244.0,2150.0,2150.0,12100,2006-08-07
131,2190.0,2217.0,2150.0,2190.0,5700,2006-08-08
132,2203.0,2203.0,2190.0,2203.0,5300,2006-08-09
133,2230.0,2230.0,2217.0,2230.0,11300,2006-08-10
134,2284.0,2284.0,2244.0,2284.0,10900,2006-08-11
135,2418.0,2418.0,2270.0,2418.0,69700,2006-08-14
136,2324.0,2378.0,2311.0,2324.0,20200,2006-08-15
137,2459.0,2485.0,2418.0,2459.0,12400,2006-08-16
138,2499.0,2526.0,2459.0,2499.0,30700,2006-08-17
139,2485.0,2499.0,2459.0,2485.0,17300,2006-08-18
140,2418.0,2459.0,2405.0,2418.0,8000,2006-08-21
141,2311.0,2405.0,2217.0,2311.0,11400,2006-08-22
142,2351.0,2364.0,2069.0,2351.0,10500,2006-08-23
143,2311.0,2338.0,2311.0,2311.0,2600,2006-08-24
144,2311.0,2324.0,2284.0,2311.0,4400,2006-08-25
145,2297.0,2324.0,2297.0,2297.0,5000,2006-08-28
146,2405.0,2405.0,2351.0,2405.0,3300,2006-08-29
147,2365.0,2364.0,2284.0,2364.0,7100,2006-08-30
148,2365.0,2364.0,2338.0,2364.0,3000,2006-08-31
149,2405.0,2418.0,2351.0,2405.0,6100,2006-09-01
