,Open,High,Low,Close,Volume,TradingDate
0,3659.0,3659.0,3659.0,3659.0,14410,2006-12-20
1,3657.0,3658.0,3484.0,3484.0,5560,2006-12-21
2,3486.0,3486.0,3312.0,3312.0,10,2006-12-22
3,3146.0,3146.0,3146.0,3146.0,2860,2006-12-25
4,2990.0,2990.0,2990.0,2990.0,10060,2006-12-26
5,2843.0,2843.0,2843.0,2843.0,12900,2006-12-27
6,2705.0,2705.0,2705.0,2705.0,1500,2006-12-28
7,2706.0,2706.0,2577.0,2577.0,550,2006-12-29
8,2577.0,2577.0,2449.0,2449.0,10,2007-01-02
9,2448.0,2449.0,2329.0,2329.0,510,2007-01-03
10,2220.0,2220.0,2220.0,2220.0,10,2007-01-04
11,2219.0,2219.0,2119.0,2119.0,71290,2007-01-05
12,2220.0,2220.0,2220.0,2220.0,39040,2007-01-08
13,2329.0,2329.0,2329.0,2329.0,79720,2007-01-09
14,2329.0,2329.0,2292.0,2292.0,50820,2007-01-10
15,2292.0,2292.0,2292.0,2292.0,3740,2007-01-11
16,2192.0,2192.0,2183.0,2183.0,5300,2007-01-12
17,2181.0,2181.0,2090.0,2090.0,3310,2007-01-15
18,1990.0,1990.0,1990.0,1990.0,18700,2007-01-16
19,2026.0,2027.0,1898.0,2027.0,5400,2007-01-17
20,2026.0,2026.0,2008.0,2017.0,6600,2007-01-18
21,2017.0,2017.0,1925.0,2017.0,14600,2007-01-19
22,2017.0,2017.0,1916.0,1916.0,4100,2007-01-22
23,1917.0,1917.0,1826.0,1826.0,10210,2007-01-23
24,1835.0,1835.0,1826.0,1826.0,18100,2007-01-24
25,1908.0,1908.0,1908.0,1908.0,4900,2007-01-25
26,1998.0,1998.0,1906.0,1998.0,20450,2007-01-26
27,1999.0,1999.0,1925.0,1925.0,12710,2007-01-29
28,1925.0,1925.0,1925.0,1925.0,4860,2007-01-30
29,1990.0,1991.0,1943.0,1943.0,7370,2007-01-31
30,1943.0,1972.0,1943.0,1943.0,6490,2007-02-01
31,1943.0,1943.0,1943.0,1943.0,4590,2007-02-02
32,1992.0,2040.0,1869.0,2040.0,10030,2007-02-05
33,2134.0,2135.0,2087.0,2135.0,29430,2007-02-06
34,2230.0,2230.0,2182.0,2230.0,22850,2007-02-07
35,2334.0,2334.0,2334.0,2334.0,29810,2007-02-08
36,2447.0,2447.0,2447.0,2447.0,29840,2007-02-09
37,2561.0,2561.0,2561.0,2561.0,33190,2007-02-12
38,2562.0,2562.0,2515.0,2515.0,17260,2007-02-13
39,2513.0,2514.0,2390.0,2457.0,10400,2007-02-14
40,2561.0,2561.0,2457.0,2457.0,7020,2007-02-15
41,2571.0,2571.0,2561.0,2571.0,5570,2007-02-26
42,2694.0,2694.0,2561.0,2561.0,21880,2007-02-27
43,2466.0,2466.0,2438.0,2466.0,13930,2007-02-28
44,2465.0,2466.0,2418.0,2437.0,8320,2007-03-01
45,2438.0,2439.0,2420.0,2420.0,15650,2007-03-02
46,2532.0,2532.0,2466.0,2532.0,21660,2007-03-05
47,2656.0,2656.0,2656.0,2656.0,79240,2007-03-06
48,2788.0,2788.0,2788.0,2788.0,10610,2007-03-07
49,2922.0,2922.0,2846.0,2922.0,6220,2007-03-08
50,3065.0,3065.0,3065.0,3065.0,7620,2007-03-09
51,3217.0,3217.0,3065.0,3217.0,13540,2007-03-12
52,3368.0,3368.0,3226.0,3368.0,51260,2007-03-13
53,3529.0,3529.0,3529.0,3529.0,101730,2007-03-14
54,3358.0,3358.0,3358.0,3358.0,24050,2007-03-15
55,3225.0,3225.0,3196.0,3225.0,50120,2007-03-16
56,3386.0,3386.0,3319.0,3386.0,15590,2007-03-19
57,3548.0,3548.0,3548.0,3548.0,49420,2007-03-20
58,3718.0,3718.0,3605.0,3605.0,66230,2007-03-21
59,3509.0,3510.0,3424.0,3424.0,17760,2007-03-22
60,3272.0,3273.0,3254.0,3254.0,14090,2007-03-23
61,3254.0,3254.0,3093.0,3093.0,18110,2007-03-26
62,3034.0,3034.0,2940.0,2940.0,1060,2007-03-27
63,2798.0,2798.0,2798.0,2798.0,3400,2007-03-28
64,2930.0,2930.0,2797.0,2930.0,3730,2007-03-29
65,3073.0,3073.0,3035.0,3073.0,31480,2007-03-30
66,3072.0,3072.0,2920.0,2930.0,10210,2007-04-02
67,2846.0,2846.0,2846.0,2846.0,8650,2007-04-03
68,2988.0,2988.0,2741.0,2988.0,7590,2007-04-04
69,2846.0,2846.0,2846.0,2846.0,9350,2007-04-05
70,2846.0,2846.0,2751.0,2846.0,5600,2007-04-06
71,2703.0,2703.0,2703.0,2703.0,7760,2007-04-09
72,2609.0,2609.0,2571.0,2571.0,6650,2007-04-10
73,2656.0,2656.0,2571.0,2656.0,8260,2007-04-11
74,2656.0,2656.0,2656.0,2656.0,1260,2007-04-12
75,2656.0,2656.0,2656.0,2656.0,890,2007-04-13
76,2657.0,2657.0,2524.0,2524.0,4620,2007-04-16
77,2466.0,2467.0,2400.0,2400.0,9570,2007-04-17
78,2484.0,2512.0,2399.0,2484.0,3850,2007-04-18
79,2589.0,2608.0,2484.0,2589.0,9520,2007-04-19
80,2608.0,2608.0,2608.0,2608.0,6090,2007-04-20
81,2608.0,2608.0,2608.0,2608.0,4510,2007-04-23
82,2484.0,2484.0,2484.0,2484.0,5860,2007-04-24
83,2608.0,2608.0,2485.0,2608.0,11620,2007-04-25
84,2608.0,2608.0,2608.0,2608.0,1750,2007-05-02
85,2609.0,2609.0,2561.0,2561.0,2820,2007-05-03
86,2608.0,2608.0,2570.0,2598.0,2090,2007-05-04
87,2599.0,2599.0,2561.0,2561.0,3800,2007-05-07
88,2656.0,2656.0,2561.0,2656.0,6480,2007-05-08
89,2703.0,2703.0,2656.0,2703.0,6200,2007-05-09
90,2656.0,2704.0,2571.0,2571.0,9080,2007-05-10
91,2693.0,2693.0,2570.0,2693.0,9920,2007-05-11
92,2827.0,2827.0,2827.0,2827.0,6670,2007-05-14
93,2961.0,2961.0,2942.0,2961.0,21590,2007-05-15
94,2817.0,2817.0,2817.0,2817.0,5300,2007-05-16
95,2713.0,2751.0,2703.0,2713.0,7220,2007-05-17
96,2846.0,2846.0,2846.0,2846.0,14020,2007-05-18
97,2988.0,2988.0,2940.0,2988.0,3650,2007-05-21
98,3130.0,3130.0,3130.0,3130.0,6600,2007-05-22
99,3283.0,3283.0,3264.0,3283.0,1040,2007-05-23
100,3444.0,3444.0,3282.0,3444.0,10370,2007-05-24
101,3613.0,3613.0,3613.0,3613.0,54000,2007-05-25
102,3794.0,3794.0,3794.0,3794.0,5080,2007-05-28
103,3984.0,3984.0,3984.0,3984.0,3080,2007-05-29
104,4184.0,4184.0,4184.0,4184.0,2970,2007-05-30
105,4392.0,4392.0,4392.0,4392.0,2610,2007-05-31
106,4609.0,4609.0,4609.0,4609.0,5020,2007-06-01
107,4838.0,4838.0,4838.0,4838.0,3800,2007-06-04
108,5076.0,5076.0,5076.0,5076.0,13190,2007-06-05
109,5313.0,5313.0,5075.0,5313.0,30130,2007-06-06
110,5549.0,5549.0,5549.0,5549.0,3880,2007-06-07
111,5786.0,5786.0,5549.0,5786.0,5510,2007-06-08
112,6071.0,6071.0,6071.0,6071.0,16760,2007-06-11
113,6356.0,6356.0,6356.0,6356.0,17010,2007-06-12
114,6641.0,6641.0,6641.0,6641.0,36780,2007-06-13
115,6309.0,6309.0,6309.0,6309.0,195020,2007-06-14
116,6023.0,6023.0,6023.0,6023.0,11660,2007-06-15
117,6024.0,6024.0,5739.0,5739.0,39300,2007-06-18
118,6023.0,6023.0,6023.0,6023.0,257950,2007-06-19
119,6309.0,6309.0,6309.0,6309.0,57230,2007-06-20
120,6592.0,6592.0,6592.0,6592.0,106950,2007-06-21
121,6641.0,6641.0,6593.0,6641.0,240900,2007-06-22
122,6309.0,6309.0,6309.0,6309.0,35830,2007-06-25
123,6592.0,6592.0,6023.0,6592.0,115960,2007-06-26
124,6593.0,6593.0,6356.0,6356.0,62040,2007-06-27
125,6166.0,6166.0,6166.0,6166.0,26990,2007-06-28
126,6166.0,6166.0,6166.0,6166.0,20690,2007-06-29
127,3665.0,6023.0,5881.0,5881.0,17440,2007-07-02
128,5596.0,5596.0,5596.0,5596.0,6430,2007-07-03
129,5833.0,5833.0,5595.0,5833.0,42660,2007-07-04
130,3723.0,6118.0,5786.0,5786.0,52160,2007-07-05
131,5833.0,5833.0,5785.0,5833.0,10430,2007-07-06
132,3693.0,6070.0,5833.0,5833.0,9460,2007-07-09
133,5976.0,5976.0,5881.0,5976.0,9350,2007-07-10
134,3636.0,5975.0,5833.0,5833.0,14650,2007-07-11
135,3549.0,5833.0,5691.0,5691.0,6350,2007-07-12
136,5691.0,5691.0,5691.0,5691.0,16950,2007-07-13
137,3463.0,5691.0,5596.0,5596.0,10800,2007-07-16
138,5833.0,5833.0,5501.0,5833.0,23400,2007-07-17
139,3521.0,5786.0,5691.0,5691.0,28210,2007-07-18
140,3463.0,5691.0,5596.0,5596.0,12230,2007-07-19
141,5501.0,5501.0,5501.0,5501.0,14840,2007-07-20
142,3290.0,5407.0,5264.0,5264.0,13210,2007-07-23
143,5264.0,5264.0,5264.0,5264.0,16190,2007-07-24
144,5264.0,5312.0,5264.0,5264.0,10080,2007-07-25
145,3089.0,5075.0,5028.0,5028.0,10080,2007-07-26
146,4791.0,4791.0,4791.0,4791.0,9920,2007-07-27
147,4553.0,4553.0,4327.0,4553.0,510,2007-07-30
148,2655.0,4326.0,4326.0,4326.0,4730,2007-07-31
149,4382.0,4382.0,4116.0,4382.0,34130,2007-08-01
150,4163.0,4173.0,4163.0,4163.0,19740,2007-08-02
151,3965.0,3965.0,3965.0,3965.0,10490,2007-08-03
152,4153.0,4153.0,4153.0,4153.0,75110,2007-08-06
