,Open,High,Low,Close,Volume,TradingDate
0,4015.0,4015.0,4015.0,4015.0,13600,2008-06-25
1,4176.0,4208.0,4046.0,4176.0,2700,2008-06-26
2,4144.0,4176.0,4176.0,4144.0,0,2008-06-27
3,4144.0,4176.0,4176.0,4144.0,0,2008-06-30
4,4144.0,4176.0,4176.0,4144.0,0,2008-07-01
5,3983.0,3983.0,3983.0,3983.0,100,2008-07-02
6,3838.0,3838.0,3838.0,3838.0,100,2008-07-03
7,3694.0,3983.0,3694.0,3694.0,9600,2008-07-04
8,3838.0,3737.0,3456.0,3549.0,3100,2008-07-07
9,3501.0,3501.0,3501.0,3501.0,100,2008-07-08
10,3501.0,3501.0,3501.0,3501.0,0,2008-07-09
11,3373.0,3373.0,3373.0,3373.0,100,2008-07-10
12,3244.0,3244.0,3244.0,3244.0,2600,2008-07-11
13,3116.0,3116.0,3116.0,3116.0,4100,2008-07-14
14,3003.0,3362.0,3128.0,3228.0,90200,2008-07-15
15,3212.0,3212.0,3212.0,3212.0,40000,2008-07-16
16,3341.0,3341.0,3341.0,3341.0,36800,2008-07-17
17,3469.0,3320.0,3074.0,3212.0,3200,2008-07-18
18,3228.0,3228.0,3228.0,3228.0,2200,2008-07-21
19,3228.0,3228.0,3228.0,3228.0,0,2008-07-22
20,3228.0,3228.0,3228.0,3228.0,0,2008-07-23
21,3100.0,3100.0,3100.0,3100.0,3200,2008-07-24
22,2987.0,2987.0,2987.0,2987.0,200,2008-07-25
23,2875.0,2875.0,2875.0,2875.0,1600,2008-07-28
24,2762.0,2795.0,2762.0,2762.0,18100,2008-07-29
25,2666.0,2666.0,2666.0,2666.0,3000,2008-07-30
26,2570.0,2570.0,2570.0,2570.0,200,2008-07-31
27,2473.0,2683.0,2489.0,2505.0,34500,2008-08-01
28,2489.0,2635.0,2537.0,2586.0,16100,2008-08-04
29,2634.0,2634.0,2634.0,2634.0,800,2008-08-05
30,2730.0,2730.0,2730.0,2730.0,5200,2008-08-06
31,2827.0,2827.0,2827.0,2827.0,1200,2008-08-07
32,2939.0,2939.0,2939.0,2939.0,3100,2008-08-08
33,3051.0,3051.0,3051.0,3051.0,26600,2008-08-11
34,3164.0,3164.0,3051.0,3164.0,93400,2008-08-12
35,3278.0,3278.0,3278.0,3278.0,2300,2008-08-13
36,3392.0,3392.0,3373.0,3392.0,15200,2008-08-14
37,3525.0,3525.0,3525.0,3525.0,29700,2008-08-15
38,3771.0,3771.0,3278.0,3316.0,58200,2008-08-18
39,3222.0,3299.0,3163.0,3222.0,11100,2008-08-19
40,2937.0,2975.0,2937.0,2937.0,20400,2008-08-20
41,2843.0,3225.0,2931.0,3127.0,8500,2008-08-21
42,3241.0,3298.0,3086.0,3241.0,35800,2008-08-22
43,3316.0,3392.0,3316.0,3392.0,32600,2008-08-25
