,Open,High,Low,Close,Volume,TradingDate
0,8717.0,8717.0,8717.0,8700.0,,2009-06-25
1,9589.0,9589.0,9589.0,9600.0,,2009-06-26
2,10506.0,10506.0,10506.0,10500.0,,2009-06-29
3,11406.0,13830.0,11406.0,11500.0,,2009-06-30
4,8671.0,8671.0,8671.0,8700.0,,2009-07-01
5,7755.0,9070.0,7755.0,7900.0,,2009-07-02
6,7983.0,7983.0,7983.0,7900.0,,2009-07-03
7,9519.0,9519.0,7866.0,8700.0,,2009-07-06
8,7249.0,7341.0,7249.0,7200.0,,2009-07-07
9,6515.0,6515.0,6515.0,6500.0,,2009-07-08
10,6515.0,6515.0,6515.0,6500.0,,2009-07-09
11,6423.0,6423.0,6423.0,6400.0,,2009-07-10
12,7065.0,7772.0,7065.0,7100.0,,2009-07-13
13,7020.0,7020.0,6974.0,7000.0,,2009-07-14
14,7524.0,7524.0,7524.0,7500.0,,2009-07-15
15,6488.0,7890.0,6488.0,6900.0,,2009-07-16
16,7289.0,7289.0,6469.0,6500.0,,2009-07-17
17,6561.0,6561.0,5368.0,6200.0,,2009-07-22
18,7444.0,7444.0,6539.0,6800.0,,2009-07-23
19,6652.0,6652.0,6652.0,6700.0,,2009-07-24
20,6652.0,6652.0,6652.0,6700.0,,2009-07-27
21,6652.0,6652.0,6652.0,6700.0,,2009-07-28
22,6652.0,6652.0,6652.0,6700.0,,2009-07-29
23,6744.0,6744.0,6102.0,6100.0,,2009-07-30
24,6285.0,6285.0,5965.0,6000.0,,2009-07-31
25,6285.0,6285.0,6285.0,6300.0,,2009-08-03
26,6285.0,6285.0,6285.0,6300.0,,2009-08-04
27,5965.0,5965.0,5965.0,6000.0,,2009-08-05
28,6047.0,6682.0,6048.0,6200.0,,2009-08-06
29,5781.0,5781.0,5689.0,5700.0,,2009-08-07
30,5230.0,5597.0,5230.0,5600.0,,2009-08-10
31,5597.0,5597.0,5552.0,5600.0,,2009-08-11
32,5552.0,5552.0,5505.0,5500.0,,2009-08-12
33,5505.0,5505.0,5505.0,5500.0,,2009-08-13
34,5458.0,5458.0,5140.0,5300.0,,2009-08-17
35,4818.0,4818.0,4818.0,4800.0,,2009-08-18
36,5276.0,5276.0,5276.0,5300.0,,2009-08-19
37,5047.0,5093.0,5047.0,5000.0,,2009-08-20
38,5047.0,5047.0,5047.0,5000.0,,2009-08-21
39,5047.0,5047.0,5047.0,5000.0,,2009-08-24
40,4860.0,5346.0,4595.0,4800.0,,2009-08-25
41,5364.0,5364.0,4910.0,5000.0,,2009-08-26
42,5272.0,5272.0,4957.0,5000.0,,2009-08-27
43,5228.0,5467.0,5229.0,5300.0,,2009-08-28
44,5409.0,5738.0,5315.0,5600.0,,2009-08-31
45,5630.0,6203.0,5630.0,6000.0,,2009-09-01
46,6148.0,6240.0,6148.0,6200.0,,2009-09-03
47,6547.0,6547.0,5944.0,6300.0,,2009-09-11
48,6423.0,7387.0,6423.0,6400.0,,2009-09-14
49,7065.0,7065.0,7065.0,7100.0,,2009-09-15
50,6423.0,6423.0,6377.0,7100.0,,2009-09-16
51,7020.0,7020.0,7020.0,7000.0,,2009-09-17
52,6561.0,6561.0,6423.0,6400.0,,2009-09-18
53,6423.0,6423.0,6423.0,6400.0,,2009-09-21
54,6943.0,6990.0,5871.0,6000.0,,2009-09-22
55,6370.0,6370.0,5460.0,5500.0,,2009-09-23
56,5728.0,5728.0,5331.0,5600.0,,2009-09-24
57,6332.0,6332.0,5781.0,5800.0,,2009-09-25
58,5505.0,5505.0,5505.0,5500.0,,2009-09-28
59,5735.0,5735.0,5505.0,5500.0,,2009-09-29
60,5502.0,5502.0,5047.0,5100.0,,2009-09-30
61,5047.0,5047.0,5047.0,5000.0,,2009-10-01
62,5505.0,5505.0,5047.0,5000.0,,2009-10-02
63,5047.0,5047.0,5047.0,5000.0,,2009-10-05
64,4818.0,4818.0,4818.0,4800.0,,2009-10-06
65,5276.0,5276.0,5276.0,5300.0,,2009-10-07
66,5505.0,6006.0,5505.0,5500.0,,2009-10-08
67,5047.0,5047.0,5047.0,5500.0,,2009-10-09
68,5223.0,5650.0,5223.0,5500.0,,2009-10-12
69,5264.0,5264.0,4750.0,5100.0,,2009-10-13
70,5505.0,5505.0,5505.0,5500.0,,2009-10-14
71,5764.0,6516.0,5764.0,6000.0,,2009-10-15
72,5780.0,5780.0,5557.0,5700.0,,2009-10-16
73,6279.0,6819.0,6181.0,6400.0,,2009-10-19
74,6240.0,6377.0,6240.0,6300.0,,2009-10-20
75,6666.0,6666.0,5701.0,6000.0,,2009-10-21
76,6423.0,6423.0,6240.0,6200.0,,2009-10-22
77,6284.0,6284.0,5835.0,6200.0,,2009-10-23
78,6039.0,6039.0,5431.0,5700.0,,2009-10-26
79,6056.0,6056.0,6056.0,5700.0,,2009-10-27
80,6194.0,6285.0,6148.0,6200.0,,2009-10-28
81,6240.0,6240.0,6240.0,6200.0,,2009-10-29
82,5781.0,5781.0,5781.0,5800.0,,2009-10-30
83,5412.0,5647.0,5364.0,5500.0,,2009-11-02
84,5873.0,5873.0,5873.0,5900.0,,2009-11-03
85,5918.0,6011.0,5918.0,6000.0,,2009-11-04
86,5686.0,5686.0,5322.0,5400.0,,2009-11-05
87,5918.0,5918.0,5047.0,5000.0,,2009-11-06
88,5367.0,5552.0,5367.0,5500.0,,2009-11-09
89,5367.0,5506.0,5367.0,5500.0,,2009-11-10
90,5460.0,5460.0,5460.0,5500.0,,2009-11-11
91,5592.0,5592.0,5162.0,5500.0,,2009-11-12
92,5599.0,5599.0,5412.0,5500.0,,2009-11-13
93,5720.0,6537.0,5720.0,5900.0,,2009-11-16
94,5735.0,5735.0,5735.0,5700.0,,2009-11-17
95,5902.0,6590.0,5902.0,6100.0,,2009-11-18
96,5185.0,5185.0,5185.0,5200.0,,2009-11-23
97,5185.0,5185.0,5185.0,5200.0,,2009-11-26
98,6102.0,6102.0,6102.0,6100.0,,2009-11-30
99,6102.0,6102.0,6102.0,6100.0,,2009-12-02
100,6056.0,6056.0,6056.0,6100.0,,2009-12-09
101,6423.0,6423.0,6423.0,6400.0,,2009-12-15
102,5505.0,5505.0,5505.0,5500.0,,2009-12-23
103,5047.0,5047.0,5047.0,5000.0,,2010-01-05
104,4588.0,4588.0,4588.0,4600.0,,2010-01-11
105,4349.0,4349.0,3958.0,4200.0,,2010-01-13
106,4358.0,4358.0,4358.0,4400.0,,2010-01-14
107,6423.0,6423.0,6423.0,6400.0,,2010-01-26
108,6515.0,6515.0,5781.0,5800.0,,2010-01-27
109,4129.0,4129.0,4129.0,4100.0,,2010-02-05
110,4680.0,4680.0,4588.0,4600.0,,2010-03-01
111,4863.0,4863.0,4863.0,4900.0,,2010-03-02
112,4405.0,5047.0,4405.0,4600.0,,2010-03-03
113,4129.0,4129.0,4129.0,4100.0,,2010-03-04
114,4542.0,4542.0,4542.0,4500.0,,2010-03-05
115,4493.0,4853.0,4044.0,4400.0,,2010-03-08
116,5106.0,5106.0,4239.0,4800.0,,2010-03-09
117,5047.0,5047.0,4129.0,4500.0,,2010-03-10
118,4405.0,4405.0,4405.0,4400.0,,2010-03-11
119,4405.0,4405.0,4405.0,4400.0,,2010-03-12
120,4917.0,4917.0,4495.0,4500.0,,2010-03-15
121,4863.0,4863.0,4863.0,4900.0,,2010-03-16
122,5322.0,5322.0,4405.0,4500.0,,2010-03-17
123,4450.0,4450.0,4450.0,4500.0,,2010-03-18
124,4770.0,4770.0,4590.0,4700.0,,2010-03-19
125,4645.0,4645.0,3871.0,4100.0,,2010-03-22
126,5324.0,5324.0,4412.0,4800.0,,2010-03-23
127,3946.0,3946.0,3946.0,3900.0,,2010-03-24
128,3641.0,3641.0,3001.0,3400.0,,2010-03-26
129,4313.0,4313.0,4313.0,4300.0,,2010-03-29
130,4726.0,4726.0,4726.0,4300.0,,2010-03-30
131,4358.0,4358.0,4358.0,4400.0,,2010-03-31
132,4218.0,4218.0,3996.0,4100.0,,2010-04-01
133,4358.0,4358.0,4358.0,4400.0,,2010-04-02
134,4464.0,5336.0,4464.0,4800.0,,2010-04-05
135,4052.0,4921.0,4052.0,4700.0,,2010-04-06
136,4129.0,4129.0,4129.0,4100.0,,2010-04-07
137,3760.0,3946.0,3760.0,3900.0,,2010-04-08
138,3900.0,3900.0,3855.0,3900.0,,2010-04-09
139,4056.0,4826.0,4056.0,4300.0,,2010-04-12
140,3659.0,3659.0,3271.0,3500.0,,2010-04-13
141,3573.0,3573.0,3573.0,3500.0,,2010-04-14
142,3897.0,4175.0,3897.0,4100.0,,2010-04-15
143,4450.0,4450.0,4450.0,4500.0,,2010-04-16
144,4450.0,4450.0,4450.0,4500.0,,2010-04-19
145,4863.0,4863.0,4863.0,4900.0,,2010-04-20
146,4449.0,4634.0,4449.0,4600.0,,2010-04-21
147,4588.0,4588.0,4588.0,4600.0,,2010-04-22
148,4732.0,4732.0,3871.0,4100.0,,2010-04-26
149,4818.0,4818.0,4405.0,4400.0,,2010-04-27
150,4818.0,4818.0,4818.0,4800.0,,2010-04-28
151,5384.0,5384.0,4448.0,4600.0,,2010-04-29
152,4588.0,4588.0,4588.0,4600.0,,2010-05-04
153,5287.0,5287.0,4807.0,5000.0,,2010-05-05
154,5091.0,5322.0,4860.0,5300.0,,2010-05-06
155,5926.0,5926.0,5310.0,5700.0,,2010-05-07
156,6009.0,6010.0,5873.0,5900.0,,2010-05-10
157,5323.0,5368.0,5234.0,5400.0,,2010-05-11
158,4955.0,4955.0,4955.0,5000.0,,2010-05-12
159,4496.0,4496.0,4496.0,4500.0,,2010-05-13
160,4677.0,4955.0,4678.0,4900.0,,2010-05-14
161,4705.0,4874.0,4112.0,4500.0,,2010-05-17
162,4069.0,4874.0,4069.0,4500.0,,2010-05-18
163,4129.0,4129.0,3716.0,4100.0,,2010-05-19
164,4683.0,4683.0,3831.0,4100.0,,2010-05-20
165,4286.0,5104.0,4285.0,4900.0,,2010-05-21
166,4909.0,4909.0,4909.0,4900.0,,2010-05-25
167,4909.0,4909.0,4909.0,4900.0,,2010-05-26
168,5275.0,5274.0,5094.0,5200.0,,2010-05-27
169,6334.0,6334.0,5228.0,5800.0,,2010-05-28
170,5468.0,5468.0,4514.0,4800.0,,2010-05-31
171,4588.0,5597.0,4588.0,4800.0,,2010-06-01
172,4685.0,5671.0,4685.0,5300.0,,2010-06-02
173,4863.0,4910.0,4863.0,4900.0,,2010-06-03
174,5180.0,5180.0,4490.0,4600.0,,2010-06-07
175,4402.0,4726.0,4402.0,4700.0,,2010-06-08
176,5552.0,5552.0,4588.0,5600.0,,2010-06-10
177,5893.0,5893.0,4821.0,5000.0,,2010-06-14
178,4952.0,4951.0,4684.0,4800.0,,2010-06-15
179,4818.0,4818.0,4818.0,4800.0,,2010-06-16
180,4909.0,4909.0,4909.0,4900.0,,2010-06-17
181,5368.0,5368.0,5368.0,5400.0,,2010-06-18
182,5826.0,5919.0,5826.0,5900.0,,2010-06-21
183,5965.0,5965.0,5505.0,5900.0,,2010-06-22
184,6939.0,6939.0,6189.0,6400.0,,2010-06-24
185,6831.0,6831.0,6056.0,6100.0,,2010-06-25
186,6556.0,6556.0,6154.0,6400.0,,2010-06-28
187,6601.0,6601.0,5799.0,6400.0,,2010-06-29
188,5965.0,5965.0,5965.0,6000.0,,2010-06-30
189,6098.0,6656.0,6097.0,6400.0,,2010-07-01
190,6699.0,6928.0,6561.0,6900.0,,2010-07-02
191,7616.0,7616.0,7112.0,7600.0,,2010-07-05
192,8350.0,8350.0,8259.0,8400.0,,2010-07-06
193,9011.0,9011.0,7389.0,7500.0,,2010-07-07
194,7513.0,7513.0,6793.0,6900.0,,2010-07-08
195,7155.0,7801.0,7155.0,7600.0,,2010-07-09
196,7706.0,8406.0,7705.0,7800.0,,2010-07-12
197,7938.0,8077.0,7477.0,7800.0,,2010-07-13
198,7481.0,8190.0,6995.0,7600.0,,2010-07-14
199,7615.0,8078.0,7431.0,7700.0,,2010-07-15
200,8237.0,8237.0,7163.0,7400.0,,2010-07-19
201,7292.0,7382.0,6977.0,7200.0,,2010-07-20
202,6929.0,7109.0,6839.0,7000.0,,2010-07-21
203,6838.0,6838.0,6468.0,6600.0,,2010-07-22
204,6971.0,7301.0,6924.0,7100.0,,2010-07-23
205,7293.0,7293.0,6928.0,7000.0,,2010-07-26
206,7020.0,7020.0,7020.0,7000.0,,2010-07-27
207,6834.0,6834.0,6516.0,6600.0,,2010-07-28
208,6515.0,6882.0,6515.0,6700.0,,2010-07-29
209,6515.0,6790.0,6423.0,6700.0,,2010-07-30
210,7052.0,7052.0,6288.0,6400.0,,2010-08-02
211,5642.0,6049.0,5507.0,5600.0,0.0,2010-08-04
212,5417.0,5507.0,5417.0,5600.0,,2010-08-05
213,5597.0,5781.0,5596.0,5700.0,0.0,2010-08-06
214,6381.0,6381.0,6099.0,6200.0,,2010-08-09
215,5735.0,5735.0,5505.0,5600.0,0.0,2010-08-10
216,5093.0,5552.0,5093.0,5200.0,,2010-08-11
217,5276.0,5276.0,5001.0,5100.0,0.0,2010-08-12
