,Open,High,Low,Close,Volume,TradingDate
0,21898.0,21898.0,21898.0,21900.0,207100,2015-04-16
1,24004.0,24074.0,22460.0,23000.0,513900,2015-04-17
2,25197.0,25267.0,22460.0,23200.0,444100,2015-04-20
3,23162.0,23162.0,23162.0,23200.0,68400,2015-04-21
4,22530.0,23091.0,21126.0,22900.0,102000,2015-04-22
5,22460.0,22460.0,21196.0,22200.0,56200,2015-04-23
6,23091.0,23091.0,21337.0,23000.0,54300,2015-04-24
7,21407.0,22390.0,21267.0,22300.0,53400,2015-04-27
8,21477.0,21968.0,21056.0,21800.0,42900,2015-05-04
9,21407.0,21407.0,21337.0,21400.0,300,2015-05-05
10,21618.0,21618.0,19301.0,21400.0,34400,2015-05-06
11,21828.0,21828.0,19652.0,21700.0,32500,2015-05-07
12,19863.0,21337.0,19652.0,21000.0,40200,2015-05-08
13,21126.0,21547.0,19652.0,21400.0,21300,2015-05-11
14,19442.0,19933.0,19372.0,19900.0,28900,2015-05-12
15,19652.0,20986.0,19652.0,20800.0,23700,2015-05-13
16,19021.0,19793.0,19021.0,19800.0,5100,2015-05-14
17,19933.0,20003.0,18249.0,19200.0,8200,2015-05-15
18,18950.0,19161.0,18950.0,19100.0,10000,2015-05-18
19,18950.0,19091.0,18950.0,19000.0,7600,2015-05-19
20,18880.0,19372.0,18529.0,19200.0,18900,2015-05-20
21,18319.0,18810.0,18319.0,18800.0,8100,2015-05-21
22,18810.0,18880.0,18740.0,18800.0,14700,2015-05-22
23,18740.0,19231.0,18249.0,18800.0,20600,2015-05-25
24,18950.0,20284.0,17617.0,20100.0,9200,2015-05-26
25,18389.0,19091.0,18389.0,18800.0,9400,2015-05-27
26,17898.0,18880.0,17898.0,18800.0,10500,2015-05-28
27,18950.0,20144.0,18950.0,20000.0,13000,2015-05-29
28,20214.0,20284.0,18950.0,20100.0,26500,2015-06-01
29,18950.0,19442.0,18950.0,19300.0,16600,2015-06-02
30,18950.0,19933.0,18950.0,19700.0,32300,2015-06-03
31,19863.0,19863.0,18670.0,19600.0,36400,2015-06-04
32,20073.0,20073.0,19652.0,20000.0,24000,2015-06-05
33,19301.0,19582.0,18599.0,19400.0,19000,2015-06-08
34,19442.0,19442.0,18249.0,18900.0,18200,2015-06-09
35,19231.0,19231.0,18319.0,19200.0,47100,2015-06-10
36,19231.0,19231.0,18249.0,19000.0,21000,2015-06-11
37,19021.0,19021.0,18670.0,19000.0,25500,2015-06-12
38,18319.0,18810.0,18249.0,18800.0,28200,2015-06-15
39,18810.0,19091.0,18810.0,19100.0,13000,2015-06-16
40,19091.0,19091.0,19091.0,19100.0,0,2015-06-17
41,18670.0,18810.0,18670.0,18800.0,26300,2015-06-18
42,18670.0,18880.0,18670.0,18900.0,42300,2015-06-19
43,18810.0,19231.0,18319.0,19200.0,19700,2015-06-22
44,18880.0,18880.0,18880.0,18900.0,0,2015-06-23
45,18249.0,19021.0,18249.0,18900.0,30500,2015-06-24
46,19021.0,19021.0,19021.0,19000.0,22000,2015-06-25
47,18950.0,18950.0,18950.0,19000.0,5000,2015-06-26
48,18740.0,18740.0,18249.0,18500.0,2200,2015-06-29
49,18880.0,18880.0,16775.0,18700.0,15500,2015-06-30
50,18880.0,18880.0,18740.0,18900.0,19600,2015-07-01
51,18810.0,19582.0,18599.0,19400.0,19400,2015-07-02
52,19442.0,19442.0,19442.0,19400.0,16000,2015-07-03
53,18249.0,18880.0,18249.0,18800.0,16800,2015-07-06
54,19372.0,19372.0,18950.0,19100.0,28500,2015-07-07
55,18950.0,18950.0,18950.0,19000.0,0,2015-07-08
56,19091.0,19161.0,19091.0,19200.0,8200,2015-07-09
57,18950.0,18950.0,17547.0,18600.0,19300,2015-07-10
58,18880.0,18950.0,18249.0,18800.0,21000,2015-07-13
59,19231.0,19231.0,18249.0,19100.0,18600,2015-07-14
60,18319.0,18880.0,18249.0,18700.0,15900,2015-07-15
61,18810.0,18950.0,18740.0,18800.0,43000,2015-07-16
62,20003.0,21618.0,18950.0,19700.0,26500,2015-07-17
