,Open,High,Low,Close,Volume,TradingDate
0,10255.0,14843.0,13223.0,13682.0,2800,2006-12-25
1,9445.0,13682.0,13682.0,13682.0,0,2006-12-26
2,8906.0,13316.0,12394.0,12684.0,4000,2006-12-27
3,8906.0,12684.0,12684.0,12684.0,0,2006-12-28
4,8906.0,12684.0,12684.0,12684.0,0,2006-12-29
5,8906.0,12684.0,12684.0,12684.0,0,2007-01-02
6,8906.0,12684.0,12684.0,12684.0,0,2007-01-03
7,8906.0,12953.0,12953.0,12953.0,1400,2007-01-04
8,8906.0,12953.0,12953.0,12953.0,0,2007-01-05
9,8906.0,12953.0,12953.0,12953.0,0,2007-01-08
10,8906.0,12844.0,12577.0,12684.0,3500,2007-01-09
11,8906.0,12953.0,12953.0,12953.0,3000,2007-01-10
12,8906.0,12981.0,12737.0,12926.0,2200,2007-01-11
13,8906.0,12980.0,12980.0,12980.0,2700,2007-01-12
14,8906.0,12954.0,12845.0,12926.0,2300,2007-01-15
15,8906.0,13088.0,12899.0,13007.0,4300,2007-01-16
16,9175.0,13223.0,13223.0,13223.0,100,2007-01-17
17,9175.0,13602.0,13466.0,13493.0,2000,2007-01-18
18,9445.0,13763.0,13763.0,13763.0,500,2007-01-19
19,9715.0,14114.0,13979.0,13763.0,3900,2007-01-22
20,9715.0,14194.0,13926.0,14060.0,6200,2007-01-23
21,9985.0,14411.0,14141.0,14303.0,3400,2007-01-24
22,10255.0,14899.0,14626.0,14708.0,1300,2007-01-25
23,9985.0,14708.0,14708.0,14708.0,0,2007-01-26
24,10255.0,14843.0,14843.0,14843.0,100,2007-01-29
25,11334.0,16327.0,16327.0,16327.0,400,2007-01-30
26,12414.0,17946.0,17946.0,17946.0,14100,2007-01-31
27,13763.0,19727.0,19727.0,19727.0,200,2007-02-01
28,15112.0,21697.0,21697.0,21697.0,1200,2007-02-02
29,16462.0,23856.0,23856.0,23856.0,500,2007-02-05
30,18351.0,26231.0,26231.0,26231.0,6200,2007-02-06
31,19700.0,28984.0,28469.0,28848.0,11800,2007-02-07
32,21859.0,31574.0,31574.0,31574.0,2200,2007-02-08
33,21859.0,31574.0,31574.0,31574.0,3000,2007-02-09
34,21859.0,29818.0,26837.0,28417.0,2000,2007-02-12
35,20240.0,28475.0,26893.0,27526.0,5000,2007-02-13
36,19700.0,29066.0,28386.0,28848.0,300,2007-02-14
37,21319.0,30764.0,30764.0,30764.0,200,2007-02-15
38,22129.0,34174.0,32158.0,33193.0,5300,2007-02-26
39,25097.0,36107.0,34516.0,35082.0,1300,2007-02-27
40,26717.0,37353.0,33934.0,35082.0,600,2007-02-28
41,23748.0,34273.0,34273.0,34273.0,500,2007-03-01
42,23748.0,37801.0,34788.0,34273.0,2000,2007-03-02
43,26177.0,37527.0,35651.0,35892.0,800,2007-03-05
44,24288.0,36579.0,35754.0,35892.0,1200,2007-03-06
45,24288.0,34947.0,34947.0,34947.0,500,2007-03-07
46,22399.0,32384.0,32357.0,32384.0,1600,2007-03-08
47,22129.0,31735.0,31466.0,31574.0,700,2007-03-09
48,21859.0,30646.0,27686.0,28525.0,1100,2007-03-12
49,19700.0,27441.0,25637.0,26474.0,2200,2007-03-13
50,18351.0,27583.0,26684.0,26474.0,4200,2007-03-14
51,20780.0,30810.0,26305.0,27256.0,3100,2007-03-15
52,19970.0,28902.0,28902.0,28902.0,1000,2007-03-16
53,21319.0,30495.0,30495.0,30495.0,1900,2007-03-19
54,19160.0,27526.0,27526.0,27526.0,400,2007-03-20
55,21049.0,28798.0,26950.0,28336.0,2400,2007-03-21
56,19430.0,26928.0,25737.0,26824.0,2200,2007-03-22
57,18621.0,27213.0,23729.0,25178.0,5600,2007-03-23
58,20510.0,27830.0,25555.0,25178.0,5000,2007-03-26
59,17811.0,25664.0,25664.0,25178.0,2300,2007-03-27
60,17001.0,24288.0,24288.0,24288.0,500,2007-03-28
61,18621.0,26717.0,26717.0,26717.0,200,2007-03-29
62,20510.0,27909.0,25628.0,26717.0,2200,2007-03-30
63,19700.0,26717.0,26717.0,26717.0,0,2007-04-02
64,19700.0,26717.0,26717.0,26717.0,0,2007-04-03
65,17811.0,25583.0,25583.0,25583.0,400,2007-04-04
66,17811.0,25583.0,25583.0,25583.0,0,2007-04-05
67,17001.0,24288.0,24288.0,24288.0,1000,2007-04-06
68,17001.0,24288.0,24288.0,24288.0,300,2007-04-09
69,17001.0,24288.0,24288.0,24288.0,0,2007-04-10
70,17001.0,24288.0,24288.0,24288.0,0,2007-04-11
71,17001.0,27609.0,25099.0,26717.0,2600,2007-04-12
72,18621.0,26071.0,24507.0,25367.0,900,2007-04-13
73,17811.0,25411.0,24074.0,24288.0,600,2007-04-16
74,16732.0,23936.0,23667.0,23748.0,700,2007-04-17
75,14843.0,21454.0,21454.0,21454.0,1100,2007-04-18
76,15112.0,22239.0,21696.0,21859.0,2900,2007-04-19
77,15112.0,21859.0,21859.0,21859.0,0,2007-04-20
78,15652.0,23858.0,22631.0,23613.0,1000,2007-04-23
79,15112.0,21235.0,20704.0,21049.0,1500,2007-04-24
80,15112.0,21589.0,21589.0,21589.0,100,2007-04-25
81,15112.0,21589.0,21589.0,21589.0,0,2007-05-02
82,15382.0,22129.0,22129.0,22129.0,600,2007-05-03
83,15382.0,22129.0,22129.0,22129.0,0,2007-05-04
84,15382.0,22129.0,22129.0,22129.0,0,2007-05-07
85,15112.0,20937.0,20151.0,20780.0,4000,2007-05-08
86,15112.0,22541.0,21991.0,22129.0,400,2007-05-09
87,14573.0,21049.0,21049.0,21049.0,200,2007-05-10
88,14573.0,20780.0,20780.0,20780.0,100,2007-05-11
89,14573.0,20780.0,20780.0,20780.0,0,2007-05-14
90,14573.0,20780.0,20780.0,20780.0,0,2007-05-15
91,14573.0,20780.0,20780.0,20780.0,0,2007-05-16
92,14843.0,21319.0,21319.0,21319.0,100,2007-05-17
93,14573.0,20914.0,20780.0,20780.0,1100,2007-05-18
