,Open,High,Low,Close,Volume,TradingDate
0,2542.0,2542.0,2542.0,2542.0,30,2011-07-28
1,2415.0,2415.0,2415.0,2415.0,10,2011-07-29
2,2300.0,2300.0,2300.0,2300.0,10,2011-08-01
3,2186.0,2186.0,2186.0,2186.0,10,2011-08-02
4,2084.0,2084.0,2084.0,2084.0,10,2011-08-03
5,1983.0,1983.0,1983.0,1983.0,2990,2011-08-04
6,1894.0,1894.0,1894.0,1894.0,10,2011-08-05
7,1805.0,1805.0,1805.0,1805.0,1200,2011-08-08
8,1716.0,1716.0,1716.0,1716.0,60,2011-08-09
9,1640.0,1640.0,1640.0,1640.0,50,2011-08-10
10,1563.0,1563.0,1563.0,1563.0,110,2011-08-11
11,1500.0,1500.0,1487.0,1487.0,820,2011-08-12
12,1423.0,1551.0,1423.0,1423.0,3550,2011-08-15
13,1360.0,1423.0,1360.0,1360.0,14710,2011-08-16
14,1296.0,1296.0,1296.0,1296.0,15970,2011-08-17
15,1242.0,1242.0,1242.0,1242.0,6930,2011-08-18
16,1296.0,1296.0,1188.0,1188.0,35040,2011-08-19
17,1175.0,1242.0,1175.0,1215.0,55030,2011-08-22
18,1269.0,1269.0,1215.0,1215.0,33840,2011-08-23
19,1161.0,1269.0,1161.0,1215.0,1680,2011-08-24
20,1269.0,1269.0,1215.0,1215.0,10040,2011-08-25
21,1269.0,1269.0,1229.0,1242.0,12660,2011-08-26
22,1296.0,1296.0,1296.0,1296.0,10500,2011-08-29
23,1350.0,1350.0,1350.0,1350.0,10,2011-08-30
24,1418.0,1418.0,1418.0,1418.0,2020,2011-08-31
25,1485.0,1485.0,1485.0,1485.0,130,2011-09-01
26,1553.0,1553.0,1485.0,1539.0,870,2011-09-05
27,1485.0,1485.0,1472.0,1472.0,870,2011-09-06
28,1404.0,1539.0,1404.0,1418.0,7270,2011-09-07
29,1485.0,1485.0,1485.0,1485.0,12020,2011-09-08
30,1539.0,1553.0,1485.0,1485.0,5590,2011-09-09
31,1485.0,1485.0,1485.0,1485.0,10670,2011-09-12
32,1499.0,1499.0,1458.0,1458.0,8860,2011-09-13
33,1458.0,1512.0,1404.0,1512.0,20410,2011-09-14
34,1445.0,1485.0,1445.0,1485.0,7670,2011-09-15
35,1485.0,1485.0,1418.0,1418.0,19040,2011-09-16
36,1418.0,1418.0,1418.0,1418.0,8630,2011-09-19
37,1364.0,1418.0,1364.0,1364.0,10760,2011-09-20
38,1418.0,1431.0,1391.0,1391.0,6510,2011-09-21
39,1391.0,1431.0,1391.0,1431.0,2310,2011-09-22
40,1418.0,1472.0,1377.0,1377.0,13020,2011-09-23
41,1377.0,1431.0,1377.0,1431.0,840,2011-09-26
42,1418.0,1418.0,1418.0,1418.0,50,2011-09-27
43,1364.0,1364.0,1364.0,1364.0,1010,2011-09-28
44,1323.0,1431.0,1296.0,1296.0,1870,2011-09-29
45,1296.0,1350.0,1242.0,1242.0,1130,2011-09-30
46,1188.0,1188.0,1188.0,1188.0,1020,2011-10-03
47,1188.0,1242.0,1161.0,1242.0,2340,2011-10-04
48,1296.0,1296.0,1296.0,1296.0,24460,2011-10-05
49,1350.0,1350.0,1350.0,1350.0,1560,2011-10-06
50,1418.0,1418.0,1418.0,1418.0,6790,2011-10-07
51,1485.0,1485.0,1485.0,1485.0,11380,2011-10-10
52,1553.0,1553.0,1553.0,1553.0,46550,2011-10-11
53,1620.0,1620.0,1485.0,1553.0,17730,2011-10-12
54,1553.0,1553.0,1553.0,1553.0,1800,2011-10-13
55,1485.0,1620.0,1485.0,1620.0,28670,2011-10-14
56,1580.0,1580.0,1539.0,1539.0,3430,2011-10-17
57,1472.0,1553.0,1472.0,1485.0,306060,2011-10-18
58,1485.0,1485.0,1485.0,1485.0,10,2011-10-19
59,1418.0,1485.0,1418.0,1485.0,3010,2011-10-20
60,1485.0,1485.0,1485.0,1485.0,2000,2011-10-21
61,1485.0,1485.0,1485.0,1485.0,0,2011-10-24
62,1431.0,1431.0,1418.0,1418.0,21360,2011-10-25
