,Open,High,Low,Close,Volume,TradingDate
0,8300.0,14111.0,12451.0,12741.0,9000,2006-12-15
1,9130.0,13986.0,12451.0,12741.0,6500,2006-12-18
2,8300.0,13350.0,12611.0,12741.0,5000,2006-12-19
3,7470.0,11832.0,11198.0,11621.0,3000,2006-12-20
4,7885.0,11451.0,11042.0,11206.0,900,2006-12-21
5,7055.0,10791.0,10791.0,10791.0,3300,2006-12-22
6,6640.0,9753.0,9711.0,9711.0,8200,2006-12-25
7,5810.0,8757.0,8757.0,8757.0,11900,2006-12-26
8,6225.0,9628.0,9628.0,9628.0,300,2006-12-27
9,6225.0,10243.0,9424.0,9628.0,1000,2006-12-28
10,6640.0,9874.0,9471.0,9753.0,4000,2006-12-29
11,7055.0,9753.0,9675.0,9753.0,2100,2007-01-02
12,10791.0,10791.0,10791.0,10791.0,1500,2007-01-03
13,11870.0,12038.0,11154.0,11870.0,3100,2007-01-04
14,8300.0,12451.0,12036.0,12285.0,2700,2007-01-05
15,8715.0,12866.0,11621.0,12534.0,2200,2007-01-08
16,7885.0,11662.0,11662.0,11662.0,1000,2007-01-09
17,7885.0,11662.0,11662.0,11662.0,0,2007-01-10
18,10791.0,10791.0,10749.0,10791.0,1000,2007-01-11
19,7055.0,10749.0,10749.0,10791.0,0,2007-01-12
20,7055.0,12051.0,10760.0,11621.0,1500,2007-01-15
21,7885.0,11783.0,11377.0,11621.0,4100,2007-01-16
22,7885.0,12641.0,11272.0,12077.0,13600,2007-01-17
23,8300.0,14348.0,13000.0,13696.0,27300,2007-01-18
24,9545.0,14360.0,14360.0,14360.0,8700,2007-01-19
25,10376.0,14360.0,14360.0,14360.0,23300,2007-01-22
26,11206.0,16614.0,15303.0,15978.0,43600,2007-01-23
27,16559.0,17475.0,16018.0,16559.0,7900,2007-01-24
28,11206.0,16021.0,14379.0,14899.0,3400,2007-01-25
29,9545.0,14482.0,13862.0,13903.0,5800,2007-01-26
30,9130.0,15127.0,14222.0,14567.0,13900,2007-01-29
31,10376.0,15397.0,15397.0,15397.0,11200,2007-01-30
32,11206.0,17058.0,16724.0,16933.0,20100,2007-01-31
33,11621.0,16967.0,16239.0,16684.0,4100,2007-02-01
34,11206.0,17049.0,16275.0,16601.0,15700,2007-02-02
35,11206.0,17758.0,16312.0,16725.0,8900,2007-02-05
36,11621.0,17031.0,15703.0,16186.0,10700,2007-02-06
37,11206.0,16243.0,14945.0,15771.0,8400,2007-02-07
38,11206.0,16771.0,15853.0,15978.0,14900,2007-02-08
39,10791.0,15722.0,14993.0,15439.0,7100,2007-02-09
40,11206.0,16806.0,16396.0,16601.0,1000,2007-02-12
41,10791.0,17147.0,16512.0,16808.0,19200,2007-02-13
42,10791.0,17832.0,16543.0,17016.0,2800,2007-02-14
43,11621.0,18306.0,17464.0,18053.0,11200,2007-02-15
44,12866.0,20016.0,19123.0,19506.0,5800,2007-02-26
45,12866.0,20925.0,19251.0,19921.0,9500,2007-02-27
46,14111.0,20820.0,19368.0,20336.0,21100,2007-02-28
47,14111.0,21668.0,21205.0,21374.0,18900,2007-03-01
48,15356.0,21724.0,20050.0,21374.0,16800,2007-03-02
49,16601.0,25026.0,25026.0,25026.0,7400,2007-03-05
50,18261.0,27516.0,27516.0,27516.0,10800,2007-03-06
51,20336.0,30721.0,27940.0,30089.0,14000,2007-03-07
52,21581.0,32915.0,30818.0,32579.0,18500,2007-03-08
53,22826.0,34244.0,32574.0,33451.0,11300,2007-03-09
54,24486.0,36295.0,32958.0,33658.0,22400,2007-03-12
55,22411.0,33481.0,30051.0,32787.0,9000,2007-03-13
56,21166.0,34606.0,32077.0,32787.0,5400,2007-03-14
57,19921.0,29266.0,27071.0,27640.0,5400,2007-03-15
58,18676.0,31379.0,28023.0,31044.0,14900,2007-03-16
59,21581.0,33490.0,32091.0,33202.0,14600,2007-03-19
60,22826.0,35214.0,33166.0,33617.0,15700,2007-03-20
61,22826.0,34074.0,32412.0,33202.0,3200,2007-03-21
62,22826.0,33586.0,31562.0,32372.0,4500,2007-03-22
63,22411.0,31756.0,28797.0,30296.0,5800,2007-03-23
64,21166.0,30941.0,28202.0,30296.0,7000,2007-03-26
65,19091.0,30960.0,29943.0,30296.0,1600,2007-03-27
66,17016.0,31044.0,28126.0,28263.0,5000,2007-03-28
67,17431.0,28556.0,26379.0,28221.0,8400,2007-03-29
68,19091.0,29506.0,27408.0,28221.0,2100,2007-03-30
69,17846.0,26355.0,24085.0,24652.0,1900,2007-04-02
70,16186.0,23987.0,23573.0,23656.0,2200,2007-04-03
71,16186.0,25030.0,24399.0,24694.0,6000,2007-04-04
72,16601.0,24987.0,23404.0,24279.0,4600,2007-04-05
73,15771.0,23282.0,23158.0,23241.0,2200,2007-04-06
74,15771.0,23141.0,21930.0,22536.0,11800,2007-04-09
75,15356.0,22739.0,21498.0,21581.0,2100,2007-04-10
76,13696.0,20751.0,20751.0,20751.0,9700,2007-04-11
77,13281.0,20128.0,20128.0,20128.0,100,2007-04-12
78,12866.0,20918.0,19663.0,20751.0,4900,2007-04-13
79,12451.0,18593.0,18551.0,18551.0,1600,2007-04-16
80,11206.0,16808.0,16767.0,16767.0,2600,2007-04-17
81,12451.0,18385.0,18385.0,18385.0,2700,2007-04-18
82,13281.0,20253.0,19546.0,20211.0,10000,2007-04-19
83,12451.0,21735.0,19678.0,20170.0,900,2007-04-20
84,11206.0,16850.0,16850.0,16850.0,2000,2007-04-23
85,12451.0,18510.0,18510.0,18510.0,200,2007-04-24
86,12866.0,19132.0,19091.0,19091.0,1300,2007-04-25
87,13281.0,20128.0,20128.0,20128.0,100,2007-05-02
88,12036.0,18261.0,18261.0,18261.0,500,2007-05-03
89,12866.0,18667.0,17855.0,18261.0,500,2007-05-04
90,20544.0,20544.0,20544.0,20544.0,100,2007-05-07
91,14526.0,21184.0,19554.0,19921.0,7500,2007-05-08
92,13696.0,20615.0,19594.0,19921.0,5400,2007-05-09
93,14111.0,21166.0,21166.0,21166.0,200,2007-05-10
94,14111.0,21166.0,21166.0,21166.0,0,2007-05-11
95,13696.0,20378.0,19962.0,20128.0,2700,2007-05-14
96,13281.0,20168.0,19551.0,19921.0,2500,2007-05-15
97,13281.0,19753.0,19341.0,19506.0,3900,2007-05-16
98,13281.0,19921.0,19921.0,19921.0,1100,2007-05-17
99,20211.0,20667.0,20087.0,20211.0,2700,2007-05-18
100,13696.0,22673.0,21150.0,21996.0,6200,2007-05-21
101,15771.0,23864.0,22988.0,23739.0,6300,2007-05-22
102,17431.0,25102.0,24098.0,24901.0,14600,2007-05-23
103,16186.0,25316.0,23158.0,23864.0,4600,2007-05-24
104,15771.0,25767.0,22761.0,24694.0,8400,2007-05-25
105,17431.0,26229.0,26229.0,26229.0,6100,2007-05-28
106,19091.0,28844.0,28844.0,28844.0,27100,2007-05-29
107,21166.0,31438.0,27159.0,29051.0,34900,2007-05-30
108,19506.0,29227.0,26722.0,27682.0,12800,2007-05-31
109,17431.0,30202.0,27221.0,28387.0,10500,2007-06-01
110,16186.0,26107.0,23418.0,25316.0,4900,2007-06-04
111,17016.0,25439.0,24405.0,24901.0,7800,2007-06-05
112,17016.0,17016.0,16933.0,17016.0,1700,2007-06-06
113,17016.0,17473.0,17057.0,17265.0,3000,2007-06-07
114,17431.0,17346.0,16933.0,17016.0,5500,2007-06-08
115,17016.0,16806.0,16396.0,16601.0,200,2007-06-11
116,17016.0,16808.0,16601.0,16642.0,3700,2007-06-12
117,16601.0,16347.0,15775.0,16020.0,2800,2007-06-13
118,16601.0,16433.0,16104.0,16269.0,200,2007-06-14
119,16601.0,16642.0,16559.0,16601.0,900,2007-06-15
120,18261.0,18083.0,15688.0,15771.0,2500,2007-06-18
121,15771.0,15688.0,15688.0,15771.0,0,2007-06-19
122,15771.0,15688.0,15688.0,15771.0,0,2007-06-20
123,14526.0,14526.0,14526.0,14526.0,100,2007-06-21
124,15771.0,15978.0,15729.0,15771.0,3400,2007-06-22
125,16186.0,16227.0,16020.0,16061.0,700,2007-06-25
126,16186.0,16020.0,16020.0,16061.0,0,2007-06-26
127,15771.0,15771.0,15771.0,15563.0,1000,2007-06-27
128,15771.0,15042.0,15042.0,15563.0,0,2007-06-28
129,14111.0,14111.0,14111.0,14028.0,2400,2007-06-29
130,13696.0,13696.0,12866.0,12658.0,4800,2007-07-02
131,12036.0,12036.0,12036.0,12036.0,2100,2007-07-03
132,12866.0,13281.0,12866.0,13239.0,800,2007-07-04
133,14526.0,14526.0,13696.0,14443.0,2700,2007-07-05
134,14526.0,14526.0,14526.0,14526.0,500,2007-07-06
135,13696.0,14111.0,13281.0,13281.0,2100,2007-07-09
136,14526.0,14526.0,14111.0,14069.0,800,2007-07-10
137,14526.0,14526.0,14526.0,14401.0,0,2007-07-11
138,14526.0,14526.0,14526.0,14401.0,0,2007-07-12
139,13281.0,13281.0,13281.0,13281.0,2000,2007-07-13
140,12866.0,13281.0,12866.0,12990.0,2400,2007-07-16
141,13281.0,13696.0,13281.0,13073.0,1200,2007-07-17
142,13281.0,13281.0,13281.0,13198.0,0,2007-07-18
143,12866.0,12866.0,12866.0,12990.0,200,2007-07-19
144,12866.0,12866.0,12866.0,12990.0,0,2007-07-20
145,12866.0,12866.0,12866.0,12990.0,100,2007-07-23
146,12866.0,12866.0,12866.0,12990.0,0,2007-07-24
147,12866.0,12866.0,12866.0,12990.0,0,2007-07-25
148,13281.0,13281.0,13281.0,13073.0,200,2007-07-26
149,12866.0,12866.0,12866.0,12866.0,1000,2007-07-27
150,12866.0,12866.0,12866.0,12866.0,0,2007-07-30
151,12866.0,12866.0,12866.0,12866.0,0,2007-07-31
152,14111.0,14111.0,14111.0,14152.0,100,2007-08-01
153,12866.0,12866.0,12866.0,12741.0,100,2007-08-02
154,11621.0,11621.0,11621.0,11621.0,1000,2007-08-03
155,11621.0,11621.0,11621.0,11621.0,0,2007-08-06
156,12036.0,12036.0,12036.0,11828.0,600,2007-08-07
157,12036.0,12036.0,12036.0,11828.0,0,2007-08-08
158,12036.0,12036.0,12036.0,11828.0,0,2007-08-09
159,12036.0,12036.0,12036.0,12036.0,100,2007-08-10
160,12036.0,12036.0,12036.0,11828.0,600,2007-08-13
161,10791.0,10791.0,10791.0,10666.0,100,2007-08-14
162,11621.0,11621.0,11621.0,11662.0,1100,2007-08-15
163,11621.0,11621.0,11621.0,11662.0,0,2007-08-16
164,10791.0,12036.0,10791.0,11828.0,1600,2007-08-17
165,12036.0,12036.0,12036.0,12036.0,100,2007-08-20
166,12036.0,12036.0,12036.0,12036.0,0,2007-08-21
167,12036.0,12036.0,12036.0,12036.0,0,2007-08-22
168,11206.0,11206.0,11206.0,11206.0,100,2007-08-23
169,10791.0,10791.0,10791.0,10791.0,200,2007-08-24
170,11206.0,11206.0,11206.0,10998.0,1000,2007-08-27
171,11621.0,11621.0,11621.0,11621.0,100,2007-08-28
172,11206.0,11206.0,11206.0,11206.0,800,2007-08-29
173,11206.0,11206.0,11206.0,10998.0,100,2007-08-30
174,11206.0,11206.0,11206.0,10998.0,0,2007-08-31
175,11621.0,11621.0,11621.0,11413.0,100,2007-09-04
176,11206.0,11621.0,11206.0,11413.0,700,2007-09-05
177,11621.0,11621.0,11621.0,11704.0,400,2007-09-06
178,11621.0,11621.0,11206.0,11330.0,3900,2007-09-07
179,11621.0,11701.0,11331.0,11455.0,3700,2007-09-10
180,12451.0,12451.0,12451.0,12575.0,1600,2007-09-11
181,13696.0,13875.0,12807.0,13405.0,2300,2007-09-12
182,13281.0,12892.0,12049.0,12451.0,2500,2007-09-13
183,12866.0,12775.0,12167.0,12451.0,4900,2007-09-14
184,12451.0,12451.0,12409.0,12451.0,3400,2007-09-17
185,12451.0,13294.0,12823.0,12866.0,3100,2007-09-18
186,13281.0,13961.0,13316.0,13488.0,3600,2007-09-19
187,13696.0,13322.0,13117.0,13281.0,4200,2007-09-20
188,13696.0,13363.0,13157.0,13281.0,1500,2007-09-21
189,13281.0,13281.0,13281.0,13281.0,1000,2007-09-24
190,13281.0,13949.0,13527.0,13696.0,7000,2007-09-25
191,14111.0,14529.0,14108.0,14318.0,7700,2007-09-26
192,14111.0,13494.0,13293.0,13696.0,3400,2007-09-27
193,14111.0,15636.0,14550.0,14941.0,4700,2007-09-28
194,15605.0,15688.0,14318.0,15605.0,3500,2007-10-01
195,16186.0,16587.0,15664.0,16186.0,19000,2007-10-02
196,17016.0,17264.0,16560.0,17016.0,12000,2007-10-03
197,17348.0,17638.0,17099.0,17348.0,9700,2007-10-04
198,17099.0,17431.0,16601.0,17099.0,5700,2007-10-05
199,15895.0,16393.0,15397.0,15895.0,9100,2007-10-08
200,15895.0,16186.0,15356.0,15895.0,14100,2007-10-09
201,16020.0,16306.0,15773.0,15978.0,13300,2007-10-10
202,16144.0,16601.0,16144.0,16310.0,13000,2007-10-11
203,16601.0,16808.0,16393.0,16601.0,5600,2007-10-12
204,17348.0,18095.0,17016.0,17348.0,15100,2007-10-15
205,18634.0,19217.0,18798.0,19049.0,13600,2007-10-16
206,19506.0,20500.0,19270.0,20336.0,51600,2007-10-17
207,19713.0,21166.0,18883.0,19713.0,16100,2007-10-18
208,19506.0,20915.0,18637.0,20004.0,37000,2007-10-19
209,20460.0,20995.0,19760.0,20336.0,34500,2007-10-22
210,20544.0,20460.0,20253.0,20336.0,6700,2007-10-23
211,20377.0,20710.0,20251.0,20585.0,22700,2007-10-24
212,21581.0,22494.0,21581.0,22494.0,56000,2007-10-25
213,24735.0,24735.0,24735.0,24735.0,55900,2007-10-26
214,27184.0,27184.0,27184.0,27184.0,72200,2007-10-29
215,29881.0,29253.0,23971.0,25109.0,29700,2007-10-30
216,24901.0,25457.0,22870.0,23117.0,15800,2007-10-31
217,23075.0,26330.0,23650.0,25607.0,29400,2007-11-01
218,24984.0,25970.0,23497.0,24486.0,20700,2007-11-02
219,24403.0,24360.0,22868.0,23241.0,18200,2007-11-05
220,21996.0,23292.0,22445.0,22826.0,12000,2007-11-06
221,23034.0,24235.0,22720.0,24071.0,26600,2007-11-07
222,24486.0,25355.0,24197.0,24486.0,25200,2007-11-08
223,23822.0,24486.0,23241.0,23822.0,16600,2007-11-09
224,23656.0,25114.0,23858.0,24486.0,25200,2007-11-12
225,23656.0,23478.0,21707.0,21872.0,6500,2007-11-13
226,19921.0,25098.0,20629.0,24196.0,5300,2007-11-14
227,23573.0,22966.0,21430.0,21996.0,1400,2007-11-15
228,22328.0,22202.0,21832.0,22038.0,1500,2007-11-16
229,22826.0,24032.0,22987.0,23656.0,9500,2007-11-19
230,24071.0,22622.0,20675.0,22038.0,2600,2007-11-20
231,23490.0,24071.0,22826.0,23241.0,7100,2007-11-21
232,23117.0,23988.0,22826.0,23117.0,10500,2007-11-22
233,21996.0,22206.0,21410.0,21996.0,400,2007-11-23
234,21623.0,21623.0,21623.0,21623.0,800,2007-11-26
235,21789.0,22453.0,21830.0,21996.0,3700,2007-11-27
236,23034.0,23566.0,22347.0,23241.0,11100,2007-11-28
237,23200.0,22990.0,22580.0,22826.0,800,2007-11-29
238,22411.0,22906.0,22080.0,22328.0,2400,2007-11-30
239,23034.0,23160.0,22117.0,22826.0,4300,2007-12-03
240,22868.0,23588.0,21175.0,22826.0,17400,2007-12-04
241,22204.0,22577.0,22163.0,22411.0,3400,2007-12-05
242,22453.0,22951.0,22576.0,22826.0,3100,2007-12-06
243,24901.0,24497.0,22088.0,22619.0,6100,2007-12-07
244,23449.0,23401.0,22455.0,22702.0,3400,2007-12-10
245,22411.0,21263.0,19688.0,20751.0,3700,2007-12-11
246,23449.0,23491.0,22036.0,22826.0,6900,2007-12-12
247,20834.0,21418.0,20998.0,21166.0,2900,2007-12-13
248,20377.0,20669.0,20502.0,20544.0,1200,2007-12-14
249,20585.0,21166.0,20585.0,20751.0,1900,2007-12-17
250,20336.0,21633.0,20784.0,21166.0,3100,2007-12-18
251,20710.0,21124.0,20502.0,20710.0,9500,2007-12-19
252,20710.0,20710.0,20460.0,20544.0,1700,2007-12-20
253,20751.0,20959.0,20751.0,20544.0,3800,2007-12-21
254,20419.0,20662.0,19933.0,20419.0,1300,2007-12-24
255,20336.0,20071.0,18638.0,18883.0,6200,2007-12-25
256,18883.0,20051.0,18381.0,19132.0,18900,2007-12-26
257,19713.0,19335.0,18725.0,19091.0,1700,2007-12-27
258,19464.0,20619.0,19341.0,19506.0,4500,2007-12-28
259,19091.0,19633.0,19215.0,19298.0,4300,2008-01-02
260,18925.0,20130.0,18364.0,18717.0,14200,2008-01-03
261,17514.0,18394.0,16874.0,17514.0,1400,2008-01-04
262,17846.0,17931.0,17222.0,17431.0,4000,2008-01-07
263,17638.0,18087.0,17059.0,17223.0,12000,2008-01-08
264,17431.0,18182.0,16601.0,17431.0,8600,2008-01-09
265,16642.0,17173.0,16274.0,16601.0,7000,2008-01-10
266,16850.0,17640.0,17012.0,17431.0,2600,2008-01-11
267,16601.0,16102.0,15578.0,16061.0,3200,2008-01-14
268,15978.0,15803.0,14777.0,14941.0,6300,2008-01-15
269,16601.0,16601.0,16601.0,16601.0,900,2008-01-16
270,18261.0,17760.0,15742.0,16186.0,1900,2008-01-17
271,15771.0,17797.0,16495.0,17016.0,3700,2008-01-18
272,15854.0,16267.0,15731.0,15978.0,2600,2008-01-21
273,15812.0,15812.0,15812.0,15812.0,500,2008-01-22
274,14941.0,15815.0,15142.0,15605.0,1400,2008-01-23
275,14982.0,14982.0,14982.0,14982.0,1000,2008-01-24
276,15563.0,15396.0,15150.0,15314.0,1500,2008-01-25
277,15356.0,15356.0,15356.0,15356.0,2900,2008-01-28
278,15771.0,16267.0,15649.0,15978.0,1600,2008-01-29
279,16601.0,17722.0,16640.0,17431.0,14200,2008-01-30
280,16933.0,16933.0,16933.0,16933.0,200,2008-01-31
281,16103.0,17147.0,16010.0,16684.0,7800,2008-02-01
282,18053.0,17060.0,15491.0,16393.0,1700,2008-02-12
283,16103.0,16940.0,15966.0,16601.0,5900,2008-02-13
284,16601.0,16801.0,16001.0,16601.0,3500,2008-02-14
285,17431.0,17076.0,15206.0,15978.0,3700,2008-02-15
286,16020.0,16186.0,15439.0,16020.0,500,2008-02-18
287,15978.0,15978.0,15978.0,15978.0,3000,2008-02-19
288,14941.0,14857.0,14651.0,14733.0,800,2008-02-20
289,13364.0,13364.0,13364.0,13364.0,4000,2008-02-21
290,12036.0,13841.0,12505.0,13281.0,4700,2008-02-22
291,14028.0,14028.0,14028.0,14028.0,2000,2008-02-25
292,15356.0,14709.0,13556.0,14152.0,1000,2008-02-26
293,13322.0,14526.0,13322.0,13488.0,2300,2008-02-27
294,12658.0,12993.0,12574.0,12658.0,3200,2008-02-28
295,12451.0,12534.0,12451.0,12451.0,2600,2008-02-29
296,12451.0,12892.0,11603.0,12119.0,4600,2008-03-03
297,11206.0,11162.0,10500.0,10542.0,5600,2008-03-04
298,10542.0,10766.0,9749.0,9960.0,7600,2008-03-05
299,10708.0,10708.0,10708.0,10708.0,21700,2008-03-06
300,11745.0,11745.0,11745.0,11745.0,50200,2008-03-07
301,12907.0,12991.0,12113.0,12907.0,20900,2008-03-10
302,12907.0,12561.0,11712.0,12036.0,8300,2008-03-11
303,13073.0,12465.0,11332.0,12036.0,10400,2008-03-12
304,13281.0,13324.0,12117.0,12658.0,7400,2008-03-13
305,12285.0,12446.0,11998.0,12202.0,5500,2008-03-14
306,11289.0,11371.0,11164.0,11206.0,3700,2008-03-17
307,10126.0,10334.0,10126.0,10126.0,8000,2008-03-18
308,10376.0,10619.0,9467.0,9960.0,7500,2008-03-19
309,9960.0,9707.0,9303.0,9545.0,5500,2008-03-20
310,9338.0,9296.0,9131.0,9172.0,1200,2008-03-21
311,8715.0,8545.0,8138.0,8300.0,2100,2008-03-24
