,Open,High,Low,Close,Volume,TradingDate
0,6259.0,7154.0,5276.0,6635.0,72500,2010-01-05
1,6635.0,6635.0,6188.0,6277.0,11100,2010-01-06
2,5866.0,5884.0,5848.0,5866.0,17100,2010-01-07
3,5473.0,5723.0,5473.0,5508.0,32700,2010-01-08
4,5186.0,5365.0,5133.0,5151.0,54800,2010-01-11
5,5186.0,5508.0,5186.0,5329.0,18900,2010-01-12
6,5329.0,5365.0,4972.0,5133.0,21200,2010-01-13
7,5490.0,5490.0,5186.0,5401.0,5800,2010-01-14
8,5365.0,5365.0,5097.0,5186.0,7800,2010-01-15
9,5186.0,5186.0,4829.0,4882.0,10900,2010-01-18
10,5151.0,5151.0,4560.0,4686.0,3600,2010-01-19
11,4990.0,4990.0,4990.0,4990.0,100,2010-01-20
12,4650.0,4757.0,4650.0,4668.0,9300,2010-01-21
13,4489.0,4489.0,4346.0,4400.0,16400,2010-01-22
14,4203.0,4292.0,4131.0,4221.0,6100,2010-01-25
15,4507.0,4507.0,4507.0,4507.0,6100,2010-01-26
16,4650.0,4650.0,4203.0,4400.0,8900,2010-01-27
17,4131.0,4131.0,4113.0,4113.0,4400,2010-01-28
18,4310.0,4310.0,4310.0,4310.0,100,2010-01-29
19,4042.0,4042.0,4024.0,4042.0,11200,2010-02-01
20,4274.0,4274.0,3935.0,4042.0,2400,2010-02-02
21,4310.0,4310.0,3935.0,3952.0,5200,2010-02-03
22,4042.0,4042.0,3935.0,3970.0,6600,2010-02-04
23,3756.0,4167.0,3756.0,3935.0,1400,2010-02-05
24,4024.0,4024.0,4006.0,4006.0,800,2010-02-08
25,4239.0,4239.0,3756.0,3845.0,4100,2010-02-09
26,4024.0,4024.0,4024.0,4024.0,100,2010-02-10
27,4024.0,4024.0,4024.0,4024.0,600,2010-02-11
28,4292.0,4292.0,3845.0,4078.0,1900,2010-02-12
29,4149.0,4149.0,4095.0,4113.0,4700,2010-02-22
30,4024.0,4024.0,3863.0,3917.0,3000,2010-02-23
31,3756.0,3899.0,3756.0,3863.0,2200,2010-02-24
32,3863.0,3863.0,3774.0,3845.0,3400,2010-02-25
33,3845.0,3935.0,3845.0,3899.0,2800,2010-02-26
34,3935.0,4024.0,3935.0,3952.0,4600,2010-03-01
35,3952.0,4149.0,3952.0,4095.0,3900,2010-03-02
