,Open,High,Low,Close,Volume,TradingDate
0,7948.0,7948.0,7948.0,7948.0,46280,2009-08-17
1,7947.0,7948.0,7642.0,7642.0,13900,2009-08-18
2,7336.0,7897.0,7260.0,7260.0,42590,2009-08-19
3,7514.0,7616.0,7260.0,7616.0,18730,2009-08-20
4,7896.0,7897.0,7515.0,7515.0,13270,2009-08-21
5,7616.0,7616.0,7362.0,7362.0,5070,2009-08-24
6,7285.0,7387.0,7005.0,7387.0,15820,2009-08-25
7,7387.0,7387.0,7031.0,7132.0,7230,2009-08-26
8,7132.0,7234.0,7107.0,7132.0,9620,2009-08-27
9,7285.0,7311.0,7234.0,7285.0,18140,2009-08-28
10,7387.0,7438.0,7183.0,7387.0,36470,2009-08-31
11,7515.0,7591.0,7132.0,7515.0,28460,2009-09-01
12,7515.0,7515.0,7158.0,7515.0,9020,2009-09-03
13,7387.0,7515.0,7260.0,7260.0,12630,2009-09-04
14,7260.0,7387.0,7132.0,7387.0,13320,2009-09-07
15,7412.0,7413.0,7209.0,7387.0,19310,2009-09-08
16,7591.0,7693.0,7234.0,7591.0,50130,2009-09-09
17,7845.0,7846.0,7591.0,7744.0,20860,2009-09-10
18,8100.0,8126.0,8075.0,8100.0,51910,2009-09-11
19,8482.0,8483.0,8100.0,8483.0,39060,2009-09-14
20,8661.0,8661.0,8228.0,8635.0,28760,2009-09-15
21,8228.0,8635.0,8228.0,8228.0,10820,2009-09-16
22,8202.0,8202.0,7948.0,8202.0,16500,2009-09-17
23,8457.0,8457.0,7795.0,8202.0,18490,2009-09-18
24,8202.0,8202.0,7820.0,7871.0,32790,2009-09-21
25,7871.0,7871.0,7489.0,7871.0,21050,2009-09-22
26,7871.0,7871.0,7871.0,7871.0,7610,2009-09-23
27,7896.0,7897.0,7693.0,7693.0,3620,2009-09-24
28,7947.0,7948.0,7693.0,7693.0,17010,2009-09-25
29,7642.0,7769.0,7464.0,7464.0,13900,2009-09-28
30,7642.0,7693.0,7438.0,7642.0,19340,2009-09-29
31,7769.0,7769.0,7642.0,7667.0,7120,2009-09-30
32,7515.0,7642.0,7464.0,7515.0,9820,2009-10-01
33,7310.0,7515.0,7260.0,7387.0,11750,2009-10-02
34,7387.0,7387.0,7260.0,7387.0,6350,2009-10-05
35,7616.0,7642.0,7311.0,7616.0,4360,2009-10-06
36,7642.0,7642.0,7387.0,7642.0,21610,2009-10-07
37,7565.0,7616.0,7515.0,7515.0,8200,2009-10-08
38,7591.0,7591.0,7515.0,7540.0,9010,2009-10-09
39,7642.0,7642.0,7515.0,7642.0,24210,2009-10-12
40,7642.0,7642.0,7489.0,7642.0,16350,2009-10-13
41,7642.0,7667.0,7642.0,7642.0,21010,2009-10-14
42,7769.0,7897.0,7642.0,7769.0,50960,2009-10-15
43,7896.0,7897.0,7744.0,7820.0,27010,2009-10-16
44,7897.0,7897.0,7820.0,7897.0,19290,2009-10-19
45,8278.0,8279.0,8151.0,8279.0,32940,2009-10-20
46,7948.0,8253.0,7897.0,7948.0,21550,2009-10-21
47,7820.0,7948.0,7769.0,7769.0,33080,2009-10-22
48,7769.0,7769.0,7642.0,7642.0,42720,2009-10-23
49,7514.0,7515.0,7285.0,7285.0,28030,2009-10-26
50,7336.0,7387.0,7209.0,7209.0,18900,2009-10-27
51,7387.0,7565.0,7260.0,7336.0,5570,2009-10-28
52,7361.0,7362.0,7005.0,7158.0,13120,2009-10-29
53,7234.0,7336.0,7031.0,7234.0,8310,2009-10-30
54,6878.0,6878.0,6878.0,6878.0,17790,2009-11-02
55,6801.0,6801.0,6547.0,6801.0,12840,2009-11-03
56,6801.0,6801.0,6623.0,6699.0,5650,2009-11-04
