,Open,High,Low,Close,Volume,TradingDate
0,21325.0,21325.0,21325.0,21326.0,14830,2007-02-02
1,6810.0,6810.0,6810.0,6810.0,3000,2009-06-08
2,7261.0,7261.0,7261.0,7261.0,35000,2009-06-09
3,7767.0,7767.0,7711.0,7767.0,167600,2009-06-10
4,8274.0,8274.0,8274.0,8274.0,18900,2009-06-11
5,8837.0,8837.0,8837.0,8837.0,23500,2009-06-12
6,9399.0,9399.0,9399.0,9399.0,128100,2009-06-15
7,8780.0,9899.0,8724.0,8780.0,66700,2009-06-16
8,8274.0,8274.0,8274.0,8274.0,70500,2009-06-17
9,7711.0,8385.0,7659.0,8274.0,56500,2009-06-18
10,8443.0,8204.0,7556.0,7880.0,13400,2009-06-19
11,7880.0,7822.0,7599.0,7655.0,6500,2009-06-22
12,7204.0,7711.0,7204.0,7204.0,9100,2009-06-23
13,6754.0,8008.0,7066.0,7655.0,29700,2009-06-24
14,7542.0,7483.0,7206.0,7317.0,11900,2009-06-25
15,7598.0,7598.0,6923.0,7317.0,3100,2009-06-26
16,7317.0,7257.0,6754.0,6810.0,5800,2009-06-29
17,6473.0,6926.0,6472.0,6529.0,13700,2009-06-30
18,6304.0,6304.0,6022.0,6022.0,5900,2009-07-01
19,6416.0,6787.0,5953.0,6191.0,2000,2009-07-02
20,5910.0,6304.0,5964.0,6247.0,8400,2009-07-03
21,6304.0,6642.0,6358.0,6585.0,2300,2009-07-06
22,6979.0,6979.0,6754.0,6923.0,14100,2009-07-07
23,7261.0,7252.0,6643.0,6754.0,12400,2009-07-08
24,6754.0,6979.0,6473.0,6867.0,14800,2009-07-09
25,6923.0,6978.0,6811.0,6867.0,7700,2009-07-10
26,6979.0,6979.0,6473.0,6754.0,9400,2009-07-13
27,6473.0,6359.0,6193.0,6304.0,5100,2009-07-14
28,6529.0,6642.0,6528.0,6585.0,4700,2009-07-15
29,6416.0,6979.0,6416.0,6923.0,5200,2009-07-16
30,6810.0,6810.0,6641.0,6698.0,2200,2009-07-17
31,6247.0,6247.0,6247.0,6247.0,900,2009-07-20
32,6247.0,6189.0,5968.0,6079.0,5400,2009-07-21
33,6191.0,6306.0,6019.0,6191.0,6500,2009-07-22
34,6135.0,6191.0,6079.0,6135.0,900,2009-07-23
35,6191.0,6702.0,6356.0,6529.0,12900,2009-07-24
36,6754.0,6697.0,6139.0,6585.0,12900,2009-07-27
37,6754.0,6523.0,6143.0,6360.0,2400,2009-07-28
38,6191.0,6191.0,6135.0,6135.0,11200,2009-07-29
39,6416.0,6479.0,5797.0,5797.0,34000,2009-07-30
40,5741.0,6196.0,5907.0,6022.0,13900,2009-07-31
41,5853.0,5910.0,5853.0,5910.0,8600,2009-08-03
42,5966.0,6135.0,5965.0,6079.0,10800,2009-08-04
43,6135.0,5961.0,5633.0,5797.0,4600,2009-08-05
44,5628.0,6191.0,5628.0,6135.0,14000,2009-08-06
45,6247.0,6247.0,6079.0,6079.0,4900,2009-08-07
