,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/03/23,2022,0.2,cash
1,23/08/22,2021,0.1,cash
2,19/01/22,2021,0.1,cash
3,22/01/21,2020,0.1,cash
4,19/03/20,2019,0.1,cash
5,05/09/19,2019,0.2,cash
6,19/02/19,2018,0.2,cash
7,31/07/18,2018,0.3,cash
8,29/01/18,2017,0.1,cash
9,29/06/17,2017,0.1,cash
10,09/02/17,2016,0.2,cash
11,09/08/16,2016,0.25,cash
12,29/01/16,2015,0.07,cash
13,28/10/15,2015,0.15,cash
14,28/07/15,2015,0.15,cash
15,09/04/15,2015,0.15,cash
16,27/01/15,2014,0.15,cash
17,23/10/14,2014,0.15,cash
18,25/07/14,2014,0.15,cash
19,18/04/14,2014,0.15,cash
