,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/03/23,2022,0.14,cash
1,07/03/22,2021,0.15,cash
2,03/03/21,2020,0.15,cash
3,06/03/20,2019,0.15,cash
4,08/03/19,2018,0.15,cash
5,02/04/18,2017,0.15,cash
6,09/03/17,2016,0.2,cash
7,17/03/16,2015,0.2,cash
8,13/03/15,2014,0.2,cash
9,24/04/14,2013,0.2,cash
10,22/02/13,2012,0.15,cash
11,06/03/12,2011,0.25,cash
12,16/05/11,2010,0.25,cash
13,29/03/10,2009,0.2,cash
14,08/12/08,2008,0.15,cash
15,06/03/08,2007,0.15,cash
16,31/01/07,2006,0.08,cash
