,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,24/03/23,2022,0.14,cash
1,07/03/22,2021,0.14,cash
2,29/04/21,2020,0.13,cash
3,03/06/20,2019,0.13,cash
4,19/04/19,2018,0.11,cash
5,08/01/18,2017,0.13,cash
6,09/03/17,2016,0.13,cash
7,24/03/16,2015,0.13,cash
8,20/03/15,2014,0.13,cash
9,24/03/14,2013,0.16,cash
10,08/03/13,2012,0.18,cash
11,13/03/12,2011,0.09,cash
12,18/08/11,2011,0.09,cash
13,17/03/11,2010,0.1,cash
14,27/08/10,2010,0.08,cash
15,10/03/10,2009,0.17,cash
16,10/03/09,2008,0.09,cash
17,29/07/08,2008,0.08,cash
18,23/04/08,2007,0.183,cash
