,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/03/23,2022,0.14,cash
1,31/08/22,2022,0.1,cash
2,18/03/22,2021,0.14,cash
3,04/11/21,2021,0.1,cash
4,19/03/21,2020,0.14,cash
5,05/10/20,2020,0.1,cash
6,05/10/20,2020,0.1,cash
7,12/05/20,2019,0.14,cash
8,02/08/19,2019,0.1,cash
9,21/03/19,2018,0.14,cash
10,14/08/18,2018,0.1,cash
11,22/03/18,2017,0.14,cash
12,08/08/17,2017,0.1,cash
13,22/03/17,2016,0.14,cash
14,09/08/16,2016,0.1,cash
15,22/03/16,2015,0.14,cash
16,04/08/15,2015,0.1,cash
17,26/01/15,2014,0.14,cash
18,23/05/14,2014,0.1,cash
19,11/03/14,2013,0.14,cash
