,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/03/23,2022,0.08,cash
1,19/07/22,2021,0.22,cash
2,21/12/21,2021,0.08,cash
3,01/06/21,2020,0.22,cash
4,15/01/21,2020,0.08,cash
5,14/05/20,2019,0.17,cash
6,13/01/20,2019,0.08,cash
7,23/05/19,2018,0.17,cash
8,24/12/18,2018,0.08,cash
9,04/06/18,2017,0.17,cash
10,12/01/18,2017,0.08,cash
11,23/05/17,2016,0.17,cash
12,21/12/16,2016,0.08,cash
13,02/06/16,2015,0.17,cash
14,25/01/16,2015,0.08,cash
15,05/06/15,2014,0.17,cash
16,12/12/14,2014,0.08,cash
17,23/05/14,2013,0.15,cash
18,21/08/13,2013,0.1,cash
19,23/04/13,2012,0.15,cash
