,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,16/03/23,2022,0.1,cash
1,21/12/22,2022,0.1,cash
2,02/06/22,2021,0.05,cash
3,02/06/22,2022,0.25,share
4,18/03/22,2021,0.1,cash
5,18/11/21,2021,0.1,cash
6,14/07/21,2020,0.1,cash
7,14/07/21,2021,0.1,share
8,18/03/21,2020,0.15,cash
9,30/12/20,2020,0.15,cash
10,23/09/20,2020,0.1,cash
11,25/06/20,2019,0.05,cash
12,25/06/20,2020,0.1,share
13,21/05/20,2019,0.15,cash
14,24/03/20,2019,0.1,cash
15,24/12/19,2019,0.1,cash
16,23/05/19,2018,0.2,cash
17,21/01/19,2018,0.08,cash
18,26/09/18,2018,0.12,cash
19,18/06/18,2018,0.1,share
