,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,ABT,388,32950,-1,6.0,0.1,0.8,6.2,0.061,0.142,0.105,15.7,,,,2.0,1.3,0.179,,0.087,0.2,1.6,0.179,0.1,0.023,-0.105,0.64,0.5,45.7,82.0
1,VHC,9792,53400,0,5.0,0.1,1.3,4.7,0.037,0.297,0.195,7.6,,,,2.1,1.3,0.191,,0.076,0.3,0.8,0.267,0.102,-0.578,-0.238,-0.133,0.09,32.6,17.0
2,HAG,6798,7330,-3,5.8,0.0,1.3,5.9,0.0,0.247,0.062,2.8,,,,0.9,0.8,0.26,,0.18,1.6,3.1,0.746,0.011,-0.197,0.117,4.107,1.2,41.6,22.0
3,MPC,6773,16938,-1,8.2,0.3,1.2,8.4,0.0,0.15,0.082,8.7,,,,1.7,0.6,0.225,,0.101,0.7,2.9,0.052,0.01,-0.216,-0.503,0.045,0.05,43.9,46.0
4,HNG,4844,4370,0,-1.2,0.0,1.6,-30.8,0.0,-0.858,-0.291,-5.7,,,,0.4,0.2,,,,2.4,-17.5,,-0.259,,-0.205,-12.397,-0.45,52.6,46.0
5,ANV,4040,30350,0,6.0,0.0,1.4,7.1,0.0,0.258,0.13,4.4,,,,1.3,0.4,0.206,,0.093,0.7,2.3,0.365,0.107,-0.112,-0.076,-0.029,0.02,47.1,50.0
6,DBC,3340,13800,-1,22.3,-0.3,0.7,7.8,0.0,0.032,0.013,-0.2,,,,1.0,0.3,0.051,,,1.0,4.2,-0.056,0.159,,-0.179,-0.523,0.1,49.6,43.0
7,PRT,3044,10148,-1,12.9,0.5,0.8,10.6,0.0,0.066,0.041,0.7,,,,2.2,1.7,0.221,,,0.0,0.7,0.04,0.089,,0.384,-0.493,-0.07,44.0,24.0
8,BAF,2878,20050,1,9.9,0.4,1.7,8.4,0.0,0.183,0.056,0.6,,,,1.1,0.8,0.029,,0.003,0.5,1.4,,,-0.958,0.124,0.234,-0.45,50.7,52.0
9,ASM,2716,8070,-4,4.3,0.9,0.5,7.9,0.0,0.125,0.034,1.3,,,,1.3,0.8,0.105,,0.014,1.3,5.1,0.292,0.456,-0.713,-0.048,-0.062,0.1,40.0,26.0
10,SEA,2612,20900,0,12.4,3.7,1.3,109.1,0.0,0.085,0.067,-1.0,,,,1.7,1.4,0.143,,0.198,0.2,12.5,0.017,-0.079,-0.069,0.19,-0.221,0.1,40.0,31.0
11,VLC,2541,14745,-1,21.8,3.6,0.8,8.9,0.0,0.051,0.029,6.0,,,,11.8,11.1,0.311,,0.029,0.0,0.1,0.071,0.03,-0.509,-0.054,0.34,0.05,44.9,30.0
12,IDI,2538,11150,0,4.7,0.0,0.8,7.0,0.0,0.176,0.069,1.1,,,,1.2,0.9,0.084,,0.012,1.2,4.7,0.101,0.083,-0.776,-0.13,3.647,0.4,44.1,34.0
13,FMC,2531,38700,1,8.2,0.5,1.3,6.6,0.0,0.167,0.109,15.6,,,,2.2,1.1,0.128,,0.065,0.2,1.0,0.224,0.103,0.017,-0.309,0.007,0.05,66.0,59.0
14,CQN,2056,27400,0,21.7,5.0,2.2,24.2,0.0,0.101,0.089,,,,,2.7,2.4,0.256,,0.143,0.0,0.0,0.06,-0.118,0.161,0.25,,,98.0,84.0
15,TAR,987,12600,-1,15.7,-0.5,0.9,12.1,0.0,0.07,0.026,1.8,,,,1.3,0.4,0.043,,0.01,1.2,6.6,0.346,0.214,18.734,2.158,-0.069,0.02,50.6,52.0
16,CMX,844,8280,1,11.7,1.0,0.7,11.3,0.0,0.064,0.027,1.2,,,,1.5,0.8,0.098,,0.009,0.8,5.2,0.198,0.264,-0.751,-0.117,0.283,0.4,46.9,35.0
17,DAT,616,9780,2,7.7,0.1,0.8,7.2,0.0,0.111,0.048,1.5,,,,1.4,1.3,0.044,,0.029,1.1,4.9,0.259,0.158,0.058,-0.16,0.668,0.1,44.2,21.0
18,ACL,587,11700,-2,4.9,0.0,0.7,4.8,0.06,0.153,0.081,1.3,,,,1.8,0.4,0.129,,0.016,0.6,2.8,0.405,-0.004,-0.766,-0.181,2.299,0.05,52.2,59.0
19,HLG,376,8500,0,24.7,-0.1,0.4,19.8,0.0,0.018,0.007,-0.1,,,,1.3,1.3,0.033,,,1.0,13.5,-0.362,0.022,,0.07,-0.354,0.03,63.2,68.0
20,HVG,318,4500,0,-1.4,0.0,1.9,-14.3,0.0,-0.62,-0.092,-2.3,,,,0.8,0.6,-0.057,,-0.348,4.6,-9.0,-0.504,,,0.061,-8.688,-0.25,20.4,50.0
