,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,AGM,97,5350,-1,-0.7,0.0,0.3,-20.0,0.0,-0.346,-0.08,-2.4,,,,1.3,1.1,0.024,,,3.1,-17.4,,0.089,,-0.49,0.38,0.05,38.3,40.0
1,VNM,155493,74400,-1,18.3,-1.0,5.2,13.9,0.039,0.271,0.167,38.7,,,,2.1,1.7,0.388,,0.124,0.2,0.6,-0.037,0.033,-0.187,-0.063,0.159,0.01,42.0,52.0
2,MSN,110766,77800,-1,31.1,-0.5,4.2,19.3,0.01,0.121,0.027,0.9,,,,0.7,0.5,0.269,,0.022,1.9,7.1,0.028,0.152,-0.177,0.057,0.285,0.2,38.3,34.0
3,MCH,47209,65884,2,8.7,52.5,2.2,7.8,0.0,0.284,0.171,19.7,,,,2.6,2.3,0.415,,0.229,0.3,1.2,0.207,0.153,0.318,0.139,0.26,0.3,32.3,32.0
4,KDC,15665,60900,0,44.6,-1.1,2.3,27.8,0.092,0.052,0.025,-1.5,,,,1.3,0.9,0.097,,0.005,0.7,7.0,-0.047,0.123,-0.426,-0.086,-0.202,0.283,66.9,64.0
5,QNS,14365,40244,5,11.2,3.3,1.9,8.4,0.0,0.177,0.128,23.8,,,,2.2,1.9,0.302,,0.219,0.3,1.1,0.046,0.016,0.348,-0.153,0.061,0.09,69.1,74.0
6,IDP,13781,233800,1,17.0,-11.5,7.6,13.1,0.006,0.518,0.239,14.1,,,,1.4,1.2,0.385,,0.099,0.4,0.6,,,-0.139,0.025,0.02,0.12,68.2,74.0
7,MML,11887,36338,1,-81.8,0.7,2.2,-139.4,0.0,-0.027,-0.012,-1.1,,,,1.3,1.1,0.069,,,1.0,-43.3,,-0.239,,0.203,-0.719,-0.7,67.8,57.0
8,SBT,9694,14400,1,13.0,-3.7,1.1,11.3,0.0,0.084,0.028,0.9,,,,1.1,0.9,0.084,,0.015,1.1,6.4,0.12,0.22,-0.542,0.313,0.128,0.2,49.1,52.0
9,MCM,4115,37411,1,11.9,1.4,1.9,11.4,0.0,0.158,0.14,,,,,8.9,8.1,0.322,,0.092,0.0,0.1,0.098,0.049,-0.264,-0.054,0.04,0.05,52.7,46.0
10,PAN,3489,16700,-1,9.6,0.4,0.8,5.4,0.0,0.084,0.023,4.7,,,,1.3,0.9,0.229,,0.034,0.7,3.0,-0.005,0.274,1.362,0.09,-0.029,0.05,56.6,58.0
11,VSF,3472,6943,-2,-393.9,4.0,1.5,20.3,0.0,-0.004,-0.001,2.3,,,,1.0,0.8,0.089,,0.0,1.0,7.8,,-0.053,,0.773,-0.939,0.03,54.8,65.0
12,VOC,2945,24180,-1,-64.6,0.5,2.2,-16.9,0.0,-0.032,-0.024,-38.6,,,,1.6,0.8,,,,0.4,-1.9,,-0.181,,0.327,0.116,0.15,54.9,69.0
13,VSN,1942,24000,0,14.1,-2.0,1.5,9.7,0.0,0.11,0.063,81.8,,,,2.2,1.4,0.24,,0.039,0.0,1.1,0.012,-0.002,0.289,0.095,-0.034,0.1,52.4,58.0
14,OCH,1520,8000,0,-28.4,0.0,1.4,534.3,0.0,-0.041,-0.023,0.8,,,,1.8,1.5,0.332,,,0.1,53.4,,-0.018,,0.064,6.025,-0.5,54.3,51.0
15,CLX,1084,12516,0,6.0,0.7,0.7,8.8,0.0,0.122,0.084,17.8,,,,2.9,2.8,0.258,,0.298,0.0,0.4,0.065,0.088,-0.068,-0.075,0.09,0.3,46.4,39.0
16,LSS,543,7280,5,14.1,0.8,0.3,3.9,0.0,0.024,0.015,0.7,,,,1.3,0.2,0.086,,,0.3,2.0,-0.1,-0.008,,0.214,-0.155,-0.08,54.2,60.0
17,KTC,365,10000,0,22.4,-0.8,0.9,16.0,0.0,0.04,0.012,1.2,,,,0.9,0.4,0.032,,0.0,1.8,11.6,-0.157,0.067,,0.158,0.813,-0.06,70.6,52.0
18,HSL,179,5050,-1,12.1,-2.9,0.4,9.4,0.0,0.043,0.036,68.7,,,,6.8,5.8,0.036,,0.037,0.0,1.4,-0.086,0.16,0.733,0.037,0.022,0.02,42.6,
19,HKB,31,600,0,-0.5,-1.1,0.2,-2.7,0.0,-0.251,-0.148,-4.3,,,,0.3,0.3,0.726,,,0.4,-2.0,,-0.474,,0.17,,,16.2,70.0
