,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,DNA,1053,18700,0,9.2,3.3,1.3,5.1,0.0,0.138,0.075,5.6,,,,1.3,1.1,0.18,,0.052,0.4,1.2,0.045,0.079,-0.266,-0.077,0.012,0.07,46.2,37.0
1,BWE,8238,42700,1,11.1,-73.6,1.8,8.6,0.0,0.178,0.078,4.1,,,,1.4,1.0,0.323,,0.161,0.9,2.7,0.292,0.142,-0.147,0.213,0.111,0.1,34.8,28.0
2,TDM,3610,36100,0,16.4,-0.5,1.8,10.0,0.0,0.113,0.092,10.5,,,,1.2,0.9,0.535,,0.588,0.1,0.8,0.238,0.194,0.359,0.023,0.104,0.16,38.1,41.0
3,DNW,3240,27000,0,8.7,-2.2,1.6,6.9,0.0,0.186,0.102,8.9,,,,1.4,1.3,0.408,,0.174,0.5,2.1,0.603,0.05,-0.132,-0.036,-0.4,0.03,52.1,62.0
4,VCW,3210,42800,1,15.7,6.2,2.4,11.2,0.0,0.151,0.079,4.9,,,,0.9,0.9,0.495,,0.335,0.9,2.7,0.037,0.058,0.011,0.143,0.077,0.1,54.8,54.0
5,BWS,2493,27700,0,13.0,-6.2,2.4,9.5,0.0,0.185,0.168,341.8,,,,3.0,2.4,0.728,,0.199,0.0,0.0,0.039,0.038,-0.331,-0.041,0.001,0.0,51.2,53.0
6,PMW,1269,27116,0,19.3,-1.6,2.4,18.0,0.0,0.129,0.116,108.3,,,,1.1,0.9,0.336,,0.21,0.0,0.1,0.016,0.086,-0.301,-0.013,-0.053,0.03,47.3,22.0
7,SII,1155,17900,-1,-13.0,-0.6,1.3,-128.5,0.0,-0.097,-0.039,-1.8,,,,0.3,0.3,,,,0.6,-46.4,,-0.043,,0.014,-2.243,-0.15,63.1,55.0
8,HPW,1121,15100,-2,13.1,-1.3,1.1,4.9,0.0,0.084,0.038,2.4,,,,2.3,2.1,0.342,,0.098,0.9,2.5,0.03,0.043,-0.04,-0.049,0.019,0.05,44.6,26.0
9,LDW,1001,12700,0,17.4,0.1,1.1,26.3,0.0,0.055,0.044,2.5,,,,10.4,10.3,0.221,,0.185,0.3,5.3,,,-0.307,-0.096,0.095,0.03,0.0,56.0
10,HWS,990,11325,1,9.0,0.8,0.9,5.4,0.0,0.108,0.056,3.4,,,,1.8,1.6,0.359,,0.194,0.7,2.4,0.156,0.041,-0.347,-0.078,0.011,0.03,58.7,69.0
11,VAV,703,21970,-1,8.0,0.6,1.6,4.4,0.0,0.204,0.113,11.1,,,,1.4,1.3,0.204,,0.144,0.4,1.1,-0.032,0.032,-0.086,0.02,0.166,0.07,44.0,20.0
12,NQN,646,12700,0,14.5,1.8,1.0,12.0,0.0,0.073,0.037,2.4,,,,0.3,0.2,0.2,,0.051,0.6,4.5,0.023,0.048,-0.443,0.009,-0.042,0.03,49.9,32.0
13,NS2,432,7600,1,30.6,-2.1,0.7,5.1,0.0,0.024,0.011,1.1,,,,1.1,1.0,0.459,,0.021,0.5,2.2,0.023,0.051,-0.411,-0.004,0.002,0.06,63.8,64.0
14,PWS,349,9100,0,22.2,-2.1,0.8,10.1,0.0,0.037,0.031,2.8,,,,6.4,6.2,0.47,,0.143,0.2,1.7,0.034,0.034,-0.461,-0.179,-0.266,0.15,62.5,52.0
15,NAW,344,8900,0,123.6,0.4,0.9,,0.0,0.007,0.003,1.0,,,,1.1,0.9,0.228,,0.035,0.6,49.7,,0.082,0.903,-0.066,48.065,0.04,43.4,1.0
16,BNW,327,8700,0,17.5,-0.8,0.8,7.0,0.0,0.046,0.028,5.2,,,,1.2,1.0,0.159,,0.082,0.4,1.9,0.113,0.134,-0.392,-0.049,-0.191,0.05,0.0,
17,NDW,195,5700,0,6.4,-0.4,0.5,3.9,0.0,0.081,0.061,-7.8,,,,1.2,0.9,0.088,,,0.1,1.0,,,,-0.08,,,0.0,
18,THN,122,3700,0,2.9,0.6,0.3,4.7,0.0,0.109,0.061,3.7,,,,0.8,0.6,0.262,,0.079,0.5,3.4,0.257,0.061,-0.358,-0.073,0.039,0.06,0.0,
19,DNN,12,200,0,0.1,0.0,0.0,1.8,4.5,0.213,0.103,12.2,,,,1.8,1.7,0.491,,0.285,0.6,1.7,0.08,0.035,-0.305,-0.094,0.022,0.08,0.0,
