,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,DRG,1169,7500,0,32.3,-0.5,0.8,6.5,0.0,0.023,0.013,3.3,,,,0.7,0.4,0.248,,0.013,0.3,2.1,,,,0.233,0.164,0.1,60.8,57.0
1,GVR,62000,15500,1,16.2,-1.6,1.3,11.0,0.0,0.079,0.049,6.8,,,,2.3,1.9,0.187,,0.101,0.1,1.3,0.02,0.049,0.092,0.541,0.035,0.05,60.5,68.0
2,PHR,5440,40150,1,6.1,0.1,1.7,15.4,0.1,0.283,0.144,13.6,,,,2.4,2.1,0.229,,0.726,0.1,0.9,0.222,0.007,2.445,0.103,0.426,-0.15,49.5,46.0
3,AAA,3551,9290,0,22.8,-0.5,0.6,13.3,0.0,0.03,0.015,-2.9,,,,1.8,1.2,0.01,,,0.5,6.7,-0.073,0.303,,0.038,0.218,0.15,62.7,70.0
4,BRR,2284,20300,0,15.6,-69.0,1.7,34.7,0.0,0.109,0.092,,,,,1.2,0.9,0.262,,0.285,0.0,0.0,0.098,0.017,3.271,1.002,-0.042,0.1,47.8,42.0
5,DPR,2216,51000,1,9.2,-0.2,0.9,6.7,0.039,0.104,0.059,529.9,,,,6.2,5.5,0.243,,0.138,0.0,0.1,0.031,0.025,-0.382,0.12,0.253,0.07,45.9,41.0
6,NNG,1795,22000,0,114.9,-1.4,1.5,15.5,0.0,0.012,0.008,-17.9,,,,1.4,1.0,0.191,,,0.4,3.4,0.075,0.065,,-0.071,0.668,0.05,56.3,50.0
7,RTB,1661,18882,-1,8.5,-0.3,1.1,6.9,0.0,0.136,0.07,7.0,,,,2.1,1.4,0.358,,0.085,0.1,1.0,-0.029,0.169,3.504,0.246,0.079,0.05,44.3,31.0
8,HRC,1604,53100,1,163.4,-2.9,2.9,-1802.8,0.0,0.018,0.012,-0.2,,,,0.3,0.2,0.073,,0.072,0.4,-252.7,0.035,0.011,7.439,0.856,-0.094,-0.02,46.0,31.0
9,NHH,995,13650,1,8.9,0.2,0.8,5.9,0.0,0.115,0.052,4.5,,,,1.3,1.0,0.166,,0.057,0.5,2.8,0.142,0.218,0.087,0.02,0.405,0.12,45.3,44.0
10,TRC,743,25500,0,10.3,-0.6,0.5,9.0,0.039,0.046,0.036,9.8,,,,1.8,1.5,0.248,,0.144,0.2,2.5,-0.123,0.052,1.147,0.464,0.043,0.12,46.1,31.0
11,SBR,610,7500,0,16.4,-0.4,0.8,47.9,0.0,0.046,0.036,,,,,2.1,1.9,0.219,,0.294,0.0,0.0,,,18.908,0.061,-0.378,0.05,49.1,36.0
12,DRI,537,7336,0,9.0,-0.4,0.9,3.4,0.0,0.091,0.064,18.9,,,,1.5,0.8,0.449,,0.184,0.2,1.1,-0.11,-0.031,,0.414,0.289,0.05,46.4,22.0
13,RDP,315,6420,-2,25.5,-0.4,0.7,8.6,0.0,0.028,0.005,1.2,,,,1.2,0.5,0.083,,0.0,1.9,6.0,,0.165,-0.512,-0.075,-0.787,0.04,50.4,70.0
14,PLP,308,4400,-1,15.1,-0.2,0.4,9.0,0.0,0.028,0.008,0.6,,,,1.2,0.8,0.097,,,1.1,5.8,-0.294,0.555,,0.364,-0.503,0.3,47.6,43.0
15,HII,298,4050,-1,-6.0,0.0,0.4,-17.2,0.0,-0.073,-0.022,-9.0,,,,1.2,0.8,,,,0.8,-9.8,,0.516,,0.34,-0.071,0.25,39.5,32.0
16,DAG,225,3780,-1,19.7,0.7,0.3,9.6,0.0,0.017,0.005,1.1,,,,1.2,0.4,0.067,,0.0,1.8,7.6,-0.341,0.064,-0.98,-0.12,0.491,0.05,45.5,28.0
17,HCD,202,6380,-1,5.0,-0.3,0.5,8.7,0.0,0.102,0.062,3.6,,,,1.6,0.7,0.091,,0.066,0.4,3.5,0.124,0.065,1.242,-0.128,0.047,0.08,28.3,
18,TPC,147,6550,0,9.9,-6.2,0.4,12.1,0.0,0.044,0.022,2.3,,,,1.5,0.7,0.084,,0.021,0.7,7.1,-0.126,0.07,1.557,-0.082,-0.373,-0.05,37.4,76.0
